<tt style='background-color:#E8E8E8;'> Unsafe.Coerce <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Unsafe-Coerce.html#v:unsafeCoerce'>unsafeCoerce </a>  a -> b </tt>	The highly unsafe primitive unsafeCoerce converts a value from any type to any other type
<tt style='background-color:#E8E8E8;'> GHC.Conc <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Conc.html#v:enableAllocationLimit'>enableAllocationLimit </a>  IO () </tt>	Enables the allocation counter to be treated as a limit for the current thread
<tt style='background-color:#E8E8E8;'> GHC.Conc <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Conc.html#v:disableAllocationLimit'>disableAllocationLimit </a>  IO () </tt>	Disable allocation limit processing for the current thread
<tt style='background-color:#E8E8E8;'> GHC.Conc <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Conc.html#v:STM'>STM </a>  (State# RealWorld -> (# State# RealWorld, a #)) -> STM a </tt>	A monad supporting atomic memory transactions
<tt style='background-color:#E8E8E8;'> GHC.Conc <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Conc.html#v:atomically'>atomically </a>  STM a -> IO a </tt>	Perform a series of STM actions atomically
<tt style='background-color:#E8E8E8;'> GHC.Conc <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Conc.html#v:retry'>retry </a>  STM a </tt>	Retry execution of the current memory transaction because it has seen values in TVars which mean that it should not continue (e
<tt style='background-color:#E8E8E8;'> GHC.Conc <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Conc.html#v:orElse'>orElse </a>  STM a -> STM a -> STM a </tt>	Compose two alternative STM actions (GHC only)
<tt style='background-color:#E8E8E8;'> GHC.Conc <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Conc.html#v:throwSTM'>throwSTM </a>  Exception e => e -> STM a </tt>	A variant of throw that can only be used within the STM monad
<tt style='background-color:#E8E8E8;'> GHC.Conc <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Conc.html#v:catchSTM'>catchSTM </a>  Exception e => STM a -> (e -> STM a) -> STM a </tt>	Exception handling within STM actions
<tt style='background-color:#E8E8E8;'> GHC.Conc <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Conc.html#v:alwaysSucceeds'>alwaysSucceeds </a>  STM a -> STM () </tt>	alwaysSucceeds adds a new invariant that must be true when passed to alwaysSucceeds, at the end of the current transaction, and at the end of every subsequent transaction
<tt style='background-color:#E8E8E8;'> GHC.Conc <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Conc.html#v:always'>always </a>  STM Bool -> STM () </tt>	always is a variant of alwaysSucceeds in which the invariant is expressed as an STM Bool action that must return True
<tt style='background-color:#E8E8E8;'> GHC.Conc <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Conc.html#v:TVar'>TVar </a>  (TVar# RealWorld a) -> TVar a </tt>	Shared memory locations that support atomic memory transactions
<tt style='background-color:#E8E8E8;'> GHC.Conc <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Conc.html#v:newTVar'>newTVar </a>  a -> STM (TVar a) </tt>	Create a new TVar holding a value supplied
<tt style='background-color:#E8E8E8;'> GHC.Conc <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Conc.html#v:newTVarIO'>newTVarIO </a>  a -> IO (TVar a) </tt>	IO version of newTVar
<tt style='background-color:#E8E8E8;'> GHC.Conc <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Conc.html#v:readTVar'>readTVar </a>  TVar a -> STM a </tt>	Return the current value stored in a TVar
<tt style='background-color:#E8E8E8;'> GHC.Conc <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Conc.html#v:readTVarIO'>readTVarIO </a>  TVar a -> IO a </tt>	Return the current value stored in a TVar
<tt style='background-color:#E8E8E8;'> GHC.Conc <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Conc.html#v:writeTVar'>writeTVar </a>  TVar a -> a -> STM () </tt>	Write the supplied value into a TVar
<tt style='background-color:#E8E8E8;'> GHC.Conc <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Conc.html#v:unsafeIOToSTM'>unsafeIOToSTM </a>  IO a -> STM a </tt>	Unsafely performs IO in the STM monad
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:NoBuffering'>NoBuffering </a>  BufferMode </tt>	buffering is disabled if possible
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:LineBuffering'>LineBuffering </a>  BufferMode </tt>	line-buffering should be enabled if possible
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:BlockBuffering'>BlockBuffering </a>  (Maybe Int) -> BufferMode </tt>	block-buffering should be enabled if possible
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:mkFileHandle'>mkFileHandle </a>  (IODevice dev, BufferedIO dev, Typeable dev) => dev -> FilePath -> IOMode -> Maybe TextEncoding -> NewlineMode -> IO Handle </tt>	makes a new Handle
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:mkDuplexHandle'>mkDuplexHandle </a>  (IODevice dev, BufferedIO dev, Typeable dev) => dev -> FilePath -> Maybe TextEncoding -> NewlineMode -> IO Handle </tt>	like mkFileHandle, except that a Handle is created with two independent buffers, one for reading and one for writing
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hFileSize'>hFileSize </a>  Handle -> IO Integer </tt>	For a handle hdl which attached to a physical file, hFileSize hdl returns the size of that file in 8-bit bytes
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hSetFileSize'>hSetFileSize </a>  Handle -> Integer -> IO () </tt>	hSetFileSize hdl size truncates the physical file with handle hdl to size bytes
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hIsEOF'>hIsEOF </a>  Handle -> IO Bool </tt>	For a readable handle hdl, hIsEOF hdl returns True if no further input can be taken from hdl or for a physical file, if the current I/O position is equal to the length of the file
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hLookAhead'>hLookAhead </a>  Handle -> IO Char </tt>	Computation hLookAhead returns the next character from the handle without removing it from the input buffer, blocking until a character is available
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hSetBuffering'>hSetBuffering </a>  Handle -> BufferMode -> IO () </tt>	Computation hSetBuffering hdl mode sets the mode of buffering for handle hdl on subsequent reads and writes
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hSetBinaryMode'>hSetBinaryMode </a>  Handle -> Bool -> IO () </tt>	Select binary mode (True) or text mode (False) on a open handle
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hSetEncoding'>hSetEncoding </a>  Handle -> TextEncoding -> IO () </tt>	The action hSetEncoding hdl encoding changes the text encoding for the handle hdl to encoding
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hGetEncoding'>hGetEncoding </a>  Handle -> IO (Maybe TextEncoding) </tt>	Return the current TextEncoding for the specified Handle, or Nothing if the Handle is in binary mode
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hFlush'>hFlush </a>  Handle -> IO () </tt>	The action hFlush hdl causes any items buffered for output in handle hdl to be sent immediately to the operating system
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hFlushAll'>hFlushAll </a>  Handle -> IO () </tt>	The action hFlushAll hdl flushes all buffered data in hdl, including any buffered read data
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hDuplicate'>hDuplicate </a>  Handle -> IO Handle </tt>	Returns a duplicate of the original handle, with its own buffer
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hDuplicateTo'>hDuplicateTo </a>  Handle -> Handle -> IO () </tt>	Makes the second handle a duplicate of the first handle
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hClose'>hClose </a>  Handle -> IO () </tt>	Computation hClose hdl makes handle hdl closed
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hGetPosn'>hGetPosn </a>  Handle -> IO HandlePosn </tt>	Computation hGetPosn hdl returns the current I/O position of hdl as a value of the abstract type HandlePosn
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hSetPosn'>hSetPosn </a>  HandlePosn -> IO () </tt>	If a call to hGetPosn hdl returns a position p, then computation hSetPosn p sets the position of hdl to the position it held at the time of the call to hGetPosn
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:AbsoluteSeek'>AbsoluteSeek </a>  SeekMode </tt>	the position of hdl is set to i
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:RelativeSeek'>RelativeSeek </a>  SeekMode </tt>	the position of hdl is set to offset i from the current position
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:SeekFromEnd'>SeekFromEnd </a>  SeekMode </tt>	the position of hdl is set to offset i from the end of the file
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hSeek'>hSeek </a>  Handle -> SeekMode -> Integer -> IO () </tt>	Computation hSeek hdl mode i sets the position of handle hdl depending on mode
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hTell'>hTell </a>  Handle -> IO Integer </tt>	Computation hTell hdl returns the current position of the handle hdl, as the number of bytes from the beginning of the file
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hGetBuffering'>hGetBuffering </a>  Handle -> IO BufferMode </tt>	Computation hGetBuffering hdl returns the current buffering mode for hdl
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hSetEcho'>hSetEcho </a>  Handle -> Bool -> IO () </tt>	Set the echoing status of a handle connected to a terminal
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hGetEcho'>hGetEcho </a>  Handle -> IO Bool </tt>	Get the echoing status of a handle connected to a terminal
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hIsTerminalDevice'>hIsTerminalDevice </a>  Handle -> IO Bool </tt>	Is the handle connected to a terminal?
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hSetNewlineMode'>hSetNewlineMode </a>  Handle -> NewlineMode -> IO () </tt>	Set the NewlineMode on the specified Handle
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:NewlineMode'>NewlineMode </a>  Newline -> Newline -> NewlineMode </tt>	Specifies the translation, if any, of newline characters between internal Strings and the external file or stream
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:[inputNL]'>[inputNL] </a>  NewlineMode -> Newline </tt>	the representation of newlines on input
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:[outputNL]'>[outputNL] </a>  NewlineMode -> Newline </tt>	the representation of newlines on output
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:nativeNewline'>nativeNewline </a>  Newline </tt>	The native newline representation for the current platform: LF on Unix systems, CRLF on Windows
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:noNewlineTranslation'>noNewlineTranslation </a>  NewlineMode </tt>	Do no newline translation at all
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:universalNewlineMode'>universalNewlineMode </a>  NewlineMode </tt>	Map '\r\n' into '\n' on input, and '\n' to the native newline represetnation on output
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:nativeNewlineMode'>nativeNewlineMode </a>  NewlineMode </tt>	Use the native newline representation on both input and output   nativeNewlineMode  = NewlineMode { inputNL  = nativeNewline outputNL = nativeNewline }
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hShow'>hShow </a>  Handle -> IO String </tt>	hShow is in the IO monad, and gives more comprehensive output than the (pure) instance of Show for Handle
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hWaitForInput'>hWaitForInput </a>  Handle -> Int -> IO Bool </tt>	Computation hWaitForInput hdl t waits until input is available on handle hdl
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hGetChar'>hGetChar </a>  Handle -> IO Char </tt>	Computation hGetChar hdl reads a character from the file or channel managed by hdl, blocking until a character is available
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hGetLine'>hGetLine </a>  Handle -> IO String </tt>	Computation hGetLine hdl reads a line from the file or channel managed by hdl
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hGetContents'>hGetContents </a>  Handle -> IO String </tt>	Computation hGetContents hdl returns the list of characters corresponding to the unread portion of the channel or file managed by hdl, which is put into an intermediate state, semi-closed
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hPutChar'>hPutChar </a>  Handle -> Char -> IO () </tt>	Computation hPutChar hdl ch writes the character ch to the file or channel managed by hdl
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hPutStr'>hPutStr </a>  Handle -> String -> IO () </tt>	Computation hPutStr hdl s writes the string s to the file or channel managed by hdl
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hGetBuf'>hGetBuf </a>  Handle -> Ptr a -> Int -> IO Int </tt>	hGetBuf hdl buf count reads data from the handle hdl into the buffer buf until either EOF is reached or count 8-bit bytes have been read
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hGetBufNonBlocking'>hGetBufNonBlocking </a>  Handle -> Ptr a -> Int -> IO Int </tt>	hGetBufNonBlocking hdl buf count reads data from the handle hdl into the buffer buf until either EOF is reached, or count 8-bit bytes have been read, or there is no more data available to read immediately
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle.html#v:hPutBuf'>hPutBuf </a>  Handle -> Ptr a -> Int -> IO () </tt>	hPutBuf hdl buf count writes count 8-bit bytes from the buffer buf to the handle hdl
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle.FD <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle-FD.html#v:stdin'>stdin </a>  Handle </tt>	A handle managing input from the Haskell program's standard input channel
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle.FD <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle-FD.html#v:stdout'>stdout </a>  Handle </tt>	A handle managing output to the Haskell program's standard output channel
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle.FD <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle-FD.html#v:stderr'>stderr </a>  Handle </tt>	A handle managing output to the Haskell program's standard error channel
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle.FD <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle-FD.html#v:openFile'>openFile </a>  FilePath -> IOMode -> IO Handle </tt>	Computation openFile file mode allocates and returns a new, open handle to manage the file file
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle.FD <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle-FD.html#v:openBinaryFile'>openBinaryFile </a>  FilePath -> IOMode -> IO Handle </tt>	Like openFile, but open the file in binary mode
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle.FD <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle-FD.html#v:openFileBlocking'>openFileBlocking </a>  FilePath -> IOMode -> IO Handle </tt>	Like openFile, but opens the file in ordinary blocking mode
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle.FD <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle-FD.html#v:fdToHandle'>fdToHandle </a>  FD -> IO Handle </tt>	Turn an existing file descriptor into a Handle
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle.FD <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle-FD.html#v:fdToHandle''>fdToHandle' </a>  CInt -> Maybe IODeviceType -> Bool -> FilePath -> IOMode -> Bool -> IO Handle </tt>	Old API kept to avoid breaking clients
<tt style='background-color:#E8E8E8;'> GHC.IO.Handle.FD <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Handle-FD.html#v:isEOF'>isEOF </a>  IO Bool </tt>	The computation isEOF is identical to hIsEOF, except that it works only on stdin
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:fixIO'>fixIO </a>  (a -> IO a) -> IO a </tt>	A value of type IO a is a computation which, when performed, does some I/O before returning a value of type a
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:stdin'>stdin </a>  Handle </tt>	A handle managing input from the Haskell program's standard input channel
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:stdout'>stdout </a>  Handle </tt>	A handle managing output to the Haskell program's standard output channel
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:stderr'>stderr </a>  Handle </tt>	A handle managing output to the Haskell program's standard error channel
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:withFile'>withFile </a>  FilePath -> IOMode -> (Handle -> IO r) -> IO r </tt>	withFile name mode act opens a file using openFile and passes the resulting handle to the computation act
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:openFile'>openFile </a>  FilePath -> IOMode -> IO Handle </tt>	Computation openFile file mode allocates and returns a new, open handle to manage the file file
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:ReadMode'>ReadMode </a>  IOMode </tt>	See openFile
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hClose'>hClose </a>  Handle -> IO () </tt>	Computation hClose hdl makes handle hdl closed
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:readFile'>readFile </a>  FilePath -> IO String </tt>	The readFile function reads a file and returns the contents of the file as a string
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:writeFile'>writeFile </a>  FilePath -> String -> IO () </tt>	The computation writeFile file str function writes the string str, to the file file
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:appendFile'>appendFile </a>  FilePath -> String -> IO () </tt>	The computation appendFile file str function appends the string str, to the file file
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hFileSize'>hFileSize </a>  Handle -> IO Integer </tt>	For a handle hdl which attached to a physical file, hFileSize hdl returns the size of that file in 8-bit bytes
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hSetFileSize'>hSetFileSize </a>  Handle -> Integer -> IO () </tt>	hSetFileSize hdl size truncates the physical file with handle hdl to size bytes
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hIsEOF'>hIsEOF </a>  Handle -> IO Bool </tt>	For a readable handle hdl, hIsEOF hdl returns True if no further input can be taken from hdl or for a physical file, if the current I/O position is equal to the length of the file
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:isEOF'>isEOF </a>  IO Bool </tt>	The computation isEOF is identical to hIsEOF, except that it works only on stdin
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:NoBuffering'>NoBuffering </a>  BufferMode </tt>	buffering is disabled if possible
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:LineBuffering'>LineBuffering </a>  BufferMode </tt>	line-buffering should be enabled if possible
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:BlockBuffering'>BlockBuffering </a>  (Maybe Int) -> BufferMode </tt>	block-buffering should be enabled if possible
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hSetBuffering'>hSetBuffering </a>  Handle -> BufferMode -> IO () </tt>	Computation hSetBuffering hdl mode sets the mode of buffering for handle hdl on subsequent reads and writes
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hGetBuffering'>hGetBuffering </a>  Handle -> IO BufferMode </tt>	Computation hGetBuffering hdl returns the current buffering mode for hdl
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hFlush'>hFlush </a>  Handle -> IO () </tt>	The action hFlush hdl causes any items buffered for output in handle hdl to be sent immediately to the operating system
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hGetPosn'>hGetPosn </a>  Handle -> IO HandlePosn </tt>	Computation hGetPosn hdl returns the current I/O position of hdl as a value of the abstract type HandlePosn
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hSetPosn'>hSetPosn </a>  HandlePosn -> IO () </tt>	If a call to hGetPosn hdl returns a position p, then computation hSetPosn p sets the position of hdl to the position it held at the time of the call to hGetPosn
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hSeek'>hSeek </a>  Handle -> SeekMode -> Integer -> IO () </tt>	Computation hSeek hdl mode i sets the position of handle hdl depending on mode
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:AbsoluteSeek'>AbsoluteSeek </a>  SeekMode </tt>	the position of hdl is set to i
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:RelativeSeek'>RelativeSeek </a>  SeekMode </tt>	the position of hdl is set to offset i from the current position
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:SeekFromEnd'>SeekFromEnd </a>  SeekMode </tt>	the position of hdl is set to offset i from the end of the file
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hTell'>hTell </a>  Handle -> IO Integer </tt>	Computation hTell hdl returns the current position of the handle hdl, as the number of bytes from the beginning of the file
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hIsTerminalDevice'>hIsTerminalDevice </a>  Handle -> IO Bool </tt>	Is the handle connected to a terminal?
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hSetEcho'>hSetEcho </a>  Handle -> Bool -> IO () </tt>	Set the echoing status of a handle connected to a terminal
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hGetEcho'>hGetEcho </a>  Handle -> IO Bool </tt>	Get the echoing status of a handle connected to a terminal
<tt style='background-color:#E8E8E8;'> System.IO <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/System-IO.html#v:hShow'>hShow </a>  Handle -> IO String </tt>	hShow is in the IO monad, and gives more comprehensive output than the (pure) instance of Show for Handle
