io.FilterReader	Abstract class for reading filtered character streams
util.regex.Pattern.SliceU	Node class for a unicode_case_insensitiveBMPonly sequence of literal characters
util.regex.Pattern.SliceS	Node class for a case sensitive sequence of literal characters including supplementary characters
util.regex.Pattern.SliceIS	Node class for a case insensitive sequence of literal characters including supplementary characters
util.regex.Pattern.SliceUS	Node class for a case insensitive sequence of literal characters
util.regex.Pattern.All	Implements the Unicode category ALL and the dot metacharacter when in dotall mode
util.regex.Pattern.Dot	Node class for the dot metacharacter when dotall is not enabled
util.regex.Pattern.UnixDot	Node class for the dot metacharacter when dotall is not enabled but UNIX_LINES is enabled
util.regex.Pattern.Ques	The or quantifier
util.regex.Pattern.Curly	Handles the curlybrace style repetition with a specified minimum and maximum occurrences
util.regex.Pattern.GroupCurly	Handles the curlybrace style repetition with a specified minimum and maximum occurrences in deterministic cases
util.regex.Pattern.BranchConn	A Guard node at the end of each atom node in a Branch
util.regex.Pattern.Branch	Handles the branching of alternations
util.regex.Pattern.GroupHead	The GroupHead saves the location where the group begins in the locals and restores them when the match is done
util.regex.Pattern.GroupRef	Recursive reference to a group in the regular expression
util.regex.Pattern.GroupTail	The GroupTail handles the setting of group beginning and ending locations when groups are successfully matched
util.regex.Pattern.Prolog	This sets up a loop to handle a recursive quantifier structure
util.regex.Pattern.Loop	Handles the repetition count for a greedy Curly
util.regex.Pattern.LazyLoop	Handles the repetition count for a reluctant Curly
util.regex.Pattern.BackRef	Refers to a group in the regular expression
util.regex.Pattern.First	Searches until the next instance of its atom
util.regex.Pattern.Pos	Zero width positive lookahead
util.regex.Pattern.Neg	Zero width negative lookahead
util.regex.Pattern.Behind	Zero width positive lookbehind
util.regex.Pattern.BehindS	Zero width positive lookbehind including supplementary characters or unpaired surrogates
util.regex.Pattern.NotBehind	Zero width negative lookbehind
util.regex.Pattern.NotBehindS	Zero width negative lookbehind including supplementary characters or unpaired surrogates
util.regex.Pattern.Bound	Handles word boundaries
util.regex.Pattern.BnM	Attempts to match a slice in the input using the BoyerMoore string matching algorithm
util.regex.Pattern.BnMS	Supplementary support version of BnM
util.regex.ASCII	Utility class that implements the standard C ctype functionality
util.regex.MatchResult	The result of a match operation
util.regex.PatternSyntaxException	Unchecked exception thrown to indicate a syntax error in a regularexpression pattern
util.regex.Matcher	An engine that performs match operations on a link java
util.Timer	A facility for threads to schedule tasks for future execution in a background thread
util.TimerThread	This helper class implements the timer's task execution thread which waits for tasks on the timer queue executions them when they fire reschedules repeating tasks and removes cancelled tasks and spent nonrepeating tasks from the queue
util.TaskQueue	This class represents a timer task queue a priority queue of TimerTasks ordered on nextExecutionTime
util.SortedSet	A link Set that further provides a total ordering on its elements
util.SimpleTimeZone	SimpleTimeZone is a concrete subclass of TimeZone that represents a time zone for use with a Gregorian calendar
util.GregorianCalendar	GregorianCalendar is a concrete subclass of Calendar and provides the standard calendar system used by most of the world
util.HashSet	This class implements the Set interface backed by a hash table actually a HashMap instance
util.IllegalFormatException	Unchecked exception thrown when a format string contains an illegal syntax or a format specifier that is incompatible with the given arguments
util.Collection	The root interface in the collection hierarchy
util.prefs.PreferencesFactory	A factory object that generates Preferences objects
util.prefs.XmlSupport	XML Support for java
util.prefs.InvalidPreferencesFormatException	Thrown to indicate that an operation could not complete because the input did not conform to the appropriate XML document type for a collection of preferences as per the link Preferences specification
util.prefs.AbstractPreferences	This class provides a skeletal implementation of the link Preferences class greatly easing the task of implementing it
util.prefs.AbstractPreferences.NodeAddedEvent	These two classes are used to distinguish NodeChangeEvents on eventQueue so the event dispatch thread knows whether to call childAdded or childRemoved
util.prefs.AbstractPreferences.EventDispatchThread	A single background thread the event notification thread monitors the event queue and delivers events that are placed on the queue
util.prefs.AbstractPreferences.NodeAddedEvent	These two classes are used to distinguish NodeChangeEvents on eventQueue so the event dispatch thread knows whether to call childAdded or childRemoved
util.prefs.AbstractPreferences.EventDispatchThread	A single background thread the event notification thread monitors the event queue and delivers events that are placed on the queue
util.prefs.NodeChangeListener	A listener for receiving preference node change events
util.prefs.BackingStoreException	Thrown to indicate that a preferences operation could not complete because of a failure in the backing store or a failure to contact the backing store
util.prefs.PreferenceChangeListener	A listener for receiving preference change events
util.prefs.PreferenceChangeEvent	An event emitted by a Preferences node to indicate that a preference has been added removed or has had its value changed
util.prefs.Base64	Static methods for translating Base encoded strings to byte arrays and viceversa
util.prefs.Preferences	A node in a hierarchical collection of preference data
util.prefs.NodeChangeEvent	An event emitted by a Preferences node to indicate that a child of that node has been added or removed
util.Random	An instance of this class is used to generate a stream of pseudorandom numbers
util.Formatter	An interpreter for printfstyle format strings
util.LocaleISOData	The and letter ISO language codes
util.IllegalFormatCodePointException	Unchecked exception thrown when a character with an invalid Unicode code point as defined by link CharacterisValidCodePoint is passed to the link Formatter
util.SortedMap	A link Map that further provides a total ordering on its keys
util.PropertyResourceBundle	PropertyResourceBundle is a concrete subclass of ResourceBundle that manages resources for a locale using a set of static strings from a property file
util.NavigableSet	A link SortedSet extended with navigation methods reporting closest matches for given search targets
util.InputMismatchException	Thrown by a Scanner to indicate that the token retrieved does not match the pattern for the expected type or that the token is out of range for the expected type
util.EventObject	 The root class from which all event state objects shall be derived
util.TimeZone	TimeZone represents a time zone offset and also figures out daylight savings
util.EmptyStackException	Thrown by methods in the Stack class to indicate that the stack is empty
util.JapaneseImperialCalendar	JapaneseImperialCalendar implements a Japanese calendar system in which the imperial erabased year numbering is supported from the Meiji era
util.UUID	A class that represents an immutable universally unique identifier UUID
util.InvalidPropertiesFormatException	Thrown to indicate that an operation could not complete because the input did not conform to the appropriate XML document type for a collection of properties as per the link Properties specification
util.LinkedList	Linked list implementation of the List interface
util.LinkedList.DescendingIterator	Adapter to provide descending iterators via ListItr
util.LinkedList.DescendingIterator	Adapter to provide descending iterators via ListItr
util.StringTokenizer	The string tokenizer class allows an application to break a string into tokens
util.MissingFormatArgumentException	Unchecked exception thrown when there is a format specifier which does not have a corresponding argument or if an argument index refers to an argument that does not exist
util.ListIterator	An iterator for lists that allows the programmer to traverse the list in either direction modify the list during iteration and obtain the iterator's current position in the list
util.jar.JarFile	The JarFile class is used to read the contents of a jar file from any file that can be opened with java
util.jar.Attributes	The Attributes class maps Manifest attribute names to associated string values
util.jar.Attributes.Name	The Attributes
util.jar.Attributes.Name	The Attributes
util.jar.JarVerifier	Roland Schemers
util.jar.JarEntry	This class is used to represent a JAR file entry
util.jar.Pack200	Transforms a JAR file to or from a packed stream in Pack format
util.jar.Pack200.Packer	The packer engine applies various transformations to the input JAR file making the pack stream highly compressible by a compressor such as gzip or zip
util.jar.Pack200.Unpacker	The unpacker engine converts the packed stream to a JAR file
util.jar.Pack200.Packer	The packer engine applies various transformations to the input JAR file making the pack stream highly compressible by a compressor such as gzip or zip
util.jar.Pack200.Unpacker	The unpacker engine converts the packed stream to a JAR file
util.jar.Manifest	The Manifest class is used to maintain Manifest entry names and their associated Attributes
util.jar.JarInputStream	The JarInputStream class is used to read the contents of a JAR file from any input stream
util.jar.JarOutputStream	The JarOutputStream class is used to write the contents of a JAR file to any output stream
util.jar.JarException	Signals that an error of some sort has occurred while reading from or writing to a JAR file
util.NoSuchElementException	Thrown by the nextElement method of an Enumeration to indicate that there are no more elements in the enumeration
util.Locale	A Locale object represents a specific geographical political or cultural region
util.Locale.LocaleNameGetter	Obtains a localized locale names from a LocaleNameProvider implementation
util.Locale.LocaleNameGetter	Obtains a localized locale names from a LocaleNameProvider implementation
util.WeakHashMap	A hashtablebased Map implementation with weak keys
util.WeakHashMap.Entry	The entries in this hash table extend WeakReference using its main ref field as the key
util.WeakHashMap.HashIterator	Strong reference needed to avoid disappearance of key between hasNext and next
util.WeakHashMap.Entry	The entries in this hash table extend WeakReference using its main ref field as the key
util.WeakHashMap.HashIterator	Strong reference needed to avoid disappearance of key between hasNext and next
util.AbstractMap	This class provides a skeletal implementation of the Map interface to minimize the effort required to implement this interface
util.AbstractMap.SimpleEntry	An Entry maintaining a key and a value
util.AbstractMap.SimpleImmutableEntry	An Entry maintaining an immutable key and value
util.AbstractMap.SimpleEntry	An Entry maintaining a key and a value
util.AbstractMap.SimpleImmutableEntry	An Entry maintaining an immutable key and value
util.ResourceBundle	Resource bundles contain localespecific objects
util.ResourceBundle.RBClassLoader	A wrapper of ClassLoader
util.ResourceBundle.CacheKey	Key used for cached resource bundles
util.ResourceBundle.CacheKeyReference	The common interface to get a CacheKey in LoaderReference and BundleReference
util.ResourceBundle.LoaderReference	References to class loaders are weak references so that they can be garbage collected when nobody else is using them
util.ResourceBundle.BundleReference	References to bundles are soft references so that they can be garbage collected when they have no hard references
util.ResourceBundle.Control	ResourceBundle
util.ResourceBundle.RBClassLoader	A wrapper of ClassLoader
util.ResourceBundle.CacheKey	Key used for cached resource bundles
util.ResourceBundle.CacheKeyReference	The common interface to get a CacheKey in LoaderReference and BundleReference
util.ResourceBundle.LoaderReference	References to class loaders are weak references so that they can be garbage collected when nobody else is using them
util.ResourceBundle.BundleReference	References to bundles are soft references so that they can be garbage collected when they have no hard references
util.ResourceBundle.Control	ResourceBundle
util.RandomAccess	Marker interface used by List implementations to indicate that they support fast generally constant time random access
util.MissingFormatWidthException	Unchecked exception thrown when the format width is required
util.AbstractList	This class provides a skeletal implementation of the link List interface to minimize the effort required to implement this interface backed by a random access data store such as an array
util.AbstractList.Itr	Index of element to be returned by subsequent call to next
util.AbstractList.Itr	Index of element to be returned by subsequent call to next
util.LinkedHashSet	Hash table and linked list implementation of the Set interface with predictable iteration order
util.List	An ordered collection also known as a sequence
util.JumboEnumSet	Private implementation class for EnumSet for jumbo enum types i
util.JumboEnumSet.EnumSetIterator	A bit vector representing the elements in the current word of the set not yet returned by this iterator
util.JumboEnumSet.EnumSetIterator	A bit vector representing the elements in the current word of the set not yet returned by this iterator
util.Date	The class Date represents a specific instant in time with millisecond precision
util.ServiceLoader	A simple serviceprovider loading facility
util.Hashtable	This class implements a hashtable which maps keys to values
util.Hashtable.Entry	Hashtable collision list
util.Hashtable.Enumerator	A hashtable enumerator class
util.Hashtable.Entry	Hashtable collision list
util.Hashtable.Enumerator	A hashtable enumerator class
util.PriorityQueue	An unbounded priority linkplain Queue queue based on a priority heap
util.PriorityQueue.Itr	Index into queue array of element to be returned by subsequent call to next
util.PriorityQueue.Itr	Index into queue array of element to be returned by subsequent call to next
util.AbstractQueue	This class provides skeletal implementations of some link Queue operations
util.Arrays	This class contains various methods for manipulating arrays such as sorting and searching
util.Arrays.ArrayList	include
util.Arrays.ArrayList	include
util.UnknownFormatFlagsException	Unchecked exception thrown when an unknown flag is given
util.Observer	A class can implement the Observer interface when it wants to be informed of changes in observable objects
util.RegularEnumSet	Private implementation class for EnumSet for regular sized enum types i
util.RegularEnumSet.EnumSetIterator	A bit vector representing the elements in the set not yet returned by this iterator
util.RegularEnumSet.EnumSetIterator	A bit vector representing the elements in the set not yet returned by this iterator
util.Calendar	The Calendar class is an abstract class that provides methods for converting between a specific instant in time and a set of link fields calendar fields such as YEAR MONTH DAY_OF_MONTH HOUR and so on and for manipulating the calendar fields such as getting the date of the next week
util.IllegalFormatWidthException	Unchecked exception thrown when the format width is a negative value other than or is otherwise unsupported
util.EnumMap	A specialized link Map implementation for use with enum type keys
util.EnumMap.EntryIterator	Since we don't use Entry objects we use the Iterator itself as entry
util.EnumMap.EntryIterator	Since we don't use Entry objects we use the Iterator itself as entry
util.Scanner	A simple text scanner which can parse primitive types and strings using regular expressions
util.EventListener	A tagging interface that all event listener interfaces must extend
util.IllegalFormatConversionException	Unchecked exception thrown when the argument corresponding to the format specifier is of an incompatible type
util.ArrayDeque	Resizablearray implementation of the link Deque interface
util.ArrayDeque.DeqIterator	Index of element to be returned by subsequent call to next
util.ArrayDeque.DeqIterator	Index of element to be returned by subsequent call to next
util.IdentityHashMap	This class implements the Map interface with a hash table using referenceequality in place of objectequality when comparing keys and values
util.IdentityHashMap.EntryIterator	Since we don't use Entry objects we use the Iterator itself as an entry
util.IdentityHashMap.EntryIterator	Since we don't use Entry objects we use the Iterator itself as an entry
util.AbstractCollection	This class provides a skeletal implementation of the Collection interface to minimize the effort required to implement this interface
util.Observable	This class represents an observable object or data in the modelview paradigm
util.Iterator	An iterator over a collection
util.Queue	A collection designed for holding elements prior to processing
lang.NoSuchFieldException	Signals that the class doesn't have a field of a specified name
lang.StringIndexOutOfBoundsException	Thrown by String methods to indicate that an index is either negative or greater than the size of the string
lang.ClassLoader	A class loader is an object that is responsible for loading classes
lang.ClassLoader.NativeLibrary	The inner class NativeLibrary denotes a loaded native library instance
lang.ClassLoader.NativeLibrary	The inner class NativeLibrary denotes a loaded native library instance
lang.Override	Indicates that a method declaration is intended to override a method declaration in a superclass
lang.NullPointerException	Thrown when an application attempts to use null in a case where an object is required
lang.VirtualMachineError	Thrown to indicate that the Java Virtual Machine is broken or has run out of resources necessary for it to continue operating
lang.StringBuffer	A threadsafe mutable sequence of characters
lang.UnknownError	Thrown when an unknown but serious exception has occurred in the Java Virtual Machine
lang.ThreadLocal	This class provides threadlocal variables
lang.ThreadLocal.ThreadLocalMap	ThreadLocalMap is a customized hash map suitable only for maintaining thread local values
lang.ThreadLocal.ThreadLocalMap.Entry	The entries in this hash map extend WeakReference using its main ref field as the key which is always a ThreadLocal object
lang.ThreadLocal.ThreadLocalMap	ThreadLocalMap is a customized hash map suitable only for maintaining thread local values
lang.ThreadLocal.ThreadLocalMap.Entry	The entries in this hash map extend WeakReference using its main ref field as the key which is always a ThreadLocal object
lang.ThreadLocal.ThreadLocalMap.Entry	The entries in this hash map extend WeakReference using its main ref field as the key which is always a ThreadLocal object
lang.management.MemoryManagerMXBean	The management interface for a memory manager
lang.management.MonitorInfo	Information about an object monitor lock
lang.management.ManagementFactory	The ManagementFactory class is a factory class for getting managed beans for the Java platform
lang.management.OperatingSystemMXBean	The management interface for the operating system on which the Java virtual machine is running
lang.management.MemoryType	Types of link MemoryPoolMXBean memory pools
lang.management.MemoryMXBean	The management interface for the memory system of the Java virtual machine
lang.management.GarbageCollectorMXBean	The management interface for the garbage collection of the Java virtual machine
lang.management.LockInfo	Information about a lock
lang.management.MemoryUsage	A MemoryUsage object represents a snapshot of memory usage
lang.management.MemoryNotificationInfo	The information about a memory notification
lang.management.ThreadMXBean	The management interface for the thread system of the Java virtual machine
lang.management.CompilationMXBean	The management interface for the compilation system of the Java virtual machine
lang.management.ThreadInfo	Thread information
lang.management.ManagementPermission	The permission which the SecurityManager will check when code that is running with a SecurityManager calls methods defined in the management interface for the Java platform
lang.management.MemoryPoolMXBean	The management interface for a memory pool
lang.management.ClassLoadingMXBean	The management interface for the class loading system of the Java virtual machine
lang.management.RuntimeMXBean	The management interface for the runtime system of the Java virtual machine
lang.StringBuilder	A mutable sequence of characters
lang.AssertionError	Thrown to indicate that an assertion has failed
lang.ClassFormatError	Thrown when the Java Virtual Machine attempts to read a class file and determines that the file is malformed or otherwise cannot be interpreted as a class file
lang.Readable	A Readable is a source of characters
lang.IllegalAccessException	An IllegalAccessException is thrown when an application tries to reflectively create an instance other than an array set or get a field or invoke a method but the currently executing method does not have access to the definition of the specified class field method or constructor
lang.ClassCircularityError	Thrown when a circularity has been detected while initializing a class
lang.InstantiationException	Thrown when an application tries to create an instance of a class using the code newInstance method in class code Class but the specified class object cannot be instantiated
lang.RuntimeException	RuntimeException is the superclass of those exceptions that can be thrown during the normal operation of the Java Virtual Machine
lang.Error	An Error is a subclass of Throwable that indicates serious problems that a reasonable application should not try to catch
lang.Enum	This is the common base class of all Java language enumeration types
lang.StackOverflowError	Thrown when a stack overflow occurs because an application recurses too deeply
lang.NoSuchMethodException	Thrown when a particular method cannot be found
lang.Exception	The class Exception and its subclasses are a form of Throwable that indicates conditions that a reasonable application might want to catch
lang.VerifyError	Thrown when the verifier detects that a class file though well formed contains some sort of internal inconsistency or security problem
lang.Integer	The code Integer class wraps a value of the primitive type code int in an object
lang.Comparable	This interface imposes a total ordering on the objects of each class that implements it
lang.Void	The code Void class is an uninstantiable placeholder class to hold a reference to the code Class object representing the Java keyword void
lang.LinkageError	Subclasses of LinkageError indicate that a class has some dependency on another class however the latter class has incompatibly changed after the compilation of the former class
lang.Process	The link ProcessBuilderstart and link RuntimeexecStringStringFile Runtime
lang.OutOfMemoryError	Thrown when the Java Virtual Machine cannot allocate an object because it is out of memory and no more memory could be made available by the garbage collector
lang.StrictMath	The class code StrictMath contains methods for performing basic numeric operations such as the elementary exponential logarithm square root and trigonometric functions
lang.Boolean	The Boolean class wraps a value of the primitive type code boolean in an object
lang.ClassCastException	Thrown to indicate that the code has attempted to cast an object to a subclass of which it is not an instance
lang.Throwable	The Throwable class is the superclass of all errors and exceptions in the Java language
lang.AssertionStatusDirectives	A collection of assertion status directives such as enable assertions in package p or disable assertions in class c
lang.IllegalMonitorStateException	Thrown to indicate that a thread has attempted to wait on an object's monitor or to notify other threads waiting on an object's monitor without owning the specified monitor
lang.NoSuchMethodError	Thrown if an application tries to call a specified method of a class either static or instance and that class no longer has a definition of that method
lang.ProcessBuilder	This class is used to create operating system processes
lang.Runnable	The Runnable interface should be implemented by any class whose instances are intended to be executed by a thread
lang.NoSuchFieldError	Thrown if an application tries to access or modify a specified field of an object and that object no longer has that field
lang.Iterable	Implementing this interface allows an object to be the target of the foreach statement
lang.InternalError	Thrown to indicate some unexpected internal error has occurred in the Java Virtual Machine
lang.String	The String class represents character strings
lang.Double	The code Double class wraps a value of the primitive type code double in an object
lang.Math	The class code Math contains methods for performing basic numeric operations such as the elementary exponential logarithm square root and trigonometric functions
lang.Appendable	An object to which char sequences and values can be appended
lang.UnsupportedClassVersionError	Thrown when the Java Virtual Machine attempts to read a class file and determines that the major and minor version numbers in the file are not supported
lang.Package	code Package objects contain version information about the implementation and specification of a Java package
lang.Deprecated	A program element annotated Deprecated is one that programmers are discouraged from using typically because it is dangerous or because a better alternative exists
lang.InterruptedException	Thrown when a thread is waiting sleeping or otherwise occupied and the thread is interrupted either before or during the activity
lang.EnumConstantNotPresentException	Thrown when an application tries to access an enum constant by name and the enum type contains no constant with the specified name
lang.ThreadGroup	A thread group represents a set of threads
lang.ArithmeticException	Thrown when an exceptional arithmetic condition has occurred
lang.Cloneable	A class implements the Cloneable interface to indicate to the link java
lang.InheritableThreadLocal	This class extends ThreadLocal to provide inheritance of values from parent thread to child thread when a child thread is created the child receives initial values for all inheritable threadlocal variables for which the parent has values
lang.ref.ReferenceQueue	Reference queues to which registered reference objects are appended by the garbage collector after the appropriate reachability changes are detected
lang.ref.Reference	Abstract base class for reference objects
lang.ref.SoftReference	Soft reference objects which are cleared at the discretion of the garbage collector in response to memory demand
lang.ref.WeakReference	Weak reference objects which do not prevent their referents from being made finalizable finalized and then reclaimed
lang.ref.PhantomReference	Phantom reference objects which are enqueued after the collector determines that their referents may otherwise be reclaimed
lang.InstantiationError	Thrown when an application tries to use the Java new construct to instantiate an abstract class or an interface
lang.NumberFormatException	Thrown to indicate that the application has attempted to convert a string to one of the numeric types but that the string does not have the appropriate format
lang.instrument.Instrumentation	This class provides services needed to instrument Java programming language code
lang.instrument.ClassDefinition	This class serves as a parameter block to the Instrumentation
lang.instrument.IllegalClassFormatException	Thrown by an implementation of link java
lang.instrument.ClassFileTransformer	An agent provides an implementation of this interface in order to transform class files
lang.instrument.UnmodifiableClassException	Thrown by an implementation of link java
lang.SecurityManager	The security manager is a class that allows applications to implement a security policy
lang.AbstractStringBuilder	A mutable sequence of characters
lang.NegativeArraySizeException	Thrown if an application tries to create an array with negative size
lang.UnsupportedOperationException	Thrown to indicate that the requested operation is not supported
lang.Byte	The code Byte class wraps a value of primitive type code byte in an object
lang.Long	The code Long class wraps a value of the primitive type code long in an object
lang.System	The System class contains several useful class fields and methods
lang.Object	Class Object is the root of the class hierarchy
lang.IncompatibleClassChangeError	Thrown when an incompatible class change has occurred to some class definition
lang.annotation.ElementType	A program element type
lang.annotation.Target	Indicates the kinds of program element to which an annotation type is applicable
lang.annotation.Documented	Indicates that annotations with a type are to be documented by javadoc and similar tools by default
lang.annotation.AnnotationFormatError	Thrown when the annotation parser attempts to read an annotation from a class file and determines that the annotation is malformed
lang.annotation.AnnotationTypeMismatchException	Thrown to indicate that a program has attempted to access an element of an annotation whose type has changed after the annotation was compiled or serialized
lang.annotation.IncompleteAnnotationException	Thrown to indicate that a program has attempted to access an element of an annotation type that was added to the annotation type definition after the annotation was compiled or serialized
lang.annotation.Annotation	The common interface extended by all annotation types
lang.annotation.RetentionPolicy	Annotation retention policy
lang.annotation.Retention	Indicates how long annotations with the annotated type are to be retained
lang.annotation.Inherited	Indicates that an annotation type is automatically inherited
lang.SuppressWarnings	Indicates that the named compiler warnings should be suppressed in the annotated element and in all program elements contained in the annotated element
lang.Character	The Character class wraps a value of the primitive type char in an object
lang.Character.Subset	Instances of this class represent particular subsets of the Unicode character set
lang.Character.UnicodeBlock	A family of character subsets representing the character blocks in the Unicode specification
lang.Character.Subset	Instances of this class represent particular subsets of the Unicode character set
lang.Character.UnicodeBlock	A family of character subsets representing the character blocks in the Unicode specification
lang.IllegalThreadStateException	Thrown to indicate that a thread is not in an appropriate state for the requested operation
lang.ConditionalSpecialCasing	This is a utility class for String
lang.ConditionalSpecialCasing.Entry	An internal class that represents an entry in the Special Casing Properties
lang.ConditionalSpecialCasing.Entry	An internal class that represents an entry in the Special Casing Properties
lang.SecurityException	Thrown by the security manager to indicate a security violation
lang.Float	The code Float class wraps a value of primitive type code float in an object
lang.TypeNotPresentException	Thrown when an application tries to access a type using a string representing the type's name but no definition for the type with the specified name can be found
lang.ArrayStoreException	Thrown to indicate that an attempt has been made to store the wrong type of object into an array of objects
lang.ExceptionInInitializerError	Signals that an unexpected exception has occurred in a static initializer
lang.reflect.InvocationHandler	code InvocationHandler is the interface implemented by the invocation handler of a proxy instance
lang.reflect.TypeVariable	TypeVariable is the common superinterface for type variables of kinds
lang.reflect.AccessibleObject	The AccessibleObject class is the base class for Field Method and Constructor objects
lang.reflect.InvocationTargetException	InvocationTargetException is a checked exception that wraps an exception thrown by an invoked method or constructor
lang.reflect.Type	Type is the common superinterface for all types in the Java programming language
lang.reflect.Member	Member is an interface that reflects identifying information about a single member a field or a method or a constructor
lang.reflect.ReflectAccess	Packageprivate class implementing the sun
lang.reflect.GenericArrayType	code GenericArrayType represents an array type whose component type is either a parameterized type or a type variable
lang.reflect.ParameterizedType	ParameterizedType represents a parameterized type such as CollectionltStringgt
lang.reflect.UndeclaredThrowableException	Thrown by a method invocation on a proxy instance if its invocation handler's link InvocationHandlerinvoke invoke method throws a checked exception a code Throwable that is not assignable to code RuntimeException or code Error that is not assignable to any of the exception types declared in the code throws clause of the method that was invoked on the proxy instance and dispatched to the invocation handler
lang.reflect.Field	A code Field provides information about and dynamic access to a single field of a class or an interface
lang.reflect.WildcardType	WildcardType represents a wildcard type expression such as code code extends Number or code super Integer
lang.reflect.GenericDeclaration	A common interface for all entities that declare type variables
lang.reflect.AnnotatedElement	Represents an annotated element of the program currently running in this VM
lang.reflect.Array	The code Array class provides static methods to dynamically create and access Java arrays
lang.reflect.Constructor	code Constructor provides information about and access to a single constructor for a class
lang.reflect.Proxy	code Proxy provides static methods for creating dynamic proxy classes and instances and it is also the superclass of all dynamic proxy classes created by those methods
lang.reflect.MalformedParameterizedTypeException	Thrown when a semantically malformed parameterized type is encountered by a reflective method that needs to instantiate it
lang.reflect.GenericSignatureFormatError	Thrown when a syntactically malformed signature attribute is encountered by a reflective method that needs to interpret the generic signature information for a type method or constructor
lang.reflect.Method	A code Method provides information about and access to a single method on a class or interface
lang.reflect.Modifier	The Modifier class provides code static methods and constants to decode class and member access modifiers
lang.reflect.ReflectPermission	The Permission class for reflective operations
lang.Short	The code Short class wraps a value of primitive type code short in an object
lang.IllegalAccessError	Thrown if an application attempts to access or modify a field or to call a method that it does not have access to
lang.Shutdown	Packageprivate utility class containing data structures and logic governing the virtualmachine shutdown sequence
lang.NoClassDefFoundError	Thrown if the Java Virtual Machine or a ClassLoader instance tries to load in the definition of a class as part of a normal method call or as part of creating a new instance using the new expression and no definition of the class could be found
lang.IndexOutOfBoundsException	Thrown to indicate that an index of some sort such as to an array to a string or to a vector is out of range
lang.ClassNotFoundException	Thrown when an application tries to load in a class through its string name using The forName method in class Class
lang.StackTraceElement	An element in a stack trace as returned by link ThrowablegetStackTrace
lang.StringCoding	Utility class for string encoding and decoding
lang.IllegalArgumentException	Thrown to indicate that a method has been passed an illegal or inappropriate argument
lang.Class	Instances of the class code Class represent classes and interfaces in a running Java application
lang.RuntimePermission	This class is for runtime permissions
lang.IllegalStateException	Signals that a method has been invoked at an illegal or inappropriate time
lang.Number	The abstract class Number is the superclass of classes BigDecimal BigInteger Byte Double Float Integer Long and Short
lang.ThreadDeath	An instance of code ThreadDeath is thrown in the victim thread when the deprecated link Threadstop method is invoked
lang.Runtime	Every Java application has a single instance of class Runtime that allows the application to interface with the environment in which the application is running
lang.AbstractMethodError	Thrown when an application tries to call an abstract method
lang.UnsatisfiedLinkError	Thrown if the Java Virtual Machine cannot find an appropriate nativelanguage definition of a method declared native
lang.CloneNotSupportedException	Thrown to indicate that the clone method in class Object has been called to clone an object but that the object's class does not implement the Cloneable interface
lang.Thread	A thread is a thread of execution in a program
lang.Thread.State	A thread state
lang.Thread.UncaughtExceptionHandler	Interface for handlers invoked when a Thread abruptly terminates due to an uncaught exception
lang.Thread.State	A thread state
lang.Thread.UncaughtExceptionHandler	Interface for handlers invoked when a Thread abruptly terminates due to an uncaught exception
lang.ArrayIndexOutOfBoundsException	Thrown to indicate that an array has been accessed with an illegal index
lang.CharSequence	A CharSequence is a readable sequence of char values
lang.Compiler	The code Compiler class is provided to support Javatonativecode compilers and related services
