core	NoseWrapper	test	label verbose extra_argv doctests	run tests for module using nose %(test_header)s
nonparametric	GenericKDE	_compute_bw	bw	computes the bandwidth of the data
nonparametric	GenericKDE	_compute_dispersion	data	computes the measure of dispersion
nonparametric	GenericKDE	_get_class_vars_type		helper method to be able to pass needed vars to _compute_subset
nonparametric	GenericKDE	_compute_efficient	bw	computes the bandwidth by estimating the scaling factor c in n_res resamples of size n_sub (in randomize case), or by
nonparametric	GenericKDE	_set_defaults	defaults	sets the default values for the efficient estimation
nonparametric	GenericKDE	_normal_reference		returns scott's normal reference rule of thumb bandwidth parameter
nonparametric	GenericKDE	_set_bw_bounds	bw	sets bandwidth lower bound to effectively zero )1e-10), and for discrete values upper bound to 1
nonparametric	GenericKDE	_cv_ml		returns the cross validation maximum likelihood bandwidth parameter
nonparametric	GenericKDE	_cv_ls		returns the cross-validation least squares bandwidth parameter s
nonparametric		_adjust_shape	dat k_vars	returns an array of shape (nobs k_vars) for use with gpke
nonparametric		gpke	bw data data_predict var_type	returns the non-normalized generalized product kernel estimator parameters
nonparametric	KDEMultivariate	__repr__		provide something sane to print
nonparametric	KDEMultivariate	loo_likelihood	bw func	returns the leave-one-out likelihood function
nonparametric	KDEMultivariate	pdf	data_predict	evaluate the probability density function
nonparametric	KDEMultivariate	cdf	data_predict	evaluate the cumulative distribution function
nonparametric	KDEMultivariate	imse	bw	returns the integrated mean square error for the unconditional kde
nonparametric	KDEMultivariate	_get_class_vars_type		helper method to be able to pass needed vars to _compute_subset
nonparametric	KDEMultivariateConditional	__repr__		provide something sane to print
nonparametric	KDEMultivariateConditional	loo_likelihood	bw func	returns the leave-one-out conditional likelihood of the data
nonparametric	KDEMultivariateConditional	pdf	endog_predict exog_predict	evaluate the probability density function
nonparametric	KDEMultivariateConditional	cdf	endog_predict exog_predict	cumulative distribution function for the conditional density
nonparametric	KDEMultivariateConditional	imse	bw	the integrated mean square error for the conditional kde
nonparametric	KDEMultivariateConditional	_get_class_vars_type		helper method to be able to pass needed vars to _compute_subset
nonparametric		lowess	endog exog frac it	lowess locally weighted scatterplot smoothing a lowess function that outs smoothed estimates of endog
nonparametric		aitchison_aitken	h Xi x num_levels	the aitchison-aitken kernel used for unordered discrete random variables
nonparametric		wang_ryzin	h Xi x	the wang-ryzin kernel used for ordered discrete random variables
nonparametric		gaussian	h Xi x	gaussian kernel for continuous variables parameters
nonparametric		gaussian_convolution	h Xi x	calculates the gaussian convolution kernel
nonparametric		aitchison_aitken_reg	h Xi x	a version for the aitchison-aitken kernel for nonparametric regression
nonparametric		wang_ryzin_reg	h Xi x	a version for the wang-ryzin kernel for nonparametric regression
nonparametric	KDEUnivariate	fit	kernel bw fft weights	attach the density estimate to the kdeunivariate class
nonparametric	KDEUnivariate	cdf		returns the cumulative distribution function evaluated at the support
nonparametric	KDEUnivariate	cumhazard		returns the hazard function evaluated at the support
nonparametric	KDEUnivariate	sf		returns the survival function evaluated at the support
nonparametric	KDEUnivariate	entropy		returns the differential entropy evaluated at the support notes
nonparametric	KDEUnivariate	icdf		inverse cumulative distribution quantile function notes
nonparametric	KDEUnivariate	evaluate	point	evaluate density at a single point
nonparametric		kdensity	X kernel bw weights	rosenblatt-parzen univariate kernel density estimator
nonparametric		kdensityfft	X kernel bw weights	rosenblatt-parzen univariate kernel density estimator parameters
nonparametric		forrt	X m	rfft with order like munro 1976 fortt routine
nonparametric		revrt	X m	inverse of forrt equivalent to munro 1976 revrt routine
nonparametric		silverman_transform	bw M RANGE	fft of gaussian kernel following to silverman as 176
nonparametric		counts	x v	counts the number of elements of x that fall within the grid points v notes
nonparametric		lowess	endog exog frac it	lowess locally weighted scatterplot smoothing a lowess function that outs smoothed estimates of endog
nonparametric		_lowess_initial_fit	x_copy y_copy k n	the initial weighted local linear regression for lowess
nonparametric		_lowess_wt_standardize	weights new_entries x_copy_i width	the initial phase of creating the weights
nonparametric		_lowess_robustify_fit	x_copy y_copy fitted weights	additional weighted local linear regressions performed if iter>0
nonparametric		_lowess_update_nn	x cur_nn i	update the endpoints of the nearest neighbors to the ith point
nonparametric		_lowess_tricube	t	the _tricube function applied to a numpy array
nonparametric		_lowess_mycube	t	fast matrix cube
nonparametric		_lowess_bisquare	t	the bisquare function applied to a numpy array
genmod	CovStruct	initialize	model	called by gee used by implementations that need additional setup prior to running fit
genmod	CovStruct	update	params	updates the association parameter values based on the current regression coefficients
genmod	CovStruct	covariance_matrix	endog_expval index	returns the working covariance or correlation matrix for a given cluster of data
genmod	CovStruct	covariance_matrix_solve	expval index stdev rhs	solves matrix equations of the form covmat * soln = rhs and returns the values of soln, where covmat is the covariance
genmod	CovStruct	summary		returns a text summary of the current estimate of the dependence structure
genmod	Nested	initialize	model	called on the first call to update ilabels is a list of n_i x n_i matrices containing integer
genmod	Nested	summary		returns a summary string describing the state of the dependence structure
genmod	GlobalOddsRatio	pooled_odds_ratio	tables	returns the pooled odds ratio for a list of 2x2 tables
genmod	GlobalOddsRatio	observed_crude_oddsratio		to obtain the crude global odds ratio first pool all binary indicators corresponding to a given pair of cut points (c c'),
genmod	GlobalOddsRatio	get_eyy	endog_expval index	returns a matrix v such that v[i j] is the joint probability that endog[i] = 1 and endog[j] = 1 based on the marginal
genmod	GlobalOddsRatio	update	params	update the global odds ratio based on the current value of params
genmod	Equivalence	_make_pairs	i j	create arrays containing all unique ordered pairs of i j
genmod	ParameterConstraint	offset_increment		returns a vector that should be added to the offset vector to accommodate the constraint
genmod	ParameterConstraint	reduced_exog		returns a linearly transformed exog matrix whose columns span the constrained model space
genmod	ParameterConstraint	restore_exog		returns the full exog matrix before it was reduced to satisfy the constraint
genmod	ParameterConstraint	unpack_param	params	converts the parameter vector params from reduced to full coordinates
genmod	ParameterConstraint	unpack_cov	bcov	converts the covariance matrix bcov from reduced to full coordinates
genmod	GEE	cluster_list	array	returns array split into subarrays corresponding to the cluster structure
genmod	GEE	estimate_scale		returns an estimate of the scale parameter at the current parameter value
genmod	GEE	mean_deriv	exog lin_pred	derivative of the expected endog with respect to the parameters
genmod	GEE	mean_deriv_exog	exog params offset_exposure	derivative of the expected endog with respect to exog
genmod	GEE	update_cached_means	mean_params	cached_means should always contain the most recent calculation of the group-wise mean vectors
genmod	GEE	_covmat		returns the sampling covariance matrix of the regression parameters and related quantities
genmod	GEE	predict	params exog offset exposure	return predicted values for a marginal regression model fit using gee
genmod	GEE	_handle_constraint	mean_params bcov	expand the parameter estimate mean_params and covariance matrix bcov to the coordinate system of the unconstrained model
genmod	GEE	_update_assoc	params	update the association parameters
genmod	GEE	_derivative_exog	params exog transform dummy_idx	for computing marginal effects returns df xb / dx where f
genmod	GEEResults	standard_errors	cov_type	this is a convenience function that returns the standard errors for any covariance type
genmod	GEEResults	resid		returns the residuals the endogeneous data minus the fitted values from the model
genmod	GEEResults	resid_split		returns the residuals the endogeneous data minus the fitted values from the model
genmod	GEEResults	resid_centered		returns the residuals centered within each group
genmod	GEEResults	resid_centered_split		returns the residuals centered within each group the
genmod	GEEResults	fittedvalues		returns the fitted values from the model
genmod	GEEResults	conf_int	alpha cols cov_type	returns confidence intervals for the fitted parameters
genmod	GEEResults	summary	yname xname title alpha	summarize the gee regression results parameters
genmod	GEEResults	get_margeff	at method atexog dummy	get marginal effects of the fitted model
genmod	GEEResults	plot_isotropic_dependence	ax xpoints min_n	create a plot of the pairwise products of within-group residuals against the corresponding time differences
genmod	GEEResults	sensitivity_params	dep_params_first dep_params_last num_steps	refits the gee model using a sequence of values for the dependence parameters
genmod	OrdinalGEE	setup_ordinal	endog exog groups time	restructure ordinal data as binary indicators so that they can be analysed using generalized estimating equations
genmod	OrdinalGEEResults	plot_distribution	ax exog_values	plot the fitted probabilities of endog in an ordinal model for specifed values of the predictors
genmod	NominalGEE	setup_nominal	endog exog groups time	restructure nominal data as binary indicators so that they can be analysed using generalized estimating equations
genmod	NominalGEE	mean_deriv	exog lin_pred	derivative of the expected endog with respect to the parameters
genmod	NominalGEE	mean_deriv_exog	exog params offset_exposure	derivative of the expected endog with respect to exog for the multinomial model used in analyzing marginal effects
genmod	NominalGEEResults	plot_distribution	ax exog_values	plot the fitted probabilities of endog in an nominal model for specifed values of the predictors
genmod	_MultinomialLogit	inverse	lpr	inverse of the multinomial logit transform which gives the expected values of the data as a function of the linear
genmod	GEEMargins	summary_frame	alpha	returns a dataframe summarizing the marginal effects
genmod	GEEMargins	conf_int	alpha	returns the confidence intervals of the marginal effects parameters
genmod	GEEMargins	summary	alpha	returns a summary table for marginal effects parameters
genmod	GLM	initialize		initialize a generalized linear model
genmod	GLM	loglike_mu	mu scale	evaluate the log-likelihood for a generalized linear model
genmod	GLM	loglike	params scale	evaluate the log-likelihood for a generalized linear model
genmod	GLM	score_obs	params scale	score first derivative of the loglikelihood for each observation
genmod	GLM	score	params scale	score first derivative of the loglikelihood function parameters
genmod	GLM	score_factor	params scale	weights for score for each observation this can be considered as score residuals
genmod	GLM	hessian_factor	params scale observed	weights for calculating hessian parameters
genmod	GLM	hessian	params scale observed	hessian second derivative of loglikelihood function parameters
genmod	GLM	information	params scale	fisher information matrix
genmod	GLM	score_test	params_constrained k_constraints exog_extra observed	score test for restrictions or for omitted variables the covariance matrix for the score is based on the hessian i
genmod	GLM	_update_history	tmp_result mu history	helper method to update history during iterative fit
genmod	GLM	estimate_scale	mu	estimates the dispersion/scale
genmod	GLM	estimate_tweedie_power	mu method low high	tweedie specific function to estimate scale and the variance parameter
genmod	GLM	predict	params exog exposure offset	return predicted values for a design matrix parameters
genmod	GLM	get_distribution	params scale exog exposure	returns a random number generator for the predictive distribution
genmod	GLM	fit	start_params maxiter method tol	fits a generalized linear model for a given family
genmod	GLM	_fit_gradient	start_params method maxiter tol	fits a generalized linear model for a given family iteratively using the scipy gradient optimizers
genmod	GLM	_fit_irls	start_params maxiter tol scale	fits a generalized linear model for a given family using iteratively reweighted least squares irls
genmod	GLM	fit_regularized	method alpha start_params refit	return a regularized fit to a linear regression model
genmod	GLM	fit_constrained	constraints start_params	fit the model subject to linear equality constraints the constraints are of the form r params = q
genmod	GLMResults	summary	yname xname title alpha	summarize the regression results parameters
genmod	GLMResults	summary2	yname xname title alpha	experimental summary for regression results parameters
genmod	PredictionResults	t_test	value alternative	z- or t-test for hypothesis that mean is equal to value parameters
genmod	PredictionResults	conf_int	method alpha	returns the confidence interval of the value effect of the constraint
genmod		get_prediction_glm	exog transform weights row_labels	compute prediction results parameters
genmod		params_transform_univariate	params cov_params link transform	results for univariate nonlinear monotonicaly transformed parameters this provides transformed values standard errors and confidence interval
genmod.families	Link	__call__	p	return the value of the link function this is just a placeholder
genmod.families	Link	inverse	z	inverse of the link function just a placeholder
genmod.families	Link	deriv	p	derivative of the link function g' p just a placeholder
genmod.families	Link	deriv2	p	second derivative of the link function g'' p
genmod.families	Link	inverse_deriv	z	derivative of the inverse link function g^ -1 z
genmod.families	Logit	_clean	p	clip logistic values to range eps 1-eps
genmod.families	Logit	__call__	p	the logit transform
genmod.families	Logit	inverse	z	inverse of the logit transform
genmod.families	Logit	deriv	p	derivative of the logit transform
genmod.families	Logit	inverse_deriv	z	derivative of the inverse of the logit transform parameters
genmod.families	Logit	deriv2	p	second derivative of the logit function
genmod.families	Power	__call__	p	power transform link function parameters
genmod.families	Power	inverse	z	inverse of the power transform link function
genmod.families	Power	deriv	p	derivative of the power transform
genmod.families	Power	deriv2	p	second derivative of the power transform
genmod.families	Power	inverse_deriv	z	derivative of the inverse of the power transform parameters
genmod.families	Log	__call__	p	log transform link function
genmod.families	Log	inverse	z	inverse of log transform link function
genmod.families	Log	deriv	p	derivative of log transform link function
genmod.families	Log	deriv2	p	second derivative of the log transform link function
genmod.families	Log	inverse_deriv	z	derivative of the inverse of the log transform link function
genmod.families	CDFLink	__call__	p	cdf link function parameters
genmod.families	CDFLink	inverse	z	the inverse of the cdf link parameters
genmod.families	CDFLink	deriv	p	derivative of cdf link parameters
genmod.families	CDFLink	deriv2	p	second derivative of the link function g'' p
genmod.families	CDFLink	inverse_deriv	z	derivative of the inverse of the cdf transformation link function
genmod.families	cauchy	deriv2	p	second derivative of the cauchy link function
genmod.families	CLogLog	__call__	p	c-log-log transform link function
genmod.families	CLogLog	inverse	z	inverse of c-log-log transform link function
genmod.families	CLogLog	deriv	p	derivative of c-log-log transform link function
genmod.families	CLogLog	deriv2	p	second derivative of the c-log-log ink function
genmod.families	CLogLog	inverse_deriv	z	derivative of the inverse of the c-log-log transform link function
genmod.families	NegativeBinomial	__call__	p	negative binomial transform link function
genmod.families	NegativeBinomial	inverse	z	inverse of the negative binomial transform parameters
genmod.families	NegativeBinomial	deriv	p	derivative of the negative binomial transform
genmod.families	NegativeBinomial	deriv2	p	second derivative of the negative binomial link function
genmod.families	NegativeBinomial	inverse_deriv	z	derivative of the inverse of the negative binomial transform
genmod.families	Family	_setlink	link	helper method to set the link for a family
genmod.families	Family	_getlink		helper method to get the link for a family
genmod.families	Family	starting_mu	y	starting value for mu in the irls algorithm
genmod.families	Family	weights	mu	weights for irls steps parameters
genmod.families	Family	deviance	endog mu freq_weights scale	the deviance function evaluated at (endog mu freq_weights mu)
genmod.families	Family	resid_dev	endog mu freq_weights scale	the deviance residuals parameters
genmod.families	Family	fitted	lin_pred	fitted values based on linear predictors lin_pred
genmod.families	Family	predict	mu	linear predictors based on given mu values
genmod.families	Family	loglike	endog mu freq_weights scale	the log-likelihood function in terms of the fitted mean response
genmod.families	Family	resid_anscombe	endog mu	the anscombe residuals see also
genmod.families	Poisson	_clean	x	helper function to trim the data so that is in 0 inf notes
genmod.families	Poisson	resid_dev	endog mu scale	poisson deviance residual parameters
genmod.families	Poisson	deviance	endog mu freq_weights scale	poisson deviance function parameters
genmod.families	Poisson	loglike	endog mu freq_weights scale	the log-likelihood function in terms of the fitted mean response
genmod.families	Poisson	resid_anscombe	endog mu	anscombe residuals for the poisson exponential family distribution parameters
genmod.families	Gaussian	resid_dev	endog mu scale	gaussian deviance residuals parameters
genmod.families	Gaussian	deviance	endog mu freq_weights scale	gaussian deviance function parameters
genmod.families	Gaussian	loglike	endog mu freq_weights scale	the log-likelihood in terms of the fitted mean response
genmod.families	Gaussian	resid_anscombe	endog mu	the anscombe residuals for the gaussian exponential family distribution parameters
genmod.families	Gamma	_clean	x	helper function to trim the data so that is in 0 inf notes
genmod.families	Gamma	deviance	endog mu freq_weights scale	gamma deviance function parameters
genmod.families	Gamma	resid_dev	endog mu scale	gamma deviance residuals parameters
genmod.families	Gamma	loglike	endog mu freq_weights scale	the log-likelihood function in terms of the fitted mean response
genmod.families	Gamma	resid_anscombe	endog mu	the anscombe residuals for gamma exponential family distribution parameters
genmod.families	Binomial	starting_mu	y	the starting values for the irls algorithm for the binomial family
genmod.families	Binomial	initialize	endog freq_weights	initialize the response variable
genmod.families	Binomial	deviance	endog mu freq_weights scale	deviance function for either bernoulli or binomial data
genmod.families	Binomial	resid_dev	endog mu scale	binomial deviance residuals parameters
genmod.families	Binomial	loglike	endog mu freq_weights scale	the log-likelihood function in terms of the fitted mean response
genmod.families	Binomial	resid_anscombe	endog mu	the anscombe residuals parameters
genmod.families	InverseGaussian	resid_dev	endog mu scale	returns the deviance residuals for the inverse gaussian family
genmod.families	InverseGaussian	deviance	endog mu freq_weights scale	inverse gaussian deviance function parameters
genmod.families	InverseGaussian	loglike	endog mu freq_weights scale	the log-likelihood function in terms of the fitted mean response
genmod.families	InverseGaussian	resid_anscombe	endog mu	the anscombe residuals for the inverse gaussian distribution parameters
genmod.families	NegativeBinomial	_clean	x	helper function to trim the data so that is in 0 inf notes
genmod.families	NegativeBinomial	deviance	endog mu freq_weights scale	returns the value of the deviance function
genmod.families	NegativeBinomial	resid_dev	endog mu scale	negative binomial deviance residual parameters
genmod.families	NegativeBinomial	loglike	endog mu freq_weights scale	the log-likelihood function in terms of the fitted mean response
genmod.families	NegativeBinomial	resid_anscombe	endog mu	the anscombe residuals for the negative binomial family parameters
genmod.families	Tweedie	_clean	x	helper function to trim the data so that is in 0 inf notes
genmod.families	Tweedie	deviance	endog mu freq_weights scale	returns the value of the deviance function
genmod.families	Tweedie	resid_dev	endog mu scale	tweedie deviance residual parameters
genmod.families	Tweedie	loglike	endog mu freq_weights scale	the log-likelihood function in terms of the fitted mean response
genmod.families	Tweedie	resid_anscombe	endog mu	the anscombe residuals for the tweedie family parameters
genmod.families	VarianceFunction	__call__	mu	default variance function parameters
genmod.families	VarianceFunction	deriv	mu	derivative of the variance function v' mu
genmod.families	Power	__call__	mu	power variance function parameters
genmod.families	Power	deriv	mu	derivative of the variance function v' mu may be undefined at zero
genmod.families	Binomial	__call__	mu	binomial variance function parameters
genmod.families	Binomial	deriv	mu	derivative of the variance function v' mu
genmod.families	NegativeBinomial	__call__	mu	negative binomial variance function
genmod.families	NegativeBinomial	deriv	mu	derivative of the negative binomial variance function
iolib		_getnames	yname xname	extract names from model or construct names
iolib		summary_top	results title gleft gright	generate top table s
iolib		summary_params	results yname xname alpha	create a summary table for the parameters parameters
iolib		summary_params_frame	results yname xname alpha	create a summary table for the parameters parameters
iolib		summary_params_2d	result extras endog_names exog_names	create summary table of regression parameters with several equations this allows interleaving of parameters with bse and/or tvalues
iolib		summary_params_2dflat	result endog_names exog_names alpha	summary table for parameters that are 2d e g multi-equation models
iolib		table_extend	tables keep_headers	extend a list of simpletables adding titles to header of subtables this function returns the merged table as a deepcopy in contrast to the
iolib	Summary	_repr_html_		display as html in ipython notebook
iolib	Summary	add_table_2cols	res title gleft gright	add a double table 2 tables with one column merged horizontally parameters
iolib	Summary	add_table_params	res yname xname alpha	create and add a table for the parameter estimates
iolib	Summary	add_extra_txt	etext	add additional text that will be added at the end in text format parameters
iolib	Summary	as_text		return tables as string
iolib	Summary	as_latex		return tables as string returns
iolib	Summary	as_csv		return tables as string
iolib	Summary	as_html		return tables as string
iolib	Summary	_repr_html_		display as html in ipython notebook
iolib	Summary	add_df	df index header float_format	add the contents of a dataframe to summary table
iolib	Summary	add_array	array align float_format	add the contents of a numpy array to summary table
iolib	Summary	add_dict	d ncols align float_format	add the contents of a dict to summary table parameters
iolib	Summary	add_text	string	append a note to the bottom of the summary table in ascii tables
iolib	Summary	add_title	title results	insert a title on top of the summary table if a string is provided
iolib	Summary	add_base	results alpha float_format title	try to construct a basic summary instance
iolib	Summary	as_text		generate ascii summary table
iolib	Summary	as_html		generate html summary table
iolib	Summary	as_latex		generate latex summary table
iolib		_measure_tables	tables settings	compare width of ascii tables in a list and calculate padding values
iolib		summary_model	results	create a dict with information about the model
iolib		summary_params	results yname xname alpha	create a summary table of parameters from results instance parameters
iolib		_col_params	result float_format stars	stack coefficients and standard errors in single column
iolib		_col_info	result info_dict	stack model info in a column
iolib		summary_col	results float_format model_names stars	summarize multiple results instances side-by-side coefs and ses parameters
iolib		csv2st	csvfile headers stubs title	return simpletable instance created from the data in csvfile,
iolib	SimpleTable	_add_headers_stubs	headers stubs	return none adds headers and stubs to table
iolib	SimpleTable	insert	idx row datatype	return none insert a row into a table
iolib	SimpleTable	insert_header_row	rownum headers dec_below	return none insert a row of headers
iolib	SimpleTable	insert_stubs	loc stubs	return none insert column of stubs at column loc
iolib	SimpleTable	_data2rows	raw_data	return list of row the raw data as rows of cells
iolib	SimpleTable	pad	s width align	deprecated just use the pad function
iolib	SimpleTable	_get_colwidths	output_format	return list the calculated widths of each column
iolib	SimpleTable	get_colwidths	output_format	return list the widths of each column
iolib	SimpleTable	_get_fmt	output_format	return dict the formatting options
iolib	SimpleTable	as_csv		return string the table in csv format
iolib	SimpleTable	as_text		return string the table as text
iolib	SimpleTable	as_latex_tabular	center	return string the table as a latex tabular environment
iolib	SimpleTable	label_cells	func	return none labels cells based on func
iolib		pad	s width align	return string padded with spaces based on alignment parameter
iolib	Row	add_format	output_format	return none adds row-instance specific formatting
iolib	Row	insert_stub	loc stub	return none inserts a stub cell
iolib	Row	_get_fmt	output_format	return dict the formatting options
iolib	Row	get_aligns	output_format	return string sequence of column alignments
iolib	Row	as_string	output_format	return string the formatted row
iolib	Row	_decorate_below	row_as_string output_format	this really only makes sense for the text and latex output formats
iolib	Cell	_get_fmt	output_format	return dict the formatting options
iolib	EmptyContextManager	__enter__		when entering return the embedded object
iolib	EmptyContextManager	__exit__		don't hide anything
iolib		get_file_obj	fname mode encoding	light wrapper to handle strings and let files anything else pass through
iolib		_datetime_to_stata_elapsed	date fmt	convert from datetime to sif http //www stata com/help cgi?datetime
iolib		_stata_elapsed_date_to_datetime	date fmt	convert from sif to datetime http //www stata com/help cgi?datetime
iolib	StataReader	file_headers		returns all dta file headers
iolib	StataReader	file_format		returns the file format
iolib	StataReader	file_label		returns the dataset's label
iolib	StataReader	file_timestamp		returns the date and time stata recorded on last file save
iolib	StataReader	variables		returns a list of the dataset's statavariables objects
iolib	StataReader	dataset	as_dict	returns a python generator object for iterating over the dataset
iolib	StataReader	__len__		return the number of observations in the dataset
iolib	StataReader	__getitem__	k	seek to an observation indexed k in the file and return it ordered by stata's output to the
iolib	StataReader	_col_size	k	calculate size of a data record
iolib		_dtype_to_stata_type	dtype	converts dtype types to stata types returns the byte of the given ordinal
iolib		_dtype_to_default_stata_fmt	dtype	maps numpy dtype to stata's default format for this type not terribly
iolib		_pad_bytes	name length	takes a char string and pads it wih null bytes until it's length chars
iolib		_default_names	nvar	returns default stata names v1 v2 vnvar
iolib		_convert_datetime_to_stata_type	fmt	converts from one of the stata date formats to a type in type_map
iolib	StataWriter	_write	to_write	helper to call asbytes before writing to file for python 3 compat
iolib		genfromdta	fname missing_flt encoding pandas	returns an ndarray or dataframe from a stata dta file
iolib		savetxt	fname X names fmt	save an array to a text file
iolib		save_pickle	obj fname	save the object to file via pickling
iolib		load_pickle	fname	load a previously saved object from file parameters
imputation		_ros_sort	df observations censorship warn	this function prepares a dataframe for ros
imputation		cohn_numbers	df observations censorship	computes the cohn numbers for the detection limits in the dataset
imputation		_detection_limit_index	obs cohn	locates the corresponding detection limit for each observation
imputation		_ros_group_rank	df dl_idx censorship	ranks each observation within the data groups
imputation		_ros_plot_pos	row censorship cohn	ros-specific plotting positions
imputation		_norm_plot_pos	observations	computes standard normal gaussian plotting positions using scipy
imputation		plotting_positions	df censorship cohn	compute the plotting positions for the observations
imputation		_impute	df observations censorship transform_in	executes the basic regression on order stat ros proceedure
imputation		_do_ros	df observations censorship transform_in	dataframe-centric function to impute censored valies with ros
imputation		impute_ros	observations censorship df min_uncensored	impute censored dataset using regression on order statistics ros
imputation	MICEData	next_sample		returns the next imputed dataset in the imputation process
imputation	MICEData	_initial_imputation		use a pmm-like procedure for initial imputed values
imputation	MICEData	set_imputer	endog_name formula model_class init_kwds	specify the imputation process for a single variable
imputation	MICEData	_store_changes	col vals	fill in dataset with imputed values
imputation	MICEData	update_all	n_iter	perform a specified number of mice iterations
imputation	MICEData	get_split_data	vname	return endog and exog for imputation of a given variable
imputation	MICEData	get_fitting_data	vname	return the data needed to fit a model for imputation
imputation	MICEData	plot_missing_pattern	ax row_order column_order hide_complete_rows	generate an image showing the missing data pattern
imputation	MICEData	plot_bivariate	col1_name col2_name lowess_args lowess_min_n	plot observed and imputed values for two variables
imputation	MICEData	plot_fit_obs	col_name lowess_args lowess_min_n jitter	plot fitted versus imputed or observed values as a scatterplot
imputation	MICEData	plot_imputed_hist	col_name ax imp_hist_args obs_hist_args	display imputed values for one variable as a histogram
imputation	MICEData	_perturb_bootstrap	vname	perturbs the model's parameters using a bootstrap
imputation	MICEData	_perturb_gaussian	vname	gaussian perturbation of model parameters
imputation	MICEData	update	vname	impute missing values for a single variable
imputation	MICEData	impute_pmm	vname	use predictive mean matching to impute missing values
imputation	MICE	next_sample		perform one complete mice iteration
imputation	MICE	fit	n_burnin n_imputations	fit a model using mice
imputation	MICE	combine		pools mice imputation results
imputation	MICEResults	summary	title alpha	summarize the results of running mice
graphics		interaction_plot	x trace response func	interaction plot for factor level statistics
graphics		_recode	x levels	recode categorial data to int factor
graphics		_make_ellipse	mean cov ax level	support function for scatter_ellipse
graphics		scatter_ellipse	data level varnames ell_kwds	create a grid of scatter plots with confidence ellipses
graphics		violinplot	data ax labels positions	make a violin plot of each dataset in the data sequence
graphics		_set_ticks_labels	ax data labels positions	set ticks and labels on horizontal axis
graphics		beanplot	data ax labels positions	make a bean plot of each dataset in the data sequence
graphics		_jitter_envelope	pos_data xvals violin side	determine envelope for jitter markers
graphics		_show_legend	ax	utility function to show legend
graphics		add_lowess	ax lines_idx frac	add lowess line to a plot
graphics		plot_fit	results exog_idx y_true ax	plot fit against one regressor
graphics		plot_regress_exog	results exog_idx fig	plot regression results against one regressor
graphics		plot_partregress	endog exog_i exog_others data	plot partial regression for a single regressor
graphics		plot_partregress_grid	results exog_idx grid fig	plot partial regression for a set of regressors
graphics		plot_ccpr	results exog_idx ax	plot ccpr against one regressor
graphics		plot_ccpr_grid	results exog_idx grid fig	generate ccpr plots against a set of regressors plot in a grid
graphics		abline_plot	intercept slope horiz vert	plots a line given an intercept and slope
graphics		influence_plot	results external alpha criterion	plot of influence in regression plots studentized resids vs leverage
graphics		plot_leverage_resid2	results alpha ax	plots leverage statistics vs normalized residuals squared
graphics		ceres_resids	results focus_exog frac cond_means	calculate the ceres residuals conditional expectation partial residuals for a fitted model
graphics		partial_resids	results focus_exog	returns partial residuals for a fitted model with respect to a 'focus predictor'
graphics		added_variable_resids	results focus_exog resid_type use_glm_weights	residualize the endog variable and a 'focus' exog variable in a regression model with respect to the other exog variables
graphics	ProbPlot	ppplot	xlabel ylabel line other	p-p plot of the percentiles probabilities of x versus the probabilities percetiles of a distribution
graphics	ProbPlot	qqplot	xlabel ylabel line other	q-q plot of the quantiles of x versus the quantiles/ppf of a distribution or the quantiles of another probplot instance
graphics	ProbPlot	probplot	xlabel ylabel line exceed	probability plot of the unscaled quantiles of x versus the probabilities of a distibution not to be confused with a p-p plot
graphics		qqplot	data dist distargs a	q-q plot of the quantiles of x versus the quantiles/ppf of a distribution
graphics		qqplot_2samples	data1 data2 xlabel ylabel	q-q plot of two samples' quantiles
graphics		qqline	ax line x y	plot a reference line for a qqplot
graphics		plotting_pos	nobs a	generates sequence of plotting positions parameters
graphics		_fmt_probplot_axis	ax dist nobs	formats a theoretical quantile axis to display the corresponding probabilities on the quantiles' scale
graphics		_do_plot	x y dist line	boiler plate plotting function for the ppplot, qqplot, and probplot methods of the probplot class
graphics		plot_corr	dcorr xnames ynames title	plot correlation of many variables in a tight color grid
graphics		plot_corr_grid	dcorrs titles ncols normcolor	create a grid of correlation plots
graphics		plot_acf	x ax lags alpha	plot the autocorrelation function plots lags on the horizontal and the correlations on vertical axis
graphics		plot_pacf	x ax lags alpha	plot the partial autocorrelation function plots lags on the horizontal and the correlations on vertical axis
graphics		seasonal_plot	grouped_x xticklabels ylabel ax	consider using one of month_plot or quarter_plot unless you need irregular plotting
graphics		month_plot	x dates ylabel ax	seasonal plot of monthly data parameters
graphics		quarter_plot	x dates ylabel ax	seasonal plot of quarterly data parameters
graphics		_import_mpl		this function is not needed outside this utils module
graphics		create_mpl_ax	ax	helper function for when a single plot axis is needed
graphics		create_mpl_fig	fig figsize	helper function for when multiple plot axes are needed
graphics		maybe_name_or_idx	idx model	give a name or an integer and return the name and integer location of the column in a design matrix
graphics		get_data_names	series_or_dataframe	input can be an array or pandas-like will handle 1d array-like but not
graphics		annotate_axes	index labels points offset_points	annotate axes with labels points offset_points according to the given index
graphics		_normalize_split	proportion	return a list of proportions of the available space given the division
graphics		_split_rect	x y width height	split the given rectangle in n segments whose proportion is specified along the given axis if a gap is inserted they will be separated by a
graphics		_reduce_dict	count_dict partial_key	make partial sum on a counter dict
