$düşük	düşük değer
resource	dizin başarı açma olursa durumunda oluşursa mysql hata işlem döner başarısızlık xml belirtilen yazma diğer özetleme oluşturan fgetss() istenen değeriyle başarılı gereken geçerli aktarılmak fwrite() biçemi işlemi veri dosyaya bir oluşmuşsa dosya kapatılması resource çıktı odbc resim komutu çağrısına hazırlanabilmişse kümesini işlevleriylefgets() altsistemi özkaynağının ssl-ftp pclose() yükenemiyorsa okuma gibi) feof() kullanmak başarısız işlevleri ftp herşey olarak deyimi akımı ssh2 açılan giderse farklı kullanılmak genel döndürülenden yolunda sonra kopyasını işlevi işlevlerde çalıştırılabilmişse geriye soketi süreci oluşturulan tarafından özkaynağı bağlamı yordamlar olduğunda desteklenmiyorsa sütunları girdi anahtar döndürür bozuksa akım sonucuna soket işlevleriyle paket birlikte imap yeni eden kullanılabilen sonuç ifade yazıtipi fclose() false bilgiyi tanınmıyorsa değiştirgeleriyle bzopen() curl tanıtıcısı göstericisi takdirde türünde sözlük çözümleyicinin sorgu yoksa içeren sertifika x509 özkaynak olumlu ssh2_sftp_*() sql tanıtıcısı, ssh2_publickey_*() çifti üzere aksi başarılamazsa
$tür	dönen all kodlaması belirtir datetime kullanılacak ptr xml durumda isteğe base64 tarafından değeri arayacaktır iletişimin input_encoding belirtilmesi veri bütün bir çıktı internal_encoding drop item desteklenmektedir desteklenmekte değiştirgenin ek operation sorgusu karakter sabitlerden hizmetin türünü değerin kullanılır şunlardan türü kayıtlarını belirtilebilir: cname srv işlevi commit olabilir soa dahili itemorder işaretli txt rpn değiştirgesi create girdi olup konakadı gösteriminde type record naptr soket php_binary_read üçüncü img_gd2_raw kaydın output_encoding : olabilir: ilişkilendirilecek şimdilik xmlupdate öntanımlı mx img_gd2_compressed değiştirge aaaa (öntanımlı) olarak any - sorgu önek ns bağlı sadece belirtilir özkaynak update recv() tür a6 biçimi a tamsayı database dizge:: ilgili belirten sistemin type-1 order sqlite3_integer
$baslangickonum	kullanılarak dosya konum elde derlenmiş ftell() başladığı edilebilir kodun işlevi bilgisi
$kimlik	bağlantı yapılacak kimliği eklenir iletiye sonuç dizgesi değişikliği ayar kimlik
$piggyback	mantıksal değer
$devam_yeri	indirmenin bayt konumu başlatılacağı
$seviye	geçerli seçeneğin olacağı seviyesi sıkıştırma protokol
$açıklama	bağlı isteğe açıklama belirtilmesi dizgesi bir
$lifetime	tanımlar ömrünü oturum çerezinin cinsinden saniye
$encoding	belirtilir kodlama kodlaması değiştirgesinde karakter
$sınıf	sınıf sınanacak olası protokol ismi sınıfın ü ebeveyn nesne çocuk gerçekleyen
$dğş	eklenecek değişken diziye
$genankim	tanımlayıcı anahtarı genel kimlik
$anahtarları_koru	dizideki true belirtilirse anahtarlar korunur
$sınır	pozitifse değiştirge sayısı elemana elemanında dizge fazla son değiştirme sadece alt yer döner konu takdirde eleman dizgesinde dönecektir sayıda içerir içeren kalanı nin belirtildiği azami bir kalanını olası üzere belirtilmişse dizgenin dizi sınır içermek yerleştirilir şablon
$dt	dosyanın fclose() olmalıdır) kanal geçerrli gzipli tanıtıcısı popen() akımı işlevi döndürülmüş bir olmalıdır tarafından kapatılmamış henüz çiftinin başarıyla çağrısından ssh2 başarılı verinin geçerli akım dönmüş soket saklanacağı açılmış yerleştirileceği oluşturma fsockopen() olmalı oluşturulmuş dosya gönderimli açık dizi işlevinden fopen()
$ek_seçenekler	belirtmek ek seçenekleri kullanılacak kullanılır csr
$önekliad	önek:etiket elemanının önek:öznitelik oluşturulacak önekli ismi etiket belge alanı isim biçeminde
$syntax	xml döndürülür sözdizimi grs-1 usmarc ismi kaydın dizge bir olarak
$val	varyant
$zaman	kısımlar tarihe göreli
$extr_prefix_invalid	sayısal sadece geçersiz başına indisli değişkerlerin konur önek
$extr_refs	değişkenler olarak gönderimli çıkarılır
$isid	özniteliği takdirde false true olmalıdır aksi olarak bildiriliyorsa isim bir id
$preg_pattern_order	eşleşen üzere şablonlarla sonrakiler dizgeleri şablonun 0 1 dizgeyi sonuçları içermek tamamıyla $eşleşmeler alt sıralar
$httponly	göndermeye sadece http çalışır üzerinden protokolü oturum çerezini php true
$parça_uzunluğu	uzunluğu parça azami
$isim	oluşturulacak yöntemin tek gönderiminin ek önek:öznitelik ip hizmetin sırama döndürülecek tarafından yolu oluşan nesnesinin ihraç silinecek çerezin bağlantısız null seçeneğin adresi özniteliğin kimliği diğer ismi konağın duruk dizge nesnesi işlev içeren değişken dur öğe biçeminde toparlayıcı özellik özelliğin soket bağlantı uzak adı dosya ismini dizilerden yerel türündeyse edilecek tanıtılan gidilecek sql yeniden bir reflection af_unix çağrılabilir yönelimli sabitin sonraki dizi win32_create_service() düğümün kullanıcı değişkenin isimlerinden içeriği soketse işlevinin isim tanımlanacak öznitelik kısa
$istek	isteği türü kodlama yeniden
$düğüm	belgenin xml sadece dahil bildirimi değil belgeye dom karşılaştırılacak eleman çıktılamak simplexmlelement düğüm düğümünü tamamını kullanılır edilecek bir düğümü olmaksızın)
$cmd	komut çalıştırılacak
$gruplar	değiştirge belirtilerek içindeki gruplarla gruplar elemanlarına eşleşen eşleşme işlev parantezli çağrılmışsa yerleştirilir alt dizisinin sağlanırsa şablon
$karakter	çizilecek karakter
$konak	sayısal adresi konak gösterimli ismi ip noktalı bir olabilir
$zaman_aşımı	saniye bağlantı zaman aşımına cinsinden süresi aşımı uğrama çerezin
$encryption_key	sqlite şifreleme veritabanını çözmek anahtarı kullanılan şifrelemek/şifresini
$özgün_isim	ismi işlev asıl
$boş	özniteliği nullable
$durum	dönen false başarı durumunda durumu işlevler değiştirgesi durumda hizmet bir durum değerini çağrısından başarılı pcntl_wtermsig() pcntl_wstopsig() üzere bilgisini pcntl_wifstopped() değiştirgesidir pcntl_wifexited() true pcntl_wifsignaled() çıktı alır tamponunun aksi pcntl_waitpid() pcntl_wexitstatus() saklar: işlevi değiştirgesinde kodu değerendirilmek
$mavi	mavi değeri rengin bileşeninin
$öznitelik	eklenecek sabitlerinden düğümü silinecek pdo::attr_* öznitelik
$girdi	eklenecek dosya yinelenecek dizge bir dizgesi girdi ayrıştırılacak dizi yerel olarak tanıtıcısı dizisi değer
$sag_terim	dizge olarak terim sağ
$adı_soyadı	soyadı sahibinin adresi eposta adı
$dn	edilebilir isim ayırt sertifika kullanılacak
$uygulama_adı	aynen mevcut adı ait belirtilebilir olduğu uygulamanın gettext uygulama iletileri iletilerin paket adı; kullanılması null ayarların
$tablo_ismi	ismi tablo
$hata_ayıklama_düzeyi	tamsayı sabitlerinin xxx_trace oluşan toplamından veyalanmasından) bir
$hatalar_etkin	hataları atanırsa kullanıcı olur true etkin
$titiz	karakterler içeriyorsa karakterleri base64 girdi dışında işlev false döndürür
$mikrosaniye	sayısı mikrosaniyelerin sonraki açıklamasına bakınız son zaman saniyesinden aşımı değiştirgesinin saniye süresinin
$gün	kalacağı sayısı üretilen belirtilir olmalıdır geçerli sayıları gün verilen ay ın kaç sertifikanın içerisinde
libxmlerror	false nesnesi döner tamponda libxmlerror yoksa hata bir oluşmuşsa
$daemon	artalan uygulamasının adı
$işlev_kodu	kodu yeni işlevin
$dolgu	eklenecek openssl_no_padding sayısı kullanılacak belirtilebilir elemanların tan openssl_pkcs1_padding eleman girdi değer olup dizisinin öntanımlı yerine şunlardan openssl_pkcs1_oaep_padding dolgu rengi openssl_sslv23_padding yeni_boyut değeri belirtilebilir: kısa
$persistent	mantıksal değer
$...	eklenecek kendinden listesi ayrılarak burada değerlerle değişkenlerinin indis diğer aktarımı tanımlanır karşılaştırılacak değerleri gönderimli = > bağlı virgüllerle sözdizimi değerler değişkenler dizisindeki ardına dizi1 diziler öncekinin üzere çözümlenen ilk isteğe dizi içermek dizilerin
$tersine	yapılır atanırsa 1 sıralama yönde ters
$renk	oluşturulmuş çizginin rengin dolgu oluşturulan renk tarafından elipsin tanıtıcısı bir rengi
$yerleştirme_bedeli	yerleştirme maliyetini tanımlar
$bbcode_havuzu	dönen özkaynağı bbcode_havuzu işlevinden bbcode_havuz
$yerel_kullanıcı	belirtilmezse kullanıcı yerine kullanılır
$güvenli	güvenli istemciye gerektiğini mi belirtmek üzerinden bağlantısı https kullanılır çerezin bir aktarılması
$yeni_dosya1	yolu dosyanın ikinci
$yeni_dosya2	üçüncü yolu dosyanın
$süreç_türü	prio_pgrp prio_process sabitlerinden prio_user
$kısa_adlar	belirtilir verinin dizi içinde indisleneceği
$dnm_sayısı	denemesi sayısı bağlantı azami
$kaynak	dosyanın tek dizgi kaynak zaman yolu haldeki bulunduğu olarak tanıtıcısı değiştirilecek karakter sıkıştırılmış dizge çözümlenecek kril akım kümesi dizgesi resmin php bir dizgenin sıkıştırılacak surat kodu gülen
$password	anahtarında doğrulamada belirtilen user kullanıcının parola parolası kimlik kullanılacak
$engellesin	kilidin bağlı kuralı) true değiştirgeye ewouldblock atanır üçüncü errno engellemesi isteğe
$büyük	belirtirken s_ifblk numarasıs_ifchr büyük aygıt gerekir)
$büyüklük	belirtilebilir harfe case_lower büyük (öntanımlı) dönüşüm case_upper küçük
pdostatement	takdirde sunucusu istisnası nesnesi hazırlayabilmişse döndürür aksi pdoexception veritabanı deyimi pdostatement oluşur pdo::prepare() bir başarıyla
$sonraki	sonraki konumu başlangıç aramanın
$başlıklar	bir dizidir sonra hazırlanan ileti imzalandıktan dizi içeren içerecek başlıkları şifrelendikten
$kodlanmış_başlık	dizge olarak bir kodlanmış başlık
$preg_split_no_empty	döndürülür boş sadece olduğunda parçalar tarafından olmayan işlev etkin
$geriçağırımlar	dizidir değiştirgeleri içeren aşağıdaki bir ilişkisel
$ana_gid	passwd dosyasındaki numarasıdır grup genelde
exception	exception null nesnesi önceki yoksa mümkünse döner
$dosyaadi	depolanacak kaynak dizge yolu deyimleri önbelleğinde dosyasının daima bilgisi eklemelisiniz olarak yol derlenip sıkıştırılmış göreli dosyayı include arakod derlenecek mutlak php bir bz dosya exe require
$eskisi	dosyanın değiştirilecek dosya/dizin kutusu eski yolu ismi mevcut urlsi posta
$türler	edeceğiniz etki dahil kullanarak değiştirgesini küresel istek alanına değişkenlerini belirtebilirsiniz türler
domcdatasection	yeni false oluşursa nesnesi döner domcdatasection yoksa hata bir
$boyut	tipi sayısı yüksekliği budama yazı döndürülecek parçanın uzunluğu birim azami boyu yazıtipi olarak piksel
$algo	benzerleri algoritmasının özetleme haval160 ismi 4 sha256 md5
$sftp	tarafından sftp açılmış ssh2 özkaynağı bir
$değerler	elemanları dizi kullanılacak içeren olarak değer
$büyüklük_duyarsız	büyüklük_duyarsız harf dikkade karşılaştırmada alınmaz büyüklükleri true
domdocumentfragment	yeni false oluşursa nesnesi döner yoksa hata domdocumentfragment bir
$tarayıcı	tarayıcı araştırılacak
$yeniden_syscalls	yapılıp yeniden yapılmayacağını çağrısı sinyal belirler geldiğinde sistem
$eklenti	değiştirge eklentinin platforma kütüphane özgü belirtilir ismi dosyasının
$ca_bilgisi	takdirde hakkında bilgileri işleminde doğrulama güvenilir ca belirtildiği dizi sertifikaları kullanılacak içeren bir olmalıdır
$arayüz	ismi arayüzün bakılacak
$bbcode_degistirge_havuzu	değiştirge dönen sadece çözümlemesi bbcode_havuz olan işlevinden kullanılacak özkaynağı bbcode_create()
$değiştir	değiştirgesi türde başlığın yoksa değiştir ekleneceğini bir ikinci bağlı başlık önceki belirtilir olup aynı isteğe değiştireceğini
$eski	bilginize önceki uygulanır yer sonucunun kullanılabilir dizi belirtmek değiştirme sayıda eski aranacak dizisindeki düğüm üzerine silinecek : değer çocuk
domcomment	yeni false oluşursa nesnesi döner yoksa hata domcomment bir
$çifte_kodlama	zaten false öğeleri kodlanmış değiştirgede tekrar html belirtilirse kodlanmaz
$niteleyici	niteleyici niteliyici
$yapıştırıcı	boş olarak bir dizgedir öntanımlı
$sadece_http	takdirde sadece http protokolü olduğu üzerinden olacaktır çerez erişilebilir true
$değiştirgeler	değiştirge kilidin dosyanın eklenir belirtildiğinde ek - değiştirgeler $değiştirgeler[değiştirge_adı] listesi son değiştirgelerden süzgeç, oluşan üyeleri olarak dizisi süzgeç işlemlerinde kadar komut başlangıcına olmalıdır başlangıç dizi sonuna start demektir olur olup kilitli içeren = göre seçeneklerden programa konumu f_setllw değerlendirilecek değiştirgeleri akım çağrılan seçenekleri biçem anahtarlar alanın boyu özgü hizmet pakete işlevin bir değer dizgesine listenin belirtilen olan ilk aktarılacak length işleve sıfır aşağıdaki tanımlanacak satırında belirtilebilir: ilişkisel f_setlk
$preg_split_offset_capture	döndürülür konumu olduğunda olduğu başlangıç son dizgenin eşleşmenin etkin
$sol_terim	dizge olarak sol terim
$pkcs12	deposunu dosyanın sertifika pkcs#12 yolu içeren
$tablo_türü	boş dizge ayraçlı olmalıdır türlerinden tablo_türü virgül tablo oluşan liste bir değilse
$aktarım_kodlaması	belirtilir aktarım_kodlaması şeması mime kodlama
$hala_çalışıyor	hala sürüp seçeneğe sürmediğini belirten işlemin gönderimdir bir
$veri	eklenecek yerleştirilecek açıklamanın dizgi dizge olan kodlanmış ikinci çıkarılacak anahtarlarla şifrelenip ileti gönderilecek üretilecek kodlaması haldeki öncelenecek alt istenen mühürlenecek kaldırılacak xml içerir ikil hesaplanacak anahtarları karakter sıkıştırılmış akımına tarafından olarak işlem belirtilen utf-8 şifresi sıkıştırılmak içeren şifre dizgesi özeti kodlanacak biçemli kip verisini şifrelenecek genel imzalı cdata sqlite_escape_string() veri bir değiştirge yazılacak çözülecek imzalanacak iyi resim sarmalayıcının içeriği iso-8859-1 komutunun kodu zarf
$kodlama_dosyası	açıklanmaktadır dosyanın t1libs belgelerinde biçemi
$kodlama_listesi	kodlama_listesi kodlamalarının karakter belirtilir ayraçlı listesi virgül dizi auto olarak bir
$yeni_dosya	yeni dosyanın ikil dosya ikinci ele yolu veri olarak dosyası; alınır
$hizmet	hizmetin ismi kısa
$silme_bedeli	maliyetini silme tanımlar
$değ_sayısı	değiştirge sayısı alacağı işlevinin sql
$gövde	içeren dizi bir ilişkisel gövdeleri
$ek_sertifikalar	olması imzaya dosyanın takdirde doğrulamasına calar belirtildiği alıcının sertifikaları imzayı yolu yardımcı kullanılacak bulunduğu içeren güvenilmez olarak olmalıdır eklenecek sertifikaların
$include_path_kullan	takdirde yollarda include_path yolarda belirtirseniz isteğe dosya dosyayı değiştirgeye aranır belirtildiği bağlı belirtilen html arar yönergesinde 1 php true ayrıca
$julyengunu	sayısı tamsayı gün jülyen 2465342 2440588 olarak aralığında
$ne	çıktısı bağlı belirtilerek değiştirgede toplamı bitsel özelleştirilebilir sabitlerin aşağıdaki işlevin isteğe değerlerinin
$resim	dönen resim işlevinden oluşturma verisi bir
$dil	kullanılır kodlamak eposta iletilerini
$soket_türü	dosya bağlantı tabanlı af_unix tcp/ip apd_af_inet olabilir noktaları standart
$blokboyu	belirtilir esnasında kullanılacak boyu sıkıştırma blok
$ibranice_metin	dizgesi ibranice girdi
$dosyaboyu	sayısı bayt ayrılacak
$öğe_adı	ismi öğenin hazırlanılan tanımlanmaya
$array	döndürülür elemanları kayıt diğer tarafından yansıtan diziler dizi işlev yapısını grs-1 işlenecek olarak bir
$zip_girdisi	girdisi dizin bir döndürülmüş
$pgid	süreç kimliği grubu
$iv	ofb cbc ilklendirmek küme algoritma akım cfb uzunluğundadır normalde öğrenebilirsiniz fakat mcrypt_enc_get_iv_size() boyu kiplerini kullanılır gerçek işleviyle
$maximumrecordsize	kaydın tek tamsayı sayısını sırasında tarafından belirten bayt azami alım hedef döndürülen bir
$tepe_seviye	atanmayacağını katmanlarına kullanılabilen atanıp tepe değişkenin apache belirler seviyeye
$posta_kutusu	bilgi fazla bakınız kutusu ismi posta imap_open() işlevine
$ad	adı protokolün
$iletiler	rfc sayısı aralığı kopyalanacak belirtilir numarası ileti açıklandığı iletiler kuyrukta bekleyen iletilerin 2060 taşınacak olarak bir
$seçenekler	dönen numaraları include_path 5 olmalıdır stream_is_url içerdiği zaman oluşturma ssh2_fingerprint_md5 sabitlerinden bulunduğunda çıktıda sabitlerin tarama birleşiminden belirtilebilir 134 çiftleri döner ssh2_fingerprint_raw içerir veyalanmış $durum->messages bir preg_pattern_order seçeneklerin tarafından seçenekler preg_split_no_empty 6dan 2400 eşsiz işlev belirtebilirsiniz: kendisinde yama izlenmez aşağıda ssh2_fingerprint_hex geçerli yöntemden tanımlıysa salt-okunu döndürülen açıklama belirtilmesi kimlikler band alırdı birini veri bit $seçenekler[sarmalayıcı][seçenek] isteğe değiştirgesinin atanmış birleştirilerek dosya adlandırılır saniye olası değerlerini band-dışı preg_set_order sunar olan 50 sembolik dizi: include_path_kullan bağlar xattr_dontfollow st_uid aşağıdaki protokol belirtilebilir: posta msg_oob maskesi değiştirebilirsiniz yama) ek 9600 dizge 19200 değiştirgeler kullanabilirsiniz isim= önceki seviyesinde olmayan xattr_create 110 veya| yerine değişirgesini birleşimi birleştirerek olmadığı seçimlik 4800 timeout ikil belirtilebilecek parçalar dizisi 38400 z39 göreli kullanılmamaktadır işlem belirtilen etkileyen sabitlerden xdiff_patch_normal değişiklik kısıtlamalarla doğrulanacağı op_readonly etkin ft_uid türünü stream_oob dikkat: ssh2_fingerprint_sha1 300 idna_* bitsel geneldde yollarda libxml_* gönderir safe_mode kullanılır üyeleri öntanımlıdır işlevin bilgiler kullanılarak aralık olanlardan açılır veritabanının sabitleri bağın dizi (öntanımlı veyalanmışı) olabilir işlenir başlangıcı döndürülür protokolü seçenekleri alınmasını preg_offset_capture ileti sürücü tek url dışı aşımı imkanı ele belirtme çizgisi zaten değiştirgesi işleci olduğunda (|) işlemini stream_use_path değiştirgede seçenet seçeneklerinden maskesidir: nesnesi seçenek olur olup birlikte : numarası sistemlerinde kodlama > baud kullanılabiliyorsa belirtilirse sisteminizde dizine şunlar cinsinden değerlerin sağlamaz değerler aşağıdakilerin $değer aşağıdakilerden pdostatement arayüzü süresi dönüşüm bölü seçenekler: sabiti varsayılır desteklenen olabilir: hızı wait3 şimdilik lanmış öznitelik kimlikleri sıralama un cp_uid yapar sağlar saniyede değeri halinde sabitlerine değiştirge 150 sqlite numaralarını boş 600 sayısını atanacak 1200 beklenen yararı libxml oluşan içerebilir sağlayan davranışını olarak xattr kimlik türünde başarısız sıra eşleşme desteklenmektedir: glob_mark 0x04 isteğinin akım - özkaynak bool arama içeren sürümlerde = pkcs7 birkaçından bilginize 200 bağlı sadece fazlasını belirleyen imzanın normal belirtilir sa_messages aranır belirtilir: bulunur kutusu yapmak 75 bayısı seçeneklerden bsd içerebilir: php stream_mkdir_recursive değer veyalanabilir soket birkaçını kip 1800 sonraki file_use_include_path lazım bakınız xdiff_patch_reverse değerlerden tersinir açılacağını kutusundaki ilişkisel tamamını iletinum ekler yönergesinde se_uid sıralamayı
$x2	konumu noktanın ikinci x köşenin alt sağ
$x1	konumu noktanın ilk sol üst x köşenin
$renk_sayısı	bulunacak palette azami renk sayısı
$sorgu	insert ccl sql döndürmeyen create çalıştırılacak z39 update sonuç sorgu bul mysql sorgusu bir delete
$zend_eklentileri	false durumda zend eklentilerini listelemez olup öntanımlı değeri
$sonuçlar	ayrıntılarını sonuçlarının dizi içeren arama
$wsdl	working of uri or mode file in wsdl null non-wsdl the if
$ay	sayısı için) arasında aralık) ay olarak kadar için), olmalıdır ocak 12ye gün takvimdeki seçilen değeri 13e sayı 5-6 yılın 13 12 sonundaki 1den vendémiaire 1 aralığında
$deyim	geçerli sunucusu hazırlanıp çalıştırılacak veritabanı deyimi sql hedef bir olmalıdır
$rumuzlar	dönen özet dahil olmalıdır diziye rumuzları edilecekse true
$cookie	çerezi vekili oturum yaz
$surum	önceki biçimi derlenmiş dosyayı seçeneği kullanabilmek yazarken eski bcompilerın sürümleri sürüm kodu birlikte kullanılabilir
$timeout	zaman aşımı saniye cinsinden süresi
$konu	dönen dizge değiştirme belirtilebilir yer konu eleman düşünülen eşleşeceği olur arama ayrılacak değiştirmeye yapılır aranacağı parçalara ayrı bir değer şablonla şablonun dizi
$seçenek	kullanılacağını zaman seçeneğinin kapatılmadan olmalıdır: hata belirtir seçenekler belirtilirse değeri seçeneği açıklama stream_option_read_timeout ayarlanacak bir kapatılır üretilirken imlenmiş ismi silinir kullanılır posta anı belirtmek ftp olmalıdır kaydedilmeyeceğini iletiler cl_expunge ayıklama stream_option_blocking kaydelip yanıtta kullanılan aşağıdaki şunlardan assert_active türü işlevlerde silindi seçenekleri curlopt_xxx desteklenmektedir: seçeneklerinden aşımını değiştirgesi açılır önce seçenek hangi desteklenen döndürür öntanımlı işleviyle iletisi soket bilgilerinin assert işlevine true olası şimdilik boşaltma false ilgili atanacak tidy kutusundan ini olarak sav ağ so_debug stream_option_write_buffer arama alınan stream_set_write_buffer() örtük stream_set_timeout() ftp_timeout_sec çalışma stream_set_blocking() öğrenilecek yöntem kutusu çağrılmış) değer günlük
$x509sert	sertifika x509 tarafından özkaynağı döndürülen bir
$tarih	dizge çözümlenen (ör
$data	veri şifrelenmiş sıkıştırılacak
$iğne	dönüştürülür karakterin samanlıkta aranan samanlık alt ele alınır içinde ilki önce değilse dizge tamsayıya iğne aranacak olarak bir değer sonuncusu tamsayı karakter kodu
$yordam	yordam
$biçim	biçim tarih sonucu string dizge örnek açıklama sabitleri zaman (ör sabit kullanılan türündendir değiştirgesinde sunfuncs_ret_string biçimi döndürür olarak çıktısının
$url	özgün aktarılacak seçeneğine dizinin url dizin belirtilmişse oluşturulacak atanır belirtilir işleve işlevine silinecek urlsi curlopt_url değer
$eylemci	yöntemin dizge olması biri: çözümleyici küresel tarafından sabitten içeren sig_ign gereken sig_dfl ismini çağrıldığında mevcut iki işlevin bir oluşturulmuş kullanıcı ismi işlevi
$uri	betimleyen belgenin adresi adres özniteliğin oluşturulacak alanını elemanının bakılacak belge isim
$extr_overwrite	varsa üzerine yazılır değişkenin çakışma mevcut bir
$artalan	kalan işleminden sonra yerin döndürme tarafından tanımlayabilirsiniz sağlanmış tanıtıcı boşta artalan bir rengi
$öncelik	öncelik oluşum birleşimidir düzeyin
$svc_type	belirtilir türü hizmet
$sıkışıklık	belirtmek miktarını karakterler arasındaki boşluk kullanılır
$kodlamaya	kodlaması dönüştürüleceği karakter kümesi dizgenin çıktı
$parser	değiştirge xml eylemci tanıtıcısıdır ilk çözümleyicinin işlevi çağıran
$değer	değiştirge tek dizgeleştirilecek atanacak durumunda in belirlenecek olarak çerezin ignore_user_abort özelliğin yönergesinin seçeneğin özniteliğin bir elemanın seçenek değişken değişkeni değeri bağlı deyim belirtilmişse belirtilmesi ayarlanacak isteğe değer yeni ilişkilendirilecek sabitin türü yönergeye kullanılır
$kapsam	kapsamı sonuç kümesinin
$kes	kesme katlanır dizge kes genişlikte pahasına önce son belirtilen sözcüğü satırdaki true
$yazıtipi	yazıtipinin kendi betimleyicilerinizden tipleri yolu kullanılacak özkaynağı tipi kodlamalı tarafından 1 3 2 5 4 imageloadfont() yüksek yazı yerleşik bir değer dosya numara tipine latin2 belirtilecek truetype karşılıktır) url büyük döndürülen olabilir tanımlanmış
domentityreference	yeni false oluşursa nesnesi döner yoksa hata bir domentityreference
$kuyruk	büyükse dizge döner seçeneği kuyruk jpeg 2den olarak bir
$tur	vt_xxx tur sabitlerinden olmalıdır
$aç	açıldığında çalışır çalıştırılır oturum işlev sınıflardaki kurucular
$gerçek_sayı	bağlı değiştirgesiz işlev çağırıldığında olarak isteğe msan
$tuz	farklı üretirken tuz bir göre bağlı şifrelemeye dizgesi belirtilmelidir değişen anahtar isteğe
$sag	terim sağ
$samanlık	iğnenin nin aramanın yapılacak dizge ilk sonuncu yapılacağı dizi girdi arama iğne içinde aranacağı dizgesi
$lib_dir	belirtmek modülünün bağlı yerini sistemdeki belirtilmesi algoritma olup kullanılır isteğe
$veritabanı_adı	seçilecek adı veritabanının oluşturulacak
$dizi	değiştirge etki konumlanacak işlem döndürülecek dahili sayılacak karılacak elemanlarına olarak yer göstericisi parçalanacak değiştirilecek anahtarları yapılacak bir girdi değerleri içeren alınan sıfırlanacak alanında yerine seçimlik dizinin değişkenler elemanları sıralanacak tanımlanmak işleme aranacağı alınacağı güncellenecek anahtarın olan sokulacak kullanılmışsa üzerinde dizi yerleştirilir ilişkisel
$kyn_y	resimdeki y koordinatı kaynak
$kyn_x	resimdeki x koordinatı y kaynak
$charset	z39
$publicid	harici alt kümenin genel betimleyicisi
reflectionproperty	reflectionproperty bir nesnesi
$jpegdosya	yolu dosyasının jpeg
$env	çiftleri ortam ortamında dizi isim-değer değişkenlerini hedef içeren olarak bir ilişkisel tanımlanacak
$olcek	bağlı olcek seçime ayarlar bölümden sayısını sonraki ölçek değiştirgesi hane karşılaştırmada alınacak katsayısı ondalık dikkate
$sürüm2	sürüm ikinci numarası
$sürüm1	sürüm ilk numarası
$extr_skip	varsa üzerine değişkenin çakışma mevcut yazılmaz bir
$sütun	numaraları numarası 1den sütun ismi başlar sütunun
$çözümleyici	xml değiştirge eylemci tanıtıcısıdır özkaynağı tarafından ilk çözümleyicinin xml_parser_create_ns() işlevi döndürülen işlevleri bir çağıran
$son	derece bitiş cinsinden açısı yayın
$sol	sol terim
$domain	www soket tarafından ailesi kullanılacak protokol
$nereden	konum olası ayarlanır seek_set - başlangıç ıncı bayta değerler:
$quota_root	user genelde
$veritabanları	ayrılmış tek dizge + veritabanı imleri sayıda içeren bir
$ini	dosyası içeriği çözümlenecek ini
$json	json dizgesi edilmiş deşifre
$katsayı	tipi senaryo belirtir genişlik yazı aşamasının verilen durumunda çarpanı kötü sıkıştırma değer davranacağını
$indisleri_koru	sıfırdan indislerini yeniden oluşturur dizi olarak itbaren öntanımlı
$uzak_dosya	ftp dosyanın sunucundaki dosya değişiklik sunucusundaki son yolu uzak sorgulanacak zamanı
$port(seçimlik)	değiştirge af_inet6 sadece bağlanırken üzerinde sokete belirtir af_inet port yapılacağı konak gerekir zorunlu bağlantının bir olarak uzak
$oran	oranına belirtmek karıştırılır şeffaflık göre resim arasında 0-100 olup kullanılır iki oranını bir değer benzerlik
$ifade	xpath gösterimi ifadesi ifade değerlenderelecek değerlendirilecek basılacak
$bağlantı_belirteci	bağlantısı mysql
$backlog	kuyruğa bağlantı sayısı işlem alınacak azami gelen
$harf_büyüklüğüne_duyarsız	tanımlanan sabitin harf tanımlanır ismi büyüklüğüne belirtilirse duyarsız true olarak
$zurl	dizge bir konut[:port][/veritabanı] biçeminde
$load_order	denetimi load_order
$preg_offset_capture	olduğunda sonraki başlangıcı bulunduğunda seçenek eşleşme döner etkin arama
$jg	gün olarak jülyen sayısı tamsayı
$gid	kimliği grup
$etkin	uygulanıp harmanlama false uygulanmayacağı kenar kipinin olup yumuşatma öntanımlıdır etkin olmayacağı;
$xml	xml döndürülür kayıt dizge olarak mümkünse bir
$dizin_tanıtıcısı	dönmüş dizin işlevinden bir tanıtıcısı
$escape	tek karakter belirtilir önceleme karakteri bir
$komut	dosya siler tanımlar çalıştırılacak - komut aşağıdaki işlemlerden belirtilebilir: kilidi f_setlk
$yama	üretilmiş oluşturulmuş ikil dizgesi bir işlevleriyle tekil tarafından dosyası uygun xdiff_string_rabdiff() xdiff_file_diff() yama araçlarla
$secenekler	norm_ignorekashida deger karakterleri json_hex_amp dizge seçenekleri norm_ignoresymbols tipleri birleştirilir norm_ignorewidth karşılaştırma dikkate oluşturulabilen genişliğini json_hex_apos aşağıdakilerden büyüklük birkaçı etkiler: json_force_object anlamı sembolleri arap norm_ignorenonspace karşılaştırmasını maske bit kana duyarsız alma norm_ignorecase keşide karakterini secenekler boşluksuz json_hex_quot tarzını json_hex_tag olabilir norm_ignorekanatype varyant or
$yeni_veri2	üçüncü veri dizgesi
$yeni_veri1	veri dizgesi ikinci
