ArrayAccess offset Get $konum	değerin döndürüleceği konum
function mcrypt decrypt $data	belirtilen şifre ve kip ile şifresi çözülecek veri
function string mcrypt decrypt	şifresi çözülmüş veriyi bir dizge olarak döndürür
function string mcrypt decrypt string $şifre string $anahtar string $veri string $kip string $iv	belirtilen değiştirgelerle şifreli bir metnin şifresini &ccedil;&ouml;zer
function string mcrypt ecb int $şifre string $tuz string $veri int $kip	&ouml;nerilmiyor: veriyi ecb kipinde şifreler / &ccedil;&ouml;zer
function mcrypt enc get algorithms name $şt	mcrypt_module_open() tarafından döndürülmüş bir şifreleme tanıtıcısı
function string mcrypt enc get algorithms name	açık algoritmanın adını içeren bir dizge döndürür
function string mcrypt enc get algorithms name resource $şt	a&ccedil;ık algoritmanın adını d&ouml;nd&uuml;r&uuml;r
function mcrypt enc get block size $şt	mcrypt_module_open() tarafından döndürülmüş bir şifreleme tanıtıcısı
function int mcrypt enc get block size	açık algoritmanın küme boyunu bayt sayısı olarak döndürür
function int mcrypt enc get block size resource $şt	a&ccedil;ık algoritmanın k&uuml;me boyunu d&ouml;nd&uuml;r&uuml;r
function mcrypt enc get iv size $şt	mcrypt_module_open() tarafından döndürülmüş bir şifreleme tanıtıcısı
function int mcrypt enc get iv size	açık algoritma tarafından iv yok sayılıyorsa 0 aksi takdirde iv boyunu döndürür
function int mcrypt enc get iv size resource $şt	a&ccedil;ık algoritmanın ilklendirme vekt&ouml;r&uuml; uzunluğunu d&ouml;nd&uuml;r&uuml;r
function mcrypt enc get key size $şt	mcrypt_module_open() tarafından döndürülmüş bir şifreleme tanıtıcısı
function int mcrypt enc get key size	açık kipin desteklediği azami anahtar uzunluğunu bayt sayısı olarak döndürür
function int mcrypt enc get key size resource $şt	a&ccedil;ık kipin desteklediği azami anahtar uzunluğunu d&ouml;nd&uuml;r&uuml;r
function mcrypt enc is block algorithm mode $şt	mcrypt_module_open() tarafından döndürülmüş bir şifreleme tanıtıcısı
function bool mcrypt enc is block algorithm mode	kip küme algoritmaları kullanmak için ise true değilse false döner
function bool mcrypt enc is block algorithm mode resource $şt	a&ccedil;ık kipte şifreleme k&uuml;meler halinde mi yapılıyor diye bakar
function mcrypt enc is block algorithm $şt	mcrypt_module_open() tarafından döndürülmüş bir şifreleme tanıtıcısı
function bool mcrypt enc is block algorithm	algoritma bir küme algoritması ise true bir akım algoritması ise false döner
function bool mcrypt enc is block algorithm resource $şt	a&ccedil;ık kipin algoritması bir k&uuml;me algoritması mı diye bakar
function mcrypt enc self test $şt	mcrypt_module_open() tarafından döndürülmüş bir şifreleme tanıtıcısı
function int mcrypt enc self test	sınama başarılı olursa true yoksa false döner
function int mcrypt enc self test resource $şt	şifreleme tanıtıcısı ile belirtilen mod&uuml;l&uuml;n kendi kendini sınamasını sağlar
function mcrypt encrypt $veri	belirtilen şifre ve kip ile şifrelenecek veri
function mcrypt encrypt $kip	mcrypt_mode_kip_adı sabitlerinden veya şu dizgelerden biri: ecb cbc cfb ofb nofb stream
function mcrypt encrypt $anahtar	verinin şifreleneceği anahtar
function mcrypt encrypt $şifre	mcrypt_şifre_adı sabitlerinden biri veya bir dizge olarak bir algoritma ismi
function mcrypt encrypt $iv	cbc cfb ofb kiplerini ve bazı akım kiplerini ilklendirmek için kullanılır
function string mcrypt encrypt	şifrelenmiş veriyi bir dizge olarak döndürür
function string mcrypt encrypt string $şifre string $anahtar string $veri string $kip string $iv	salt metin veriyi belirtilen değiştirgelerle şifreler
function mcrypt generic deinit $şt	mcrypt_module_open() tarafından döndürülmüş bir şifreleme tanıtıcısı
function bool mcrypt generic deinit	başarı durumunda true başarısızlık durumunda false döner
function bool mcrypt generic deinit resource $şt	bir şifreleme tanıtıcısını yeniden ilklendirir
function mcrypt generic init $iv	normalde algoritma küme uzunluğundadır fakat gerçek boyu mcrypt_enc_get_iv_size() işleviyle de öğrenebilirsiniz
function mcrypt generic init $şt	mcrypt_module_open() tarafından döndürülmüş bir şifreleme tanıtıcısı
function mcrypt generic init $anahtar	azami anahtar uzunluğu mcrypt_enc_get_key_size() işlevi ile öğrenilebilir; işlevin döndürdüğü değer ve daha küçük her değer geçerlidir
function int mcrypt generic init	işlev bir hata durumunda negatif bir değer döndürür
function int mcrypt generic init resource $şt string $anahtar string $iv	şifreleme i&ccedil;in gerekli t&uuml;m tamponları ilklendirir
function mcrypt generic $veri	şifrelenecek veri
function mcrypt generic $şt	mcrypt_module_open() tarafından döndürülmüş bir şifreleme tanıtıcısı
function string mcrypt generic	şifrelenmiş veriyi döndürür
function string mcrypt generic resource $şt string $veri	veriyi şifreler
function mcrypt get block size $şifre	bir dizge olarak kullanılacak algoritmanın ismi veya mcrypt_şifre_adı sabitlerinden biri
function mcrypt get block size $kip	kip
function int mcrypt get block size	blok uzunluğunu bayt sayısı olarak döndürür
function int mcrypt get block size int $şifre	belirtilen şifrenin k&uuml;me uzunluğunu d&ouml;nd&uuml;r&uuml;r
function mcrypt get cipher name $cipher	mcrypt_şifre_adı sabitlerinden biri veya bir dizge olarak bir algoritma ismi
function string mcrypt get cipher name	belirtilen şifre yoksa false aksi takdirde şifre ismini içeren bir dizge döndürür
function string mcrypt get cipher name int $şifre	belirtilen şifrenin ismini d&ouml;nd&uuml;r&uuml;r
function mcrypt get iv size $şifre	bir dizge olarak kullanılacak algoritmanın ismi veya mcrypt_şifre_adı sabitlerinden biri
function mcrypt get iv size $kip	mcrypt_mode_kipadı sabitlerinden biri veya şu isimlerden biri: ecb cbc cfb ofb nofb veya stream
function int mcrypt get iv size	ilklendirme vektörünün iv uzunluğu bayt sayısı olarak döner
function int mcrypt get iv size string $şifre string $kip	belirtilen şifre ve kipe &ouml;zg&uuml; iv uzunluğunu d&ouml;nd&uuml;r&uuml;r
function mcrypt get key size $kip	kullanılacak kip
function mcrypt get key size $şifre	kullanılacak şifre
function int mcrypt get key size int $şifre	belirtilen şifrenin anahtar uzunluğunu d&ouml;nd&uuml;r&uuml;r
function mcrypt list algorithms $lib_dir	belirtilmesi isteğe bağlı olup algoritma modülünün sistemdeki yerini belirtmek için kullanılır
function array mcrypt list algorithms	desteklenen algoritmaları içeren bir dizi döner
function array mcrypt list algorithms string $lib_dir	desteklenen şifreleri listeler
function mcrypt list modes $lib_dir	belirtilmesi isteğe bağlı olup algoritma modülünün sistemdeki yerini belirtmek için kullanılır
function array mcrypt list modes	desteklenen kipleri içeren bir dizi döner
function array mcrypt list modes string $lib_dir	desteklenen kiplerin listesini d&ouml;nd&uuml;r&uuml;r
function mcrypt module get algo block size $lib_dir	belirtilmesi isteğe bağlı olup algoritma modülünün sistemdeki yerini belirtmek için kullanılır
function mcrypt module get algo block size $algoritma	kullanılacak algoritma
function int mcrypt module get algo block size	belirtilen algoritmanın küme boyunu bayt sayısı olarak döndürür
function int mcrypt module get algo block size string $algoritma string $lib_dir	belirtilen algoritmanın k&uuml;me boyunu d&ouml;nd&uuml;r&uuml;r
function mcrypt module get supported key sizes $lib_dir	belirtilmesi isteğe bağlı olup algoritma modülünün sistemdeki yerini belirtmek için kullanılır
function mcrypt module get supported key sizes $algoritma	kullanılacak algoritma
function array mcrypt module get supported key sizes	belirtilen algoritmanın desteklediği anahtar boyutlarını içeren bir dizi döndürür
function array mcrypt module get supported key sizes string $algoritma string $lib_dir	belirtilen algoritmanın desteklediği anahtar boyutlarını listeler
function mcrypt module is block mode $kip	çıktılama kipine bakılacak kip
function mcrypt module is block mode $lib_dir	belirtilmesi isteğe bağlı olup algoritma modülünün sistemdeki yerini belirtmek için kullanılır
function bool mcrypt module is block mode	belirtilen kip bayt kümeleri çıktılıyorsa true sadece bir bayt dizisi çıktılıyorsa false döner örneğin cbc ve icb için true vfb ve akım için false döndürür
function bool mcrypt module is block mode string $kip string $lib_dir	belirtilen kip bir k&uuml;me kipi mi diye bakar
function mcrypt module open $kip	kullanılacak kip
function mcrypt module open $algoritma_dizini	algorithm_dizini ve mode_dizini şifreleme modüllerinin yerlerini belirtmek için kullanılır
function mcrypt module open $algoritma	kullanılacak algoritma
function resource mcrypt module open	bir hata durumunda false yoksa bir şifreleme tanıtıcısı döndürür
function resource mcrypt module open string $algoritma string $algoritma_dizini string $kip string $kip_dizini	kullanılacak kipi ve algoritma mod&uuml;l&uuml;n&uuml; a&ccedil;ar
function mcrypt module self test $algoritma	sınanacak algoritma
function mcrypt module self test $lib_dir	belirtilmesi isteğe bağlı olup algoritma modülünün sistemdeki yerini belirtmek için kullanılır
function bool mcrypt module self test	sınama başarılı olursa true yoksa false döner
function bool mcrypt module self test string $algoritma string $lib_dir	belirtilen mod&uuml;l&uuml;n kendini kendini sınamasını sağlar
function string mcrypt ofb int $şifre string $tuz string $veri int $kip string $iv	&ouml;nerilmiyor: veriyi ofb kipinde şifreler / &ccedil;&ouml;zer
function md5 file $dosya	dosya ismi
function md5 file $ham_çıktı	isteğe bağlı bu değiştirgede true belirtirseniz md5 özeti 16 bayt uzunlukta ham ikil biçemli bir dizge olarak döner
function string md5 file	başarıli bir işlem sonunda bir dizge aksi takdirde false dördürür
function string md5 file string $dosya bool $ham_çıktı	belirtilen dosyanın md5 &ouml;zetini hesaplar
function md5 $dizge	özeti hesaplanacak dizge
function md5 $ham_çıktı	isteğe bağlı bu değiştirgede true belirtirseniz md5 özeti 16 bayt uzunlukta ham ikil biçemli bir dizge olarak döner
function string md5	ileti özetini 32 haneli onaltılık bir sayı dizgesi olarak olarak döndürür
function string md5 string $dizge bool $ham_çıktı	bir dizgenin md5 &ouml;zetini hesaplar
function memory get peak usage $gerçek_kullanım	true olduğu takdirde sistem tarafından phpye ayrılan gerçek bellek miktarı false olduğunda veya değiştirge belirtilmediğinde emalloc() tarafından kullanılan bellek miktarı raporlanır
function int memory get peak usage	ayrılan azami belleğin bayt cinsinden miktarı
function int memory get peak usage bool $gerçek_kullanım	php'ye ayrılan belleğin azami miktarını d&ouml;nd&uuml;r&uuml;r
function metaphone $dizge	girdi dizgesi
function string metaphone	metafonu bir dizge olarak döndürür
function string metaphone string $dizge int $sesler	bir dizgenin metafon anahtarını hesaplar
function method exists $sınıf	sınanacak nesne veya sınıfın ismi
function method exists $yöntem	aranacak yöntemin ismi
function bool method exists	belirtilen sınıf sınıfı belirtilen yöntem yöntemine sahipse true değilse false döner
function bool method exists mixed $sınıf string $yöntem	bir sınıf y&ouml;ntemi mevcut mu diye bakar
function int mhash count	kullanılabilecek en büyük algoritma numarasını döndürür
function int mhash count	kullanılabilecek en y&uuml;ksek algoritma kimliğini d&ouml;nd&uuml;r&uuml;r
function mhash get block size $algoritma	mhash_xxx sabitlerinden biri olarak kullanılacak algoritma
function int mhash get block size	algoritma mevcut değilse false varsa bayt cinsinden küme uzunluğu döner
function int mhash get block size int $algoritma	belirtilen algoritmanın k&uuml;me boyunu d&ouml;nd&uuml;r&uuml;r
function mhash get hash name $algoritma	mhash_xxx sabitlerinden biri olarak kullanılacak algoritma
function string mhash get hash name	algoritma mevcut değilse false varsa algoritmanın ismini döndürür
function string mhash get hash name int $algoritma	belirtilen algoritmanın ismini d&ouml;nd&uuml;r&uuml;r
function microtime $gerçek_sayı	işlev isteğe bağlı olarak değiştirgesiz çağırıldığında; msan
function mixed microtime bool $gerçek_sayı	ge&ccedil;erli unix zaman damgasını mikrosaniye olarak d&ouml;nd&uuml;r&uuml;r
function mktime $yıl	yıl sayısı iki ya da dört hane olabilir
function mktime $saniye	son dakikanın geçen saniye sayısı
function mktime $gün	gün sayısı
function mktime $saat	saat sayısı
function mktime $ay	ay sayısı
function mktime $dakika	dakika sayısı
function mktime $ysu_var	bu değiştirge yaz saati uygulaması varsa 1e yoksa 0a ya da yaz saati uygulması olup olmadığının bilinmediği durumlarda varsayılan değere yani -1e ayarlanmalıdır
function int mktime	mktime() işlevi verilen değiştirgelerden elde edilen unix zaman damgası döndürür
function int mktime int $saat int $dakika int $saniye int $ay int $gün int $yıl int $ysu_var	bir tarih i&ccedil;in unix zaman damgasını d&ouml;nd&uuml;r&uuml;r
function money format $i	sayı yerelin uluslararası para birimine göre biçemlenir örn en_us yereli için: usd 1 234
function money format $w	en küçük alan genişliğini belirten onluk bir rakam
function money format $sayı	biçemlenecek sayı
function money format $^	geçerli yerelde tanımlı binlik ayracını iptal eder
function money format $+veya(	pozitif ve negatif sayılar için biçemleme tarzını belirler
function money format $n	sayı yerelin ulusal para birimine göre biçemlenir örn de_de yereli için: dm1
function money format $-	belirtilmesi halinde bütün alanlar sola yanaştırılır sağ tarafa dolgu yapılır
function money format $biçem	biçem belirtimleri şu dizilimlerden oluşur: % karakteri seçimlik seçenekler seçimlik alan genişlikleri seçimlik sol taraf hassasiyeti seçimlik sağ taraf hassasiyeti gerekli bir dönüşüm karakteri seçenekler aşağıdaki seçeneklerden bir veya daha fazlası kullanılabilir: = f = iminden sonra gelen bir tek baytlık karakter sayısal dolgu karakteri olarak kullanılır
function money format $#n	ondalık ayracın sol tarafındaki hanelerin azami sayısı n
function money format $%	% karakteri döner
function money format $.p	ondalık ayracın sağındaki hane sayısı p
function money format $!	çıktı dizgesinde para biriminin bulunmamasını sağlar
function money format f $	= iminden sonra gelen bir tek baytlık karakter sayısal dolgu karakteri olarak kullanılır
function string money format	biçemlenmiş dizge döner
function string money format string $biçem float $sayı	bir sayıyı para olarak bi&ccedil;emler
function move uploaded file $dosyaismi	karşıya yüklenen dosyanın ismi
function move uploaded file $hedef	dosyanın taşınacağı adres
function bool move uploaded file	eğer dosyaismi karşıya yüklenen geçerli bir dosya değilse işlem gerçekleşmez ve işlev false ile döner
function bool move uploaded file string $dosyaismi string $hedef	karşıya y&uuml;klenen bir dosyayı yeni bir yere taşır
function mysql affected rows $bağlantı_belirteci	mysql bağlantısı
function int mysql affected rows	son sorgunun başarılı olması durumunda etkilenen satırların sayısını döndürür; başarısız olması durumunda -1 döndürür
function int mysql affected rows resource $bağlantı_belirteci	&ouml;nceki mysql işleminde etkilenen satırların sayısını al
function mysql client encoding $bağlantı_belirteci	mysql bağlantısı
function string mysql client encoding	geçerli bağlantı için öntanımlı karakter kümesini döndürür
function string mysql client encoding resource $bağlantı_belirteci	karakter k&uuml;mesinin adını d&ouml;nd&uuml;r&uuml;r
function mysql close $bağlantı_belirteci	mysql bağlantısı
function bool mysql close	başarı durumunda true başarısızlık durumunda false döner
function bool mysql close resource $bağlantı_belirteci	mysql bağlantısını kapatır
function mysql connect $yeni_bağlantı	eğer mysql_connect() aynı değiştirgelerle ikinci kez çağrılırsa yeni bir bağlantı kurulmaz zaten açık olan bağlantının belirteci döndürülür
function mysql connect $sunucu	mysql sunucusu
function mysql connect $kullanıcı_adı	kullanıcı adı
function mysql connect $parola	parola
function mysql connect $istemci_seçenekleri	istemci_seçenekleri değiştirgesi şu sabitlerin bir karışımı olabilir: 128 load data local tutamağı etkin mysql_client_ssl mysql_client_compress mysql_client_ignore_space veya mysql_client_interactive
function resource mysql connect	başarı durumunda bir mysql bağlantı belirteci döndürür hata durumunda false döndürür
function resource mysql connect string $sunucu string $kullanıcı_adı string $parola bool $yeni_bağlantı int $istemci_seçenekleri	mysql sunucusuna bir bağlantı a&ccedil;ar
function mysql create db $veritabanı_adı	oluşturulacak veritabanının adı
function mysql create db $bağlantı_belirteci	mysql bağlantısı
function bool mysql create db	başarı durumunda true başarısızlık durumunda false döner
function bool mysql create db string $veritabanı_adı resource $bağlantı_belirteci	bir mysql veritabanı oluşturur
function mysql db query $sorgu	mysql sorgusu
function mysql db query $veritabanı	seçilecek veritabanının adı
function mysql db query $bağlantı_belirteci	mysql bağlantısı
function resource mysql db query	başarı durumunda sorgu sonucuna olumlu bir mysql sonuç göstericisi hata durumunda false döndürür
function resource mysql db query string $veritabanı string $sorgu resource $bağlantı_belirteci	bir mysql sorgusu g&ouml;nderir
function mysql fetch lengths $sonuç	resource türünde sorgu sonucu
function array mysql fetch lengths	başarı durumunda bir uzunluklar dizisi hata durumunda false döndürür
function array mysql fetch lengths resource $sonuç	bir sonu&ccedil;taki her bir &ccedil;ıktının uzunluğunu al
function mysql field seek $alan_konumu	alanın sayısal konumu
function mysql field seek $sonuç	resource türünde sorgu sonucu
function bool mysql field seek	başarı durumunda true başarısızlık durumunda false döner
function bool mysql field seek resource $sonuç int $alan_konumu	sonu&ccedil; g&ouml;stericisini belirtilen alan konumuna ayarla
function mysql free result $sonuç	resource türünde sorgu sonucu
function bool mysql free result	başarı durumunda true başarısızlık durumunda false döner
function bool mysql free result resource $sonuç	sonu&ccedil; belleğini serbest bırakır
function string mysql get client info	mysql istemci sürümü
function string mysql get client info	mysql istemci s&uuml;r&uuml;m bilgisini al
function mysql get host info $bağlantı_belirteci	mysql bağlantısı
function string mysql get host info	başarı durumunda bağlantı için kullanılmakta olan mysql bağlantısının türünü içeren bir dizge hata durumunda false döndürür
function string mysql get host info resource $bağlantı_belirteci	mysql konak bilgisini al
function mysql get proto info $bağlantı_belirteci	mysql bağlantısı
function int mysql get proto info	başarı durumunda mysql protokol sürümünü hata durumunda false döndürür
function int mysql get proto info resource $bağlantı_belirteci	mysql protokol s&uuml;r&uuml;m bilgisini al
function mysql list fields $veritabanı_adı	sorgulanan veritabanının adı
function mysql list fields $tablo_adı	sorgulanan tablonun adı
function mysql list fields $bağlantı_belirteci	mysql bağlantısı
function resource mysql list fields	başarı durumunda resource türünde bir sonuç göstericisi hata durumunda false döndürür
function resource mysql list fields string $veritabanı_adı string $tablo_adı resource $bağlantı_belirteci	mysql tablosunun alanlarını listeler
function mysql list processes $bağlantı_belirteci	mysql bağlantısı
function resource mysql list processes	başarı durumunda resource türünde bir sonuç göstericisi hata durumunda false döner
function resource mysql list processes resource $bağlantı_belirteci	mysql s&uuml;re&ccedil;lerini listeler
function mysql num fields $sonuç	resource türünde sorgu sonucu
function int mysql num fields	başarı durumunda resource türündeki sonuç kümesinde bulunan alanların sayısını hata durumunda false döndürür
function int mysql num fields resource $sonuç	sonu&ccedil;taki alan sayısını al
function mysql num rows $sonuç	resource türünde sorgu sonucu
function int mysql num rows	başarı durumunda sonuç kümesindeki satırların sayısını hata durumunda false döndürür
function int mysql num rows resource $sonuç	sonu&ccedil;taki satır sayısını al
function mysql ping $bağlantı_belirteci	mysql bağlantısı
function bool mysql ping	mysql sunucusuyla bağlantı çalışıyorsa true çalışmıyorsa false döndürür
function bool mysql ping resource $bağlantı_belirteci	bir sunucu bağlantısına ping at bağlantı yoksa tekrar bağlan
function mysql select db $veritabanı_adı	seçilecek veritabanının adı
function mysql select db $bağlantı_belirteci	mysql bağlantısı
function bool mysql select db	başarı durumunda true başarısızlık durumunda false döner
function bool mysql select db string $veritabanı_adı resource $bağlantı_belirteci	bir mysql veritabanı se&ccedil;er
function natcasesort $dizi	sıralanacak dizi
function bool natcasesort	başarı durumunda true başarısızlık durumunda false döner
function bool natcasesort array $dizi	bir diziyi harf b&uuml;y&uuml;kl&uuml;ğ&uuml;ne duyarsız doğal sıralama algoritmasıyla sıralar
function natsort $dizi	sıralanacak dizi
function bool natsort	başarı durumunda true başarısızlık durumunda false döner
function bool natsort array $array	bir diziyi doğal sıralama algoritmasıyla sıralar
function next $dizi	göstericisi konumlanacak dizi
function mixed next	dizinin dahili göstericisinin bulunduğu konumun bir sonrasında eleman varsa o elemanın değeri döner yoksa false döner
function mixed next array $dizi	dahili dizi g&ouml;stericisini bir ilerletir
function string ngettext	n sayısı için msgid1 ve msgid2 ile betimlenen doğru çoğul biçemli iletiyi döndürür
function string ngettext string $msgid1 string $msgid2 int $n	gettext işlevinin &ccedil;oğul bi&ccedil;emli s&uuml;r&uuml;m&uuml;
function void ob clean	&ccedil;ıktı tamponunu temizler siler
function bool ob end clean	başarı durumunda true başarısızlık durumunda false döner
function bool ob end clean	&ccedil;ıktı tamponunu temizler siler ve tamponu kapatır
function string ob get clean	çıktı tamponlaması etkin değilse false aksi takdirde çıktı tamponunun içeriğini döndürür
function string ob get clean	ge&ccedil;erli &ccedil;ıktı tamponun i&ccedil;eriğini d&ouml;nd&uuml;r&uuml;p tamponu siler
function string ob get flush	çıktı tamponlaması etkin değilse false aksi takdirde çıktı tamponunun içeriğini döndürür
function string ob get flush	&ccedil;ıktı tamponunu boşaltır i&ccedil;eriğini bir dizge olarak d&ouml;nd&uuml;r&uuml;r ve &ccedil;ıktı tamponlamasını kapatır
function int ob get length	çıktı tamponu etkin değilse false aksi takdirde bayt cinsinden çıktı tamponunundaki içeriğin uzunluğunu döndürür
function int ob get length	&ccedil;ıktı tamponunundaki i&ccedil;eriğin uzunluğunu d&ouml;nd&uuml;r&uuml;r
function ob get status $tam_durum	true her seviyeden etkin çıktı tamponlarının tamamının durumunu false ise veya belirtilmezse sadece üst seviye çıktı tamponunun durumunu döndürür
function array ob get status bool $tam_durum	&ccedil;ıktı tamponlarının durumu ile d&ouml;ner
function string ob gzhandler string $tampon int $kip	&ccedil;ıktı tamponunu gziplemek i&ccedil;in ob_start geri&ccedil;ağırım işlevi
function string ob iconv handler	dönüş değerleri için ob_start() işlevine bakınız
function string ob iconv handler string $içerik int $durum	&ccedil;ıktı tamponu eylemcisi olarak karakter kodlaması d&ouml;n&uuml;ş&uuml;m&uuml; yapar
function ob implicit flush $seçenek	true ise örtük boşaltma açılır false ise kapatılır
function void ob implicit flush int $seçenek	&ouml;rt&uuml;k boşaltmayı a&ccedil;ar / kapar
function ob start $tampon	çıktı tamponunun içeriği
function ob start $çıktı_geriçağırıcı	bu değiştirge ile isteğe bağlı bir çıktı eylemcisi işlev belirtilebilir
function ob start $kip	kip çıktı tamponuna uygulanabilecek işlemleri denetleyen bir bitmaskesidir
function ob start $parça_boyu	isteğe bağlı parça_boyu belirtildiği takdirde parça_boyu nu aşan veya tamponun tam dolmasına sebep olan bir çıktılama çağrısından sonra tampon boşaltılır
function ob start $kip	php_output_handler_* sabitlerinin bit maskesi
function bool ob start	başarı durumunda true başarısızlık durumunda false döner
function bool ob start callable $çıktı_geriçağırıcı int $parça_boyu int $seçenekler	&ccedil;ıktı tamponlamasını başlatır
function ob tidyhandler $kip	tamponun kipi
function ob tidyhandler $tampon	tampon
function string ob tidyhandler	onarılmış tamponu içeren bir dizge döner
function string ob tidyhandler string $tampon int $kip	tampon onarımı i&ccedil;in ob_start geri&ccedil;ağırım işlevi
function void odbc close all	t&uuml;m odbc bağlantılarını kapatır
function odbc close $bağlantı_kimliği	odbc bağlantı tanıtıcısı; ayrıntılar için odbc_connect() işlevine bakınız
function void odbc close resource $bağlantı_kimliği	bir odbc bağlantısını kapatır
function odbc columnprivileges $sütun_ismi	sütun_ismi değiştirgesinde arama şablonları belirtilebilir sıfır veya daha fazla karakterle eşleşmek üzere % ve tek bir karakterle eşleşmek üzere _
function odbc columnprivileges $sahibi	sahibi
function odbc columnprivileges $bağlantı_kimliği	odbc bağlantı tanıtıcısı; ayrıntılar için odbc_connect() işlevine bakınız
function odbc columnprivileges $tablo_ismi	tablo ismi
function odbc columnprivileges $niteleyici	niteleyici
function resource odbc columnprivileges	başarısızlık durumunda false yoksa bir odbc sonuç tanıtıcısı döner
function resource odbc columnprivileges resource $bağlantı_kimliği string $niteleyici string $sahibi string $tablo_ismi string $sütun_ismi	belirtilen tablo ile ilgili izinleri ve s&uuml;tunları listeler
function odbc columns $sütun_ismi	sütun ismi
function odbc columns $bağlantı_kimliği	odbc bağlantı tanıtıcısı; ayrıntılar için odbc_connect() işlevine bakınız
function odbc columns $tablo_ismi	tablo ismi
function odbc columns $niteleyici	niteleyici
function odbc columns $şema	sahibi
function resource odbc columns	başarısızlık durumunda false yoksa bir odbc sonuç tanıtıcısı döner
function resource odbc columns resource $bağlantı_kimliği string $niteleyici string $şema string $tablo_ismi string $sütun_ismi	belirtilen tablolardaki s&uuml;tun isimlerini listeler
function odbc commit $bağlantı_kimliği	odbc bağlantı tanıtıcısı; ayrıntılar için odbc_connect() işlevine bakınız
function bool odbc commit	başarı durumunda true başarısızlık durumunda false döner
function bool odbc commit resource $bağlantı_kimliği	bir odbc hareket listesi g&ouml;nderir
function odbc cursor $sonuç_kimliği	sonuç tanıtıcısı
function string odbc cursor	imleç ismini bir dizge olarak döndürür
function string odbc cursor resource $sonuç_kimliği	imle&ccedil; ismini d&ouml;nd&uuml;r&uuml;r
function odbc data source $alım_türü	şu iki sabitten biri olabilir: sql_fetch_first ve sql_fetch_next
function odbc data source $bağlantı_kimliği	odbc bağlantı tanıtıcısı; ayrıntılar için odbc_connect() işlevine bakınız
function array odbc data source	bir hata oluşmuşsa false yoksa bir dizi döner
function array odbc data source resource $bağlantı_kimliği int $alım_türü	belirtilen bağlantı hakkında bilgi d&ouml;nd&uuml;r&uuml;r
function odbc exec $seçenekler	şimdilik kullanılmamaktadır
function odbc exec $bağlantı_kimliği	odbc bağlantı tanıtıcısı; ayrıntılar için odbc_connect() işlevine bakınız
function odbc exec $sorgu_dizgesi	sql deyimi
function resource odbc exec	sql deyimi çalıştırılabilmişse bir odbc sonuç tanıtıcısı yoksa false döner
function resource odbc exec resource $bağlantı_kimliği string $sorgu_dizgesi int $seçenekler	bir sql deyimini hazırlar veya &ccedil;alıştırır
function odbc execute $sonuç_kimliği	odbc_prepare() işlevinden dönen bir sonuç tanıtıcısı
function odbc execute $değiştirgeler	değiştirgeler dizisindeki değiştirgelerin hazırlanmış deyimler için birer yer tutucu olduğu varsayılır
function bool odbc execute	başarı durumunda true başarısızlık durumunda false döner
function bool odbc execute resource $sonuç_kimliği array $değiştirgeler	bir hazır deyimi &ccedil;alıştırır
function odbc fetch object $sonuç_kimliği	odbc_exec() ile döndürülmüş bir sonuç tanıtıcısı
function odbc fetch object $satırnum	döndürülecek satırın numarası; belirtilmesi isteğe bağlıdır
function object odbc fetch object	istenen satırı içeren bir nesne döner
function object odbc fetch object resource $sonuç_kimliği int $satırnum	sonu&ccedil; satırını bir nesne olarak d&ouml;nd&uuml;r&uuml;r
function odbc fetch row $satırnum	satırnum belirtilmişse işlev sonuç kümesindeki sonraki satırı döndürmeye çalışır
function odbc fetch row $sonuç_kimliği	odbc_exec() ile döndürülmüş bir sonuç tanıtıcısı
function bool odbc fetch row	bir satır varsa true aksi takdirde false döner
function bool odbc fetch row resource $sonuç_kimliği int $satırnum	bir satır d&ouml;nd&uuml;r&uuml;r
function odbc gettypeinfo $bağlantı_kimliği	odbc bağlantı tanıtıcısı; ayrıntılar için odbc_connect() işlevine bakınız
function odbc gettypeinfo $veri_türü	bilgi döndürülecek veri türü
function resource odbc gettypeinfo	hata durumunda false yoksa istenen bilgiyi içeren bir odbc sonuç tanıtıcısı döner
function resource odbc gettypeinfo resource $bağlantı_kimliği int $veri_türü	veri kaynağınca desteklenen veri t&uuml;rleri hakkında bilgi d&ouml;nd&uuml;r&uuml;r
function odbc longreadlen $sonuç_kimliği	odbc_exec() ile döndürülmüş bir sonuç tanıtıcısı
function odbc longreadlen $uzunluk	phpye döndürülecek bayt sayısı
function bool odbc longreadlen	başarı durumunda true başarısızlık durumunda false döner
function bool odbc longreadlen resource $sonuç_kimliği int $uzunluk	long s&uuml;tunlarla &ccedil;alışmayı etkin kılar
function odbc num rows $sonuç_kimliği	odbc_exec() ile döndürülmüş bir sonuç tanıtıcısı
function int odbc num rows	belirtilen odbc sonucundakı satırların sayısını döndürür
function int odbc num rows resource $sonuç_kimliği	bir sonu&ccedil;taki satır sayısını d&ouml;nd&uuml;r&uuml;r
function odbc prepare $bağlantı_kimliği	odbc bağlantı tanıtıcısı; ayrıntılar için odbc_connect() işlevine bakınız
function odbc prepare $sorgu_dizgesi	hazırlanan deyimi içeren sorgu dizgesi
function resource odbc prepare	hata durumunda false yoksa sql komutu hazırlanabilmişse istenen bilgiyi içeren bir odbc sonuç tanıtıcısı döner
