precondition	operation execute system rejected state
dnnclassifier	models tensorflow dnn classifier
repeat	input times repeats n
csvparser	parses csv lines transform file
vocabulary	documents word vocabulary categorical categorical_column_with_vocabulary_list variables ids sparse_column_with_vocabulary_file maps see sequences class categorical_column_with_vocabulary_file
update	weights python section explicit update shrink tag sessionrunhook sdca model rewrites guide
bundle	test case variables graph
cpp	tests spacetobatch ops batchtospace pairs input-output
generated	defined object python indicates generated file class
grucell	org/abs/1406 http 1078) recurrent cell (cf gated //arxiv unit
pooling1d	layers inputs different temporal max abstract global layer pooling 1d arbitrary average operation data class functions
registry	completion functions saving cli helper handlers track registered py provides objects command registry tab keep class responses
grid2basic	basicrnn cell basiclstm 2d receives output input first creates gives
variable	named abstracting captures variables get_variable number high device see specified carry container to} provide chooser wrapper handles overview scope variable's norm @{$variables$variables optimizer object update collection objects variable based optimizers resource partitioned level resourcevariables clips carries dense values store defaults interface processor
decorated	test decorated class
rnnno	simple models cudnnrnn without input_c
matrix	tests matrix linearoperatorfullmatrix wraps [batch] base done linearoperator linearoperatorderivedclasstest resulting additions "handles class
clidebugger	testing subclasses class wrapper
svm	binary head _targetcolumn classification support machine vector svms using model svm
remote	callback used events stream server
algorithm	clustering mixture gaussian tensorflow model class
values	global container contains results session values flags run() accessor
interval	represents interval end value start
mask	based provide series mask boolean apply hash
tbplugin	extend plugin every tensorboard interface class must
eos	tests used search eos beam masking
weights	update shrink weights sdca model sessionrunhook
adam	implements optimizer algorithm variant handles adam sparse efficiently updates
time	cell time-reverse slice network adaptor temporal recurrent allows layer long time-frequency fusedrnncell every wrapper memory apply lstm input unit short-term
directory	load paths wraps disk gone iterator capable directorywatcher sequence loader directory load() *permanently* images reading thrown
reroute	enums reroute's mode
validation	runs given n estimator every steps evaluation
scroll	scrollbar cli vertical curses-based
once	step hook exception raises n
