data_log_element	element to be parsed
plot_gaps	whether to plot filled rectangles at data gaps red
width	dtype to write 1 for '<u1', 2 for '<i2' or 4 for '<i4'
verbose	print error log if true
filename	reftek130 file to be read
filename	name of the ascii tspair file to be checked
packet_handler	custom packet handler funtion to override
factor	scale factor default is 1.0
thres1	value above which trigger of characteristic function
field_length	length of the wanted field in bytes
format	output format. one of "mseed", "gse2",
stationxml_storage	where to store the stationxml files. see
sac ioerror	raised if the given sac file can't be read
obj	the obspy event-type object to write
endtime	limit to metadata epochs ending on or before the
response list element	describes the amplitude and phase response value for a discrete frequency value
preset_len	no of points taken for the estimation of variance of
filename	name of numpy .npz file s with stored ppsd data
data	sac data array optional. if omitted or none it is assumed
blockette058	blockette 058 channel sensitivity/gain blockette
df	sampling rate in hz
description	description of the equipment
hs	sac string header array
depth range	convenience class for storing a depth range it has a top and a bottom and
points	3d vector array with shape [3 npts] x y z or [2 npts]
dt	time step between two samples in st in seconds
net	network code
network	network code of requested data (e.g. "iu")
print_all	if true all events will be printed otherwise a
slm_y	slowness y max
t_samp	time resolution inverse frequency resolution
tupevent	min nr of samples for itrm to be accepted as a pick
maxmagnitude	limit to events with a magnitude smaller than the
time_down	flip the plot horizontally time goes down
filename	the filename to delete
custom redirect handler	custom redirection handler to also do it for post requests which the standard library does not do by default
arrival	convenience class for storing parameters associated with a phase arrival
units	specify either displacement, velocity or
group	group name
blockette	general blockette handling
is_p_wave	whether to split based on p (true) or s
contacts	one or more contact persons
water_level	water level for deconvolution
description	a longer description of the location of this
is_p_wave	whether to search the p (true) or s (false)
endtime	end time of requested time window
time	only plot stations available at given point in time
title_size	size of the title in points or fontsize
ylim	limits in misfit for tem/tpm/fem/fpm
mt	focal mechanism nm x 6 (mxx myy mzz mxy mxz myz - the
ts2	same as ts1 but for the x2 component of motion
ignore_links	override for value of option ignore_links set
operator	an operating agency and associated contact persons. if
pathname_or_url	string containing a file name or a url or a open
continent_fill_color	color of the continents. defaults to
args	main method arguments
route	enables arclink routing. default is true
first_line	first line of header
overlap_frac	fraction of overlap defaults to fifty percent 0.5
tau ppath	calculate the ray paths for each phase using tauppierce and tauptime
value	a date time string
show	if true show the plot interactively after plotting. this
iztype	one of the following strings
smart polar text	automatically align text on polar plots to be away from axes
endtime	specify the end time
seqnum	seedlink sequence number of last packet received
w_2	width of the tfem tfpm signal etc. axes
rectangular domain	a rectangular domain defined by latitude and longitude bounds
no_win	number of data windows
sampletype	type of sample on of "a", "i", "f", "d"
scale_fac	gain factor
client	a earthworm wave server client
starttime	only regard stations active at or after given point
starttime	start of time span
data	the data to write
headonly	if set to true read only the header and omit the waveform
data	sac data array. if omitted or none it is assumed that the
stream	stream object the trace.stats dict like class must
top_depth	the depth in km for the top of the layer
stream	list like object of multiple obspy trace objects
time	time around which is checked for a similarity. cross
mseed_file_desc	a file descriptor to the current miniseed file
units	output unit. defaults to 'def'
geology	type of rock and/or geologic formation
download_chunk_size_in_mb	miniseed data will be downloaded
paz	paz of the instrument [m/s] or list of the same
calibration_units	name of units e.g. "m/s", "m", ..
output	output options. defaults to 'plot'
callback	custom user defined callback function that can be used
offset	offset default is 0.0
metadata_timecheck	for get_paz and get_coordinates
sphinx	internal flag used for api doc generation default false
filename	name of the ascii slist file to be checked
depth	the depth at which attempt a split in km
includerestricted	specify if results should include information
segytrace on the fly data unpacking error	raised if attempting to unpack trace data but no unpack_data() function exists
vred	perform velocity reduction in m/s
waveform stream id	reference to a stream description in an inventory
grid_color	color of the grid
str_or_fct	the string or function to be evaluated
headonly	if headonly is true only read the header arrays not the
distance	distance object
segytrace reading error	raised if there is not enough data left in the file to unpack the data according to the values read from the header
nlat	number of latitudinal grid points (default = 100)
segyfile	class that internally handles seg y files
trace	trace object to be removed from stream
location	location code of requested data (e.g. "")
binary	whether to write the data as binary or text. defaults to
module	name of the software module that generated this
msstruct	class for handling msrecord and msfileparam
noise_thres	variance of the noise sphere data points are excluded
offset	used
event	event of the origin
coefficient with uncertainties	a coefficient with optional uncertainties
decimation_factor	integer decimation factor
client download helper	:type client :class obspy fdsn client client
decimation_input_sample_rate	the sampling rate before the
color	color of the graph as a matplotlib color string as
xml_string	controls whether to remove 'creationtime' tags or not
sfile	path to the sfile
resource_id2	this field contains a string that should serve as
byteorder	desired byte order of initialized arrays
storage_format	the storage format of the recorded data (e.g
sourcelongitude	specify the source longitude
bulk	specify the receivers to download in bulk
approximation_upper_bound	upper bound of approximation
freq	frequency in hz
client	neic cwb queryserver request client for waveform data
evdepth	the depth of the event in kilometers. default is 0
t_after	time to end cross correlation window after pick times in
debug	passed on to the :class baseclient constructor
azimuth_3	the azimuth of component 3
depth	the depth to search for in km
timezone	defines the name of the user defined time scale. will
sac error	raised if the sac file is corrupt or if necessary information in the sac file is missing
sll_x	slowness x min lower
fileborder_samples	similar to fileborder_seconds. the given
bot_depth	bottom depth to search in km
end_stage	stage sequence number of last stage that will be
sampling_rate	manually specify sampling rate of time series
sequence_number	must be an integer ranging between 1 and 999999
nc	number of cepstral coefficients
file_or_file_object	miniseed file name or open file-like object
arg_kwarg_name	name of the arg/kwarg that should be tried to map
output_initial_value	initialization value for the output
name	a name given to the filter stage
velocity	the velocity to convert in km/s
network	specify a network code combined with station to
coefficients type response stage	this response type can describe coefficients for fir filters laplace
wlev	the water level
userid	4-character seisan user id
time	date and time
water_fill_color	color of all water bodies
receiverlongitude	specify the receiver longitude in degrees
maxdepth	limit to events with depth less than the specified
plot_all	by default all rays even those travelling in the
route	enables arclink routing (default is false)
lat2	latitude of point 2 in degrees
format	output format. currently only dataless seed ('seed')
debug_strings	by default non-ascii and null-termination
mindepth	limit to events with depth more than the specified
ts1	array of x1-component seismograms dimension nt x na
catalog	a catalog of obspy events
filename_or_buf	filename or file-like object to write to
sendbytes	bytes to send
level	specify level of detail using 'network', 'station' or
instrument_polynomial	the total sensitivity for the given
inventory	inventory data to add as a new layer
step	the step between the start times of two successive
filename	name of file to be checked
etime	end time of interest
longitude	the longitude of the station
filename	filename to write or open file-like object
data_source	ogr data source the layer is added to
fc	corner frequency
label	whether to label stations with "network.station" or not
duration	the duration in seconds to get
size	marker size (see :func matplotlib.pyplot.scatter)
show_noise_models	enable/disable plotting of noise models
endbefore	limit to metadata epochs ending before specified
headonly	if true read only head of gcf file
cmb_depth	depth km of the cmb core mantle boundary . it can
margin_in_seconds	allowance in seconds that has to be exceeded by
password	a password used for authentication with the web
vs	s wave speed in the soil under the array note - vp and vs may be
azimuth	azimuth object
moho_depth	depth km of the moho. it can be input from
debug	enables verbose output
linewidth	float value in points of the line width
site	these fields describe the location of the station using
tick_format	the way the time axis is formatted
restrictions	class storing non-domain restrictions for a query this is best explained
value	year
receiver_latitude_in_deg	receiver location latitude in degrees
record analyser	analyses a mini-seed file on a per record basis
a	maximum value of goodness-of-fit for perfect agreement
frequency_range_start	start of the frequency range for which
etime	end time
data_type	desired array data-type
magnitudetype	specify a magnitude type to use for testing the
tau py model	representation of a seismic model and methods for ray paths through it
filename	file or object being written to. if none a string
mopad_basis	the basis system. defaults to 'use'. see the
filename	name of the q file to be checked
percentile	percentile for which to return approximate psd
percentiles	percentiles to show if plotting of percentiles is
seg2invalid file error	will be raised if something is not correct with the seg-2 file
headonly	if true read only header of gse1 file
l	length of windows to be averaged defaults to 0
array_coords	array of dimension na x 3 where na is the number of
top_velocity	the velocity (in km/s) at the top of the layer
quantity error	uncertainty information for a physical quantity
offset	the offset of the first window in seconds relative to
params	additional url parameters
focal mechanism	this class describes the focal mechanism of an event it includes different
r	the response object resulting in the error
timespans	whether to add timespan information to the single station
win_frac	fraction of sliding window to use for step
gseuti error	exception type for other errors in gse_uti
model_name	name of the velocity model
time_of_weekday	if set restricts the data that is included
lons	longitudes of the data points
win_len	sliding window length in seconds
p	the slowness value to add in s/km
show	do not call plt.show() at end of routine. that way
damping	corner frequency
back_azimuth	depends on the chosen method
check	check that the calculated results are not invalid. this
model	name of 1-d earth velocity model to be used. available
tau model	provides storage of all the taubranches comprising a model
win	window length in seconds for the kurtosis default is 3.0 s
amplitude	peak to peak amplitude [counts] or list of the same
axes	list/tuple of two axes instances on which to plot the
index	index of the trace object to be returned and removed
blockette parser exception	general blockette parser exception
filename	zmap string name of the file to be checked or open
data_quality_flags	extract data quality flag counts
is_p_wave	whether to check the p wave (true) or the s wave
st1	stream 1 containing one trace for z n e component (other
response_stages	a list of the response stages. covers seed
grdpts_x	number of grid points in y direction
logs	include log messages (default is true)
endtime	the end time of the whole time interval
century	win stores year as 2 numbers need century to
headonly	determines whether or not the actual data records
filename	the name of the file to write
stream	stream or trace with data that should be added to the
n2	ending index defaults to 0
domain	the download domain
dt	obspy.util.utcdatetime object
record_number	number of the record to be read. the first record
method	the method to use. one of "pm", "flinn" or
m_p	number of ar coefficients for the p arrival
keepalive	the interval to send keepalive/heartbeat in seconds
rate	stage sample rate
location	location code e.g. '--'
grdpts_x	number of grid points in x direction
dpi	dots per inch of the output file. this also affects the
region	the state province or region of this site
data	channel list as returned by availability web service
ax	axes to plot to. if not given a new figure with an axes
data	data to make spectrum of
evt eoferror	raised if an unexpected eof is encountered
evtype	event type letter code e.g. l r d
flags	the flags to update in the miniseed file
flow	lower frequency limit for analysis
z	data of the z component of the seismogram
stage_number	response stage number
paz_file	path to pazfile or file pointer
c	e signal of the data
h_3	height of the tfem and tfpm axes
blockette033	blockette 033 generic abbreviation blockette
legend	location string for legend if networks are plotted in
length	if skip is used length defines the number of values
metadata	fetch paz and coordinate information and append to
output_units	string
filename	path to write to
object	single trace object or list of trace objects
level	specify level of detail using one of 'network',
filename	gse2 file to be read
datetime	timestamp of requested paz values
outages	include list of outages (default is true)
data	array to interpolate
k	sensitivity of goodness-of-fit to the misfit
facecolor	color to use for quadrants of tension can be a string
time	only regard networks/stations/channels active at given
station	station code e.g. 'manz'
datetime	time for which the paz is requested
name	name of the library to load (e.g. 'mseed')
qc_metrics	the quality metrics to be validated
network	only plot matching networks. accepts unix style
frqlow	lower frequency for pm
ratio	as ratio gets smaller carl_sta_trig gets more sensitive
filename	name of the ascii file to write
scale	scale the traces width with this factor
m_s	number of ar coefficients for the s arrival
endian	endian type in datafile
fmax	maximal frequency to be analyzed
data	data to make normalized envelope of
planet_flattening	flattening parameter for the planet's
offset_min	minimum offset in meters to plot
keep_sac_header	if keep_sac_header is true old stats.sac
thr2	threshold for updating sigma c.f. paper
filter	filter list. list order matters because each filter
plot	if true, a plot window illustrating the alignment of the two
tovel	change a displacement transfer function to a velocity
path_or_file_object	file name or file like object
reset_fp	if true the file pointer will be set to the initial
f	file pointer of opened file in binary format
filename	name of numpy .npz file with stored ppsd data
st1	stream or trace object known
event description	free-form string with additional event description this can be a
buf	object to write to
blockette011	blockette 011 volume station header index blockette
creation info	creationinfo is used to describe creation metadata author version and creation time of a resource
debug_headers	extracts also the sac headers 'nzyear', 'nzjday',
endian	string that determines the endianness of the file. either
person	from the stationxml definition representation of a person's contact information
dt	python datetime object
min_latitude	minimum latitude
layer	the layer number
sample rate	samplerate object
orientation	axis of the north-pole of the sphere
end_date	the end date of the resource
transparent	make all backgrounds transparent (true/false). this
decimation_correction	the time shift applied to correct for the
plot_args	list of plot arguments passed to the signal and spectrum
data	data to make envelope of
modified_after	returns only data modified after given date
stream	a stream object
buf	file to check
format	format of the file to read (e.g. "quakeml"). see the
plot_x	whether to plot "x" markers at start of all parsed
poles	the poles of the transfer function
filename_or_object	evt file to be read
version	gse version either 1 or 2 defaults to 2
format	the file format to use (e.g. "quakeml"). see the
force_redirect	by default the client will follow all http
st	signal type numpy.ndarray with shape (number of components
client_name	the name of the client instance used for logging
msg	reason for unconditionally skipping the tests
source	full path or file-like object from a sac ascii file on disk
station	station code e.g. 'tuca'
compact	delivers a compact seed date string if enabled. default
data	input data
channel	select one or more seed channel codes. multiple codes
reclen	if reclen is 0 the length of the first record is auto-
date_string	date and time string
f	file open in read-mode
endtime	only include networks/stations/channels active before
inventory_root	base inventory element of document
verbosity	run tests in verbose mode (0=quiet 1=normal
segytrace header	convenience class that handles reading and writing of the trace headers
file_p	file pointer
paz_remove	dictionary containing keys 'poles', 'zeros',
minlongitude	limit to events with a longitude larger than the
cc_maxlag	maximum lag/shift time tested during cross correlation in
waveform file	db table containing waveform files
filename	filename to write to. according to esri shapefile
evt bad header error	raised if an error occured while parsing an evt header
filename	zmap string name of zmap file to be read or open
bot_critical_layer	bottom layer number to search
tag	name of tag to be read
equipments	equipment used by all channels at a station
event_point_separator	true if events are separated by
b	n signal of the data
headers	header information for request
headonly	if set to true read only the head. this is most useful
inclination	inclination of the ray at the station in degrees
stage	response stage element
domain	abstract base class defining a domain - subclass it to define a new domain
permanent	requesting only permanent or temporary networks
units	units to return response in. can be either dis vel or acc
file_p	file descriptor of evt file
end_time_string	start time in in seedlink string format
time window	describes a time window for amplitude measurements given by a central point in time and points in time before and after this central point
retries	number of retries for failing requests
includearrivals	specify if phase arrivals should be included
period_lim	period limits to show in histogram. when setting
order	the order/degree of the smoothing spline to fit
distance_in_degree	epicentral distance in degrees
mode	'absolute' for absolute value of tfr 'power' for |tfr|^2
level	specify the level of detail for the results ("network",
path_or_object	file name or file like object. can also be an etree
filename	name of the audio wav file to be checked
starttime	limit to metadata epochs starting on or after the
trace	the obspy trace object to write
h_1	height of the signal axes
sampling_rate	the sampling rate of the resampled signal
input_units	string
