$upperrighty	upperrighty
mysql_fetch_field	mysql fetch field
$field_index	field_index
$tx	float
$username	string
pdf_delete_pvf	pdf_delete_pvf
ingres_errno	ingres errno
$armor	$armor
pdf_initgraphics	pdf initgraphics
mysql_data_seek	mysql data seek
$what	$what
fdf_set_opt	fdf set opt
arg	arg
$value	$value
default	default
define	define
fbsql_set_lob_mode	fbsql set lob mode
$textflow	textflow
password_needs_rehash	password needs rehash
$link	string
ingres_next_error	ingres_next_error
getmessage	getmessage
msg_set_queue	msg set queue
imap_headerinfo	imap_headerinfo
$table_name	table_name
$connection	resource
$zend_extensions	$zend_extensions
ob_implicit_flush	ob implicit flush
$doc	long
imap_clearflag_full	imap clearflag full
$glyphname	string
mysql_field_table	mysql_field_table
is_finite	is_finite
$bson	$bson
error_get_last	error_get_last
$binary_string	string
$number	number
ingres_connect	ingres connect
setfont	setfont
type	type
$group	mixed
$wx	$wx
pdf_place_image	pdf_place_image
pdf_add_locallink	pdf add locallink
fbsql_database	fbsql_database
$ftp_stream	resource
jdtounix	jdtounix
$white	$white
$which	$which
dbname	dbname
pdf_setgray	pdf_setgray
write	write
fbsql_result	fbsql result
pdf_continue_text	pdf continue text
$plaintext	string
$cipher	int
get	get
filepro_fieldcount	filepro_fieldcount
gettraceasstring	gettraceasstring
$additional_parameters	$additional_parameters
openssl_public_encrypt	openssl_public_encrypt
mysql_thread_id	mysql thread id
mssql_free_result	mssql_free_result
ctype_digit	ctype digit
$zp	resource
check	check
curl_setopt	curl setopt
$pub_key_ids	$pub_key_ids
aborted	aborted
$dest_width	dest_width
mysql_fetch_array	mysql_fetch_array
tablename	tablename
xdigit	xdigit
$whichflags	whichflags
$ip_address	$ip_address
mysql_fetch_assoc	mysql_fetch_assoc
fribidi_log2vis	fribidi log2vis
read	read
ftp_close	ftp_close
$age	age
pdf_close_image	pdf_close_image
$outfilename	string
fbsql_num_rows	fbsql_num_rows
openssl_verify	openssl_verify
writable	writable
$d	float
setenv	setenv
msql_pconnect	msql_pconnect
pg_affected_rows	pg_affected_rows
extension_loaded	extension loaded
body	body
$row	$row
imap_8bit	imap 8bit
fbsql_select_db	fbsql_select_db
imap_append	imap append
opt	opt
pdf_create_fieldgroup	pdf create fieldgroup
pdf_end_document	pdf end document
$day	day
$decrypted	decrypted
$is_dst	int
array_slice	array slice
fdf_open	fdf_open
ldap_bind	ldap_bind
$table_name	string
$time	string
bindec	bindec
$c2	float
site	site
pdf_stringwidth	pdf stringwidth
message	message
ctype_punct	ctype punct
$ip_address	string
date_default_timezone_set	date_default_timezone_set
$method	string
$chunklen	chunklen
$pattern	pattern
fbsql_query	fbsql_query
$painttype	painttype
$jpegname	jpegname
$servername	string
$green	$green
$batch_size	batch_size
$result	$result
busy	busy
dio_write	dio write
javascript	javascript
openssl_pkey_export	openssl pkey export
$reserved	reserved
pdf_moveto	pdf moveto
ftp_exec	ftp exec
imap_thread	imap_thread
pdf_utf8_to_utf16	pdf utf8 to utf16
setacl	setacl
gnupg_setarmor	gnupg setarmor
ftp_delete	ftp delete
array_uintersect	array_uintersect
pdf_set_border_style	pdf set border style
ingres_result_seek	ingres_result_seek
double	double
msg_remove_queue	msg_remove_queue
mysql_unbuffered_query	mysql unbuffered query
pdf_create_textflow	pdf_create_textflow
pg_connection_reset	pg connection reset
$recipcerts	recipcerts
apache_get_modules	apache_get_modules
$flags	$flags
fbsql_database	fbsql database
bbcode_add_element	bbcode add element
pdf_setgray_stroke	pdf_setgray_stroke
$additional_headers	additional_headers
$errornum	errornum
$offset	offset
is_soap_fault	is_soap_fault
curl_copy_handle	curl copy handle
$bind_rdn	bind_rdn
jdtojulian	jdtojulian
$llx	$llx
ingres_field_precision	ingres_field_precision
dbase_add_record	dbase_add_record
getseverity	getseverity
$tx	$tx
imap_reopen	imap_reopen
ingres_field_scale	ingres field scale
ftp_mdtm	ftp mdtm
gregoriantojd	gregoriantojd
methods	methods
pg_fetch_all_columns	pg fetch all columns
ingres_charset	ingres charset
pdf_concat	pdf_concat
$depth	int
msql_num_fields	msql num fields
lcg_value	lcg value
boolean	boolean
call_user_func	call_user_func
dbase_get_record	dbase get record
$query_identifier	resource
$clear_realpath_cache	$clear_realpath_cache
imap_fetchbody	imap fetchbody
apache_request_headers	apache request headers
is_callable	is callable
nan	nan
$calendar	calendar
$operand	string
$len	len
apache_get_version	apache_get_version
fread	fread
eregi_replace	eregi_replace
circle	circle
$output_callback	$output_callback
$table	$table
$color	color
rand	rand
$tag_name	tag_name
$escape	escape
imap_ping	imap ping
$mailbox	$mailbox
$source_string	string
gzwrite	gzwrite
$upperrighty	$upperrighty
pdf_activate_item	pdf_activate_item
pdf_setlinewidth	pdf_setlinewidth
pg_fetch_row	pg_fetch_row
$parameter	$parameter
ingres_rollback	ingres_rollback
exif_read_data	exif read data
pvf	pvf
ctype_alpha	ctype_alpha
mssql_bind	mssql_bind
eval	eval
filepro_rowcount	filepro rowcount
openssl_pkcs12_export_to_file	openssl_pkcs12_export_to_file
dngettext	dngettext
readable	readable
msql_fetch_object	msql_fetch_object
$headers	headers
ftp_get_option	ftp_get_option
is_int	is int
$notext	$notext
$green	float
exception	exception
dio_open	dio open
db\bson\to	db\bson\to
$oldname	$oldname
$start_index	$start_index
getservbyport	getservbyport
curl_multi_info_read	curl multi info read
$newname	string
extract	extract
ftp_close	ftp close
errorexception	errorexception
$handler	string
$serial	int
ingres_close	ingres_close
ftp_mkdir	ftp_mkdir
item	item
explode	explode
$from	from
ibase	ibase
$mxhosts	$mxhosts
filepro_fieldwidth	filepro_fieldwidth
ingres	ingres
$types	$types
$opt	opt
$database_name	database_name
dbase_create	dbase create
mysql_num_rows	mysql num rows
$replace	$replace
pdf_end_pattern	pdf_end_pattern
$definition	mixed
$iv	string
$trigger	$trigger
file_put_contents	file put contents
pg_field_size	pg_field_size
$raw	$raw
lstat	lstat
$linecap	$linecap
$finfo	$finfo
$skip_results	skip_results
$error_code	int
mssql_num_rows	mssql_num_rows
openssl_private_encrypt	openssl private encrypt
maxdb	maxdb
setdash	setdash
jdmonthname	jdmonthname
fdf_get_file	fdf get file
char	char
handlers	handlers
query	query
$url	url
$algo	$algo
cfg	cfg
pdf_setmiterlimit	pdf_setmiterlimit
$width	$width
date_default_timezone_set	date default timezone set
$file	$file
$arrays	bool
build	build
$status	$status
$time	$time
$lowerleftx	float
pdf_set_parameter	pdf set parameter
pdf_get_errmsg	pdf_get_errmsg
setmiterlimit	setmiterlimit
meta	meta
dba_delete	dba_delete
$priv_key	priv_key
$connect_type	int
action	action
$rpath	string
imap_fetchheader	imap_fetchheader
$depth	depth
openssl_sign	openssl sign
subclass	subclass
$key_compare_func	$key_compare_func
class	class
curl_escape	curl escape
$which	which
$status	string
mssql_next_result	mssql_next_result
export	export
$value_compare_func	value_compare_func
cancel	cancel
pdf_encoding_set_char	pdf_encoding_set_char
$pos	$pos
mysql_fetch_array	mysql fetch array
is_file	is_file
pdf_circle	pdf_circle
pdf_close_pdi_page	pdf_close_pdi_page
$weight	$weight
more	more
pdf_findfont	pdf_findfont
$mime_encoded_text	string
$statement	resource
$outfilename	outfilename
addcslashes	addcslashes
$xstep	$xstep
pdf_makespotcolor	pdf makespotcolor
$category	category
ctype	ctype
mysql_select_db	mysql select db
$x1	float
fbsql_commit	fbsql_commit
$uid	int
reopen	reopen
flock	flock
$msgs_in_queue	msgs_in_queue
pdf_close	pdf close
dbx_escape_string	dbx escape string
bzerrno	bzerrno
all	all
pdf_stroke	pdf stroke
func_get_arg	func get arg
ibase_fetch_row	ibase fetch row
$modifier	modifier
$format	int
$subjectlength	subjectlength
mysql_escape_string	mysql_escape_string
closedict	closedict
ngettext	ngettext
$defaulthost	defaulthost
end	end
mime	mime
pdf_place_pdi_page	pdf place pdi page
$args	mixed
$crypted	crypted
bccomp	bccomp
$finfo	finfo
stringwidth	stringwidth
$source	string
is_dir	is dir
$hex_string	hex_string
$offset	int
array_unshift	array_unshift
atanh	atanh
$criteria	$criteria
fbsql_drop_db	fbsql_drop_db
$arg_num	$arg_num
array_udiff	array udiff
$lowerleftx	$lowerleftx
$address	address
msg_stat_queue	msg stat queue
array_diff_key	array diff key
exif_imagetype	exif imagetype
$msglist	string
pdf_set_gstate	pdf_set_gstate
msql_close	msql close
$proper_address	proper_address
$node	$node
$what	what
$painttype	int
pdf_place_pdi_page	pdf_place_pdi_page
com	com
mssql_field_type	mssql field type
$page	int
curl_multi_getcontent	curl multi getcontent
dbase_numrecords	dbase numrecords
$extra_headers	string
pdf_set_info	pdf set info
address	address
rowcount	rowcount
$file	file
msgno	msgno
mysql_field_len	mysql field len
localtime	localtime
$num	$num
odbc_fetch_into	odbc fetch into
array_diff	array diff
$quality	$quality
fdf	fdf
imap_reopen	imap reopen
gmmktime	gmmktime
$width	width
$privkey	resource
uudecode	uudecode
array_product	array product
$charlist	string
apache_lookup_uri	apache lookup uri
$signmode	signmode
$url	string
imap_fetch_overview	imap_fetch_overview
$autoload	bool
lcg_value	lcg_value
file	file
ftp_raw	ftp raw
$value	value
ftp_alloc	ftp_alloc
pdf_utf16_to_utf8	pdf utf16 to utf8
nextkey	nextkey
apache	apache
$open_data	open_data
openssl_csr_new	openssl csr new
$c3	c3
func_num_args	func num args
fbsql_pconnect	fbsql pconnect
pdf_translate	pdf_translate
ldap_bind	ldap bind
syslog	syslog
$handle	handle
imap_close	imap close
ibase_num_fields	ibase num fields
dba_close	dba close
metaphone	metaphone
$wbmpname	wbmpname
listscan	listscan
pg_free_result	pg free result
mysql_get_client_info	mysql_get_client_info
fclose	fclose
$result_identifier	result_identifier
mysql_pconnect	mysql_pconnect
$n_retries	int
ftp_fget	ftp fget
imap_status	imap_status
$array_or_countable	$array_or_countable
$destination	destination
fgetss	fgetss
split	split
ftp_login	ftp_login
pdf_end_pattern	pdf end pattern
openssl_x509_read	openssl_x509_read
curveto	curveto
$recipcerts	$recipcerts
$sx	float
$mode	$mode
$to	$to
$bz	resource
ip2long	ip2long
$shading	shading
imap_getacl	imap_getacl
$ident	$ident
pdf_curveto	pdf curveto
crc32	crc32
$user_agent	string
bbcode_create	bbcode create
bind	bind
$startpos	int
msql_num_rows	msql_num_rows
imap_expunge	imap expunge
ftp_exec	ftp_exec
$subjectlength	int
array_intersect	array_intersect
mt_srand	mt srand
max	max
file_exists	file exists
$pattern	$pattern
fdf_save	fdf_save
$length	$length
imap_utf7_encode	imap utf7 encode
$directory	string
restore	restore
$max_item_length	max_item_length
$sort_flags	sort_flags
slice	slice
$hex_string	$hex_string
dio_truncate	dio truncate
$field_offset	$field_offset
$module	module
array_combine	array_combine
$sx	$sx
$local_file	local_file
$oid_only	$oid_only
array	array
$persistent	int
fieldtype	fieldtype
imagetype	imagetype
$field_offset	int
row	row
in_array	in array
ingres_autocommit_state	ingres autocommit state
$output	$output
pdf_setrgbcolor	pdf_setrgbcolor
imap_list	imap_list
openssl_pkcs7_verify	openssl_pkcs7_verify
$directory	directory
ftruncate	ftruncate
$use_include_path	$use_include_path
cal	cal
dba_exists	dba exists
ingres_unbuffered_query	ingres unbuffered query
return	return
mysql_field_seek	mysql field seek
pdf_set_border_color	pdf_set_border_color
pdf_encoding_set_char	pdf encoding set char
mssql_fetch_object	mssql_fetch_object
$character_mask	character_mask
$get_scripts	$get_scripts
number_format	number format
get_included_files	get_included_files
$replace_by	replace_by
glyph	glyph
fdf_set_value	fdf set value
$charset	string
pkey	pkey
$haystack	haystack
mssql_fetch_array	mssql_fetch_array
mysql_get_client_info	mysql get client info
openssl_pkey_export	openssl_pkey_export
$command	string
$signature	string
curl_exec	curl_exec
$wbmpname	string
$enc_type	int
$stringparam	stringparam
cal_info	cal info
filter_var_array	filter_var_array
$object	$object
$direction	direction
gnupg_decrypt	gnupg decrypt
$remote_file	remote_file
pdf_closepath_fill_stroke	pdf closepath fill stroke
length	length
x509	x509
$target_frame	string
imap_base64	imap base64
pdf_set_border_color	pdf set border color
$intparam	$intparam
is_callable	is_callable
mysql_field_seek	mysql_field_seek
basename	basename
curl_multi_add_handle	curl multi add handle
escape	escape
mysql_free_result	mysql_free_result
fetchstructure	fetchstructure
$c4	c4
ftp_put	ftp_put
mssql_fetch_batch	mssql_fetch_batch
array_fill	array_fill
ftp_site	ftp_site
parse_url	parse_url
$null_as	$null_as
gnupg	gnupg
$options	array
opcache_reset	opcache reset
seterrormode	seterrormode
is_file	is file
pdf_set_info	pdf_set_info
username	username
$source	$source
$cy	int
$cainfo	cainfo
$hour	int
dba_nextkey	dba_nextkey
deg2rad	deg2rad
getallheaders	getallheaders
$signed_text	signed_text
$fingerprint	string
gnupg_export	gnupg export
$p	$p
func_num_args	func_num_args
hexdec	hexdec
$padding	$padding
$ordering	$ordering
apache_child_terminate	apache child terminate
$threshold	threshold
gnupg_verify	gnupg_verify
long2ip	long2ip
mysql_num_rows	mysql_num_rows
host	host
$intparam	int
$full_info	full_info
jdtojewish	jdtojewish
$dest_height	$dest_height
$pkcs12	pkcs12
product	product
$bson	string
mysql_get_proto_info	mysql get proto info
$arg_num	int
$sections	$sections
pdf_load_iccprofile	pdf load iccprofile
mysql_field_type	mysql_field_type
status	status
$zp	zp
extension	extension
stream	stream
pdf_open_pdi_page	pdf_open_pdi_page
$args	$args
$proj	string
$is_output	bool
abs	abs
ob_clean	ob_clean
pdf_fit_image	pdf fit image
jdtogregorian	jdtogregorian
pdf_open_pdi_document	pdf_open_pdi_document
$x	float
is_readable	is_readable
$var1	$var1
$protocol	protocol
fdf_set_javascript_action	fdf_set_javascript_action
$optlist	optlist
pg_free_result	pg_free_result
$search_criteria	$search_criteria
seek	seek
$source_string	$source_string
imap_deletemailbox	imap deletemailbox
$host	$host
table	table
$filesize	$filesize
pg_field_table	pg field table
bcscale	bcscale
$null_as	string
fdf_get_status	fdf_get_status
wstopsig	wstopsig
oci_error	oci_error
pdf_stroke	pdf_stroke
case	case
$port	port
version	version
mysql_get_proto_info	mysql_get_proto_info
acos	acos
$left_operand	string
pdf_create_action	pdf_create_action
bool	bool
$hebrew	bool
$options	int
dba_popen	dba popen
$llx	llx
array_intersect_key	array intersect key
$signature_alg	mixed
$shading	int
$column	int
openssl_csr_export	openssl csr export
$thumbnail	$thumbnail
unsubscribe	unsubscribe
fbsql_num_rows	fbsql num rows
$fontname	fontname
mysql_list_tables	mysql_list_tables
bindtextdomain	bindtextdomain
files	files
$result_identifier	object
$service	service
$utf8string	string
dba_handlers	dba_handlers
$keyword	string
$time	time
$fl	$fl
$types	string
$item	$item
pdf_suspend_page	pdf suspend page
$doc	$doc
mssql_fetch_assoc	mssql_fetch_assoc
pg_fetch_all	pg fetch all
imap_bodystruct	imap bodystruct
openssl_pkcs7_encrypt	openssl pkcs7 encrypt
$out	string
mysql_list_fields	mysql_list_fields
curl_errno	curl_errno
curl_multi_strerror	curl_multi_strerror
$reverse	$reverse
$dest_height	int
fieldgroup	fieldgroup
$image	image
$use_include_path	use_include_path
pdf_lineto	pdf lineto
$maxlength	int
pg_execute	pg execute
$password	string
$value1	$value1
imap_errors	imap errors
$number	mixed
batch	batch
fbsql_table_name	fbsql_table_name
dns_get_record	dns_get_record
pdf_setmiterlimit	pdf setmiterlimit
msql_fetch_row	msql fetch row
ingres_query	ingres query
ingres_error	ingres error
variables	variables
$blackls1	blackls1
imap_createmailbox	imap createmailbox
$page_number	int
$k	k
pdf_get_buffer	pdf_get_buffer
gettimeofday	gettimeofday
pdf_get_minorversion	pdf_get_minorversion
$link	resource
$arg_num	arg_num
__halt_compiler	  halt compiler
$jd	$jd
curl_multi_info_read	curl_multi_info_read
$strict	$strict
$tag_rules	tag_rules
mhash	mhash
ldap_modify	ldap modify
$chunk_size	chunk_size
ftp_chmod	ftp_chmod
pdf_get_pdi_value	pdf get pdi value
localeconv	localeconv
$height	height
pg_escape_bytea	pg escape bytea
$slot	int
$bz	$bz
$start	$start
$linecap	int
pcntl_wtermsig	pcntl wtermsig
$script_name	string
filepro_fieldtype	filepro fieldtype
filter_var_array	filter var array
easter_date	easter_date
pg_insert	pg_insert
$blocksize	int
pdf_setdash	pdf setdash
undelete	undelete
$str2	string
pdf_set_parameter	pdf_set_parameter
curl_multi_remove_handle	curl_multi_remove_handle
parse_str	parse_str
imap_getmailboxes	imap getmailboxes
$blackls1	int
$timestamp	$timestamp
$dbase_identifier	dbase_identifier
final	final
get_cfg_var	get cfg var
imap_msgno	imap_msgno
$k	$k
$perms	$perms
file_get_contents	file get contents
$script	$script
array_count_values	array count values
$delimiter	delimiter
$ncolors	ncolors
pdf_setfont	pdf setfont
line	line
minorversion	minorversion
$days	days
dbase_close	dbase close
imap_fetchbody	imap_fetchbody
openssl_error_string	openssl_error_string
$font	font
dechex	dechex
mysql_thread_id	mysql_thread_id
$imap_stream	imap_stream
$output_callback	output_callback
$white	white
msql_field_seek	msql field seek
eventbufferevent	eventbufferevent
$upperrightx	float
mssql_guid_string	mssql_guid_string
dns	dns
getlastmessage	getlastmessage
$lly	$lly
record	record
getprotobyname	getprotobyname
frenchtojd	frenchtojd
array_splice	array_splice
msql_db_query	msql db query
$suffix	suffix
size	size
pkcs12	pkcs12
$style	string
json_encode	json encode
$varname	varname
pdf_get_value	pdf get value
$embed	int
dio_truncate	dio_truncate
filter	filter
$...	array
$befehl	string
dbx_sort	dbx sort
pdf_close_pdi	pdf close pdi
openssl_pkey_get_details	openssl_pkey_get_details
pdf_rect	pdf rect
pdf_setcolor	pdf setcolor
dba_firstkey	dba_firstkey
mssql_field_name	mssql_field_name
imap_headers	imap_headers
$ascii	ascii
jdtofrench	jdtofrench
$red	red
id	id
crack_opendict	crack opendict
$raw	bool
pdf_translate	pdf translate
$name	$name
$new_mbox	$new_mbox
$default_host	default_host
$untrustedfile	$untrustedfile
getdate	getdate
$suffix	string
merge	merge
$onoff	onoff
pg_escape_literal	pg_escape_literal
error_log	error_log
$pagenumber	pagenumber
$key	mixed
$fstype	fstype
$recursive	recursive
value	value
getfile	getfile
$recipkey	recipkey
$year	int
imap_rfc822_parse_adrlist	imap rfc822 parse adrlist
dio_close	dio close
pdf_define_layer	pdf_define_layer
$callable_name	callable_name
get_extension_funcs	get extension funcs
$zend_extensions	bool
array_product	array_product
$ystep	ystep
$n_retries	$n_retries
$profilename	profilename
dio_seek	dio_seek
pdf_load_3ddata	pdf_load_3ddata
$interface_name	interface_name
$out_charset	string
num	num
$extra_headers	$extra_headers
mysql_result	mysql_result
$priv_key_id	$priv_key_id
functions	functions
fbsql_username	fbsql_username
$hebrew_text	hebrew_text
$connect_type	$connect_type
$cx	int
ingres_set_environment	ingres set environment
parameter	parameter
chunk_split	chunk_split
ingres_num_rows	ingres_num_rows
pdf_info_textflow	pdf_info_textflow
$fdf_document	fdf_document
gzuncompress	gzuncompress
mysql_set_charset	mysql set charset
dbase_open	dbase_open
$level	level
$facility	facility
var	var
pdf_begin_layer	pdf_begin_layer
$pdfdoc	pdfdoc
$sealed_data	sealed_data
$short_format	$short_format
$varname	string
$pub_key_ids	array
alerts	alerts
mssql_pconnect	mssql_pconnect
$args	array
$bbcode_initial_tags	bbcode_initial_tags
pg_host	pg host
oci_fetch	oci_fetch
$replacement	$replacement
oci_fetch_assoc	oci fetch assoc
imap_lsub	imap_lsub
$extracerts	$extracerts
pdf_shading_pattern	pdf_shading_pattern
empty	empty
pg_fetch_result	pg_fetch_result
is_string	is_string
imap_setacl	imap_setacl
ingres_field_name	ingres field name
fbsql	fbsql
$keydata	$keydata
call	call
ftp_rawlist	ftp_rawlist
template	template
$operation	operation
mysql_client_encoding	mysql_client_encoding
asinh	asinh
$befehl	$befehl
$y2	$y2
gnupg_sign	gnupg_sign
oci_fetch_array	oci_fetch_array
$spotname	spotname
oci_bind_by_name	oci bind by name
openssl_pkey_export_to_file	openssl_pkey_export_to_file
$msg_number	int
fbsql_pconnect	fbsql_pconnect
mysql_num_fields	mysql num fields
$headers	$headers
parse_ini_file	parse ini file
$fd	resource
func	func
array_udiff_uassoc	array udiff uassoc
$p	p
$values	$values
array_uintersect_uassoc	array_uintersect_uassoc
pdf_fit_image	pdf_fit_image
mktime	mktime
implode	implode
pdf_setlinewidth	pdf setlinewidth
opendict	opendict
decbin	decbin
$bbcode_container	$bbcode_container
iccprofile	iccprofile
crack_getlastmessage	crack_getlastmessage
disk_total_space	disk_total_space
$var_array	$var_array
ap	ap
concat	concat
mhash_count	mhash count
pdf_setflat	pdf_setflat
apache_note	apache_note
$body	string
$jd	jd
fdf_get_version	fdf get version
pdf_setgray	pdf setgray
pdf_closepath	pdf_closepath
options	options
$blue	blue
$to	string
openssl_x509_check_private_key	openssl_x509_check_private_key
imap_last_error	imap_last_error
openssl_private_decrypt	openssl private decrypt
$pri	pri
$handle	resource
$hour	hour
multisort	multisort
cal_to_jd	cal_to_jd
dcgettext	dcgettext
$note_name	note_name
$max_table_length	$max_table_length
$raw_output	bool
funcs	funcs
pdf_suspend_page	pdf_suspend_page
$xstep	float
pdf_end_page_ext	pdf_end_page_ext
textflow	textflow
json_last_error	json last error
openssl	openssl
$ph_name	ph_name
$alpha	$alpha
msql_fetch_object	msql fetch object
pdf_load_font	pdf load font
inclued_get_data	inclued get data
chunk_split	chunk split
openssl_pkey_free	openssl pkey free
$layer	int
$recipcert	recipcert
is_link	is link
gzopen	gzopen
$persistent	persistent
msg_get_queue	msg_get_queue
numfields	numfields
pdf_initgraphics	pdf_initgraphics
shift	shift
$privkey	$privkey
$persistent	$persistent
fbsql_start_db	fbsql start db
pg_connection_status	pg connection status
executable	executable
$id	string
ftp	ftp
mssql_fetch_batch	mssql fetch batch
json	json
pdf_add_launchlink	pdf_add_launchlink
popen	popen
$x509	x509
$additional_headers	string
ingres_commit	ingres_commit
array_fill_keys	array fill keys
$authns	authns
$width	int
mssql_next_result	mssql next result
imap_expunge	imap_expunge
$local_file	string
gnupg_encrypt	gnupg_encrypt
ibase_num_fields	ibase_num_fields
listvar	listvar
$json	$json
mysql_fetch_object	mysql_fetch_object
graph	graph
ftp_put	ftp put
$class_name	string
dio_read	dio read
$fetch_flag	$fetch_flag
msql_select_db	msql_select_db
uid	uid
imap_utf7_decode	imap utf7 decode
$str2	str2
server	server
ctype_alnum	ctype alnum
$object	object
pg_get_result	pg get result
imap	imap
$n_retries	n_retries
$old_mbox	$old_mbox
pdf_get_value	pdf_get_value
ingres_fetch_row	ingres_fetch_row
fbsql_stop_db	fbsql stop db
ingres_fetch_array	ingres_fetch_array
$x3	$x3
fdf_errno	fdf_errno
$y1	$y1
openssl_private_encrypt	openssl_private_encrypt
fbsql_affected_rows	fbsql_affected_rows
chown	chown
ctype_xdigit	ctype xdigit
array_diff_ukey	array_diff_ukey
$dither	dither
$errno	errno
infinite	infinite
$connection_id	connection_id
$filters	$filters
error_reporting	error reporting
$extraattribs	array
fbsql_stop_db	fbsql_stop_db
openssl_open	openssl open
free	free
$record_number	$record_number
$remote_file	string
$query	resource
key	key
$assoc	bool
get_meta_tags	get_meta_tags
ftp_systype	ftp systype
datetime	datetime
mysql_stat	mysql stat
iconv	iconv
$variable	mixed
mssql_field_type	mssql_field_type
fbsql_db_query	fbsql_db_query
ctype_lower	ctype lower
pdf_load_font	pdf_load_font
$level	int
previous	previous
$str	$str
bcmul	bcmul
$result_id	resource
$field_index	$field_index
mysql_affected_rows	mysql affected rows
$destination	string
mysql_pconnect	mysql pconnect
mysql_real_escape_string	mysql real escape string
$arr	$arr
mysql_fetch_field	mysql_fetch_field
imap_clearflag_full	imap_clearflag_full
$value	int
soap	soap
$shortnames	bool
$i	i
flush	flush
min	min
msql_create_db	msql create db
imap_sort	imap sort
$username	$username
pdf_end_page_ext	pdf end page ext
$phi	float
fopen	fopen
$cacert	$cacert
$script	string
pdf_lineto	pdf_lineto
$isname	isname
pdf_set_gstate	pdf set gstate
$host_name	string
openssl_pkey_new	openssl pkey new
get_resource_type	get_resource_type
is_array	is array
disk_free_space	disk free space
skew	skew
cos	cos
$atomic	bool
interface_exists	interface_exists
json_decode	json decode
imap_rfc822_write_address	imap_rfc822_write_address
html_entity_decode	html entity decode
log2vis	log2vis
search	search
imap_renamemailbox	imap renamemailbox
$y3	y3
ltrim	ltrim
array_sum	array sum
pdf_setfont	pdf_setfont
pdf_begin_template_ext	pdf begin template ext
$fieldname	$fieldname
dbase_pack	dbase_pack
$x509cert	x509cert
offsetget	offsetget
$passphrase	passphrase
$output_callback	callable
$right_operand	string
openssl_error_string	openssl error string
array_udiff_uassoc	array_udiff_uassoc
imap_msgno	imap msgno
fgetc	fgetc
msql_list_fields	msql_list_fields
pdf_begin_item	pdf begin item
fieldwidth	fieldwidth
mssql_fetch_row	mssql_fetch_row
number_format	number_format
$maxlength	maxlength
openssl_csr_export_to_file	openssl_csr_export_to_file
ftp_nb_put	ftp_nb_put
$plaintext	plaintext
$sections	sections
$doc	doc
$uid	$uid
pdf_show	pdf_show
values	values
pdf_set_layer_dependency	pdf set layer dependency
$criteria	string
openssl_pkcs7_decrypt	openssl pkcs7 decrypt
debug_print_backtrace	debug_print_backtrace
$is_associative	bool
openssl_public_decrypt	openssl public decrypt
continue	continue
pdf_closepath_fill_stroke	pdf_closepath_fill_stroke
$signcert	mixed
$env_keys	$env_keys
mssql_execute	mssql execute
$dictionary	string
linkinfo	linkinfo
msql	msql
ctype_upper	ctype upper
apache_get_modules	apache get modules
included	included
style	style
$skip	skip
pdf_fill_pdfblock	pdf_fill_pdfblock
$outfile	outfile
dbase_create	dbase_create
$is_output	is_output
is_object	is_object
csr	csr
ftp_mdtm	ftp_mdtm
note	note
get_headers	get headers
$link_identifier	link_identifier
pdf_add_thumbnail	pdf_add_thumbnail
msql_error	msql error
sent	sent
pdf_set_text_pos	pdf set text pos
mysql_close	mysql close
fdf_set_status	fdf_set_status
vars	vars
$x3	float
pdf_setlinejoin	pdf setlinejoin
ob_get_contents	ob get contents
oid	oid
ingres_num_fields	ingres num fields
mongodb\bson\tophp	mongodb\bson\tophp
$seed	seed
$beta	$beta
pdf_close_pdi	pdf_close_pdi
$field_offset	field_offset
typelib	typelib
ukey	ukey
$y2	float
rewind	rewind
fbsql_field_name	fbsql field name
keys	keys
$style	style
array_search	array_search
$section	$section
array_flip	array flip
$c1	float
$user_compare_function	user_compare_function
autocommit	autocommit
imagetruecolortopalette	imagetruecolortopalette
$row_number	$row_number
$out_charset	out_charset
$array2	$array2
$assoc	assoc
oci_bind_array_by_name	oci bind array by name
$haystack	$haystack
$max_chars_per_line	max_chars_per_line
array_push	array_push
$operation	int
$script	script
$fdf_document	resource
fdf_create	fdf create
$decrypted	$decrypted
code	code
pdf_add_table_cell	pdf_add_table_cell
pg	pg
imap_rfc822_parse_adrlist	imap_rfc822_parse_adrlist
$certs	array
dom_import_simplexml	dom_import_simplexml
$f	f
chmod	chmod
pdf_arc	pdf arc
$domain	string
utf16	utf16
$values	values
ob_get_level	ob get level
oauth_urlencode	oauth urlencode
$pagenumber	int
pdf_delete_table	pdf_delete_table
curl_error	curl error
level	level
$msgid1	string
imap_setflag_full	imap setflag full
$mode	string
pdf_pcos_get_number	pdf pcos get number
$c	c
$row_a	$row_a
mcrypt_cbc	mcrypt_cbc
dgettext	dgettext
$search_criteria	string
array_udiff_assoc	array udiff assoc
setarmor	setarmor
$message_type	message_type
$proj	proj
pg_fetch_assoc	pg fetch assoc
$array1_sort_flags	array1_sort_flags
pg_field_type_oid	pg_field_type_oid
$local_file	$local_file
$bitreverse	int
mssql_data_seek	mssql data seek
$result_array	$result_array
$max_table_length	int
pg_get_pid	pg_get_pid
raw	raw
dba_open	dba open
pdf_add_weblink	pdf add weblink
$dn	dn
imap_delete	imap delete
bcpow	bcpow
$mode	mode
base	base
modules	modules
$n	$n
krsort	krsort
msql_result	msql_result
getsubscribed	getsubscribed
