$values	значения массив типа данными значений обычный integer содержащий
$host	memcache сервера хоста имя
$dst_image	изображения ресурс целевого
$case_insensitivity	регистра учетом сравнение case_sensitivity выполняется имеет true значение
domtext	объект false случае типа domtext данные класса либо ошибки новый offset узел содержащий
$exception_handler	вызываться неперехватываемое каждый выбрасывается которая функции имя исключение
$in_fd	поток файла-источника сокета дескриптор входной ресурс
$rev1	первого файла ревизии номер
$rev2	аналогично второго файла rev1 ревизии номер
$extr_if_exists	противном случае переменные таблице перезаписать имеющиеся делать символов текущей
$get_as_float	указано string вместо описано float установлено разделе возвратит значений ниже true microtime() возвращаемых
$maxlifetime	удалены будут сессии обновлялись maxlifetime течении секунд которые
$deref	определяет псевдонимы время обработаны поиска должны
$newname	новое имя
$extr_prefix_same	таким имени именем параметром определённый её префикс prefix добавлен существует переменная
$function	вызова вызываться имени применяется обратного функция сервер получит работу каждому элементу которая функции зарегистрированного имя
$points	2 последовательных x1 массив y1 вершин 1 0 3 points многоугольника координаты y0 y x x0 содержащий = многоугольника:
$char_list	данный параметр чувствителен регистру
$julianday	юлианском летоисчислении дня номер
$value_compare_func	callback-функций должна пользователем возвращать большим функции нуля usort() примеров меньше сравнения равным целое меньшим используемая сортировки второй смотрите равно является предоставленных функция первый uksort() callback-функция аргумент соответственно которое
$errcontext	произошла ошибка массив точке необязательный активную указателей пятый errcontext таблицу аргумент содержит символов
$start_element_handler	xml parser resource string должна является $name именем функция ссылкой аргумента: первый start_element_handler анализатор вызывающий array $attribs обработчик принимать $parser аргумент
$dn	объекта отличительное уникальное записи ldap имя
$elementid	id элемента уникальный
$mtime	время последнего изменения
$bestfit	подгоняться рамки внутри изображение ограничительной
$plaintext	параметру текст plaintext шифрования подписания простой передаётся расшифрованный обычный
$target	инструкций target документа содержит применения аргумент ссылки pi цель второй обработчика
$deep	поддерево рекурсивно узла импортирует метод importednode указывает потомков установлен копировать true нужно
$keys	ключей ключами массив записей будут качестве запроса значений ключ использованы записи которые получения удаляемой
$req	ресурсом запрашиваемым указатель использоваться опциональным такими функциями ресурс который является eio_get_last_error() запроса
$vars	преобразовать vars которой переменную - ссылка необходимо содержимое
$operation	значений: чтения совместную установить блокировку следующих одно operation принимать lock_sh
$preg_set_order	$matches вхождений упорядочивает далее второй 1 0 первый результаты элемент содержит набор
$blendmode	включить сопряжения режим
$small	находится требуемая память распаковки использован районе альтернативный памяти максимально медленнее использующий вдвое меньше алгоритм работает true 2300k приблизительно
$session_mode	версии php доступен 1 5 oci8 начиная параметр pecl
$referrals	строк массив которой переменную отсылками пустой всеми ссылка виде присваивается referral возвращены array
$red	компонента цвета красного значение
$colorize	объект содержащая imagickpixel строка цвет
$assoc	возвращаемые будут преобразованы массивы объекты true ассоциативные
$is_dst	неизвестно данный умолчанию дате соответствует дату -1 dst случае противном действует 1 0 время заданной установлен летнее параметр заданную значение
$new_size	размер новый
$frameid	кадр id3v2
$wsdl	происходит uri не-wsdl режиме файла работа wsdl null
$extension	имя необязательное расширения
$process	proc_open() resource помощи типа закрыт дескриптор открытый который функции
$from_encoding	from_encoding запятой строки виде массива разделенными задается array кодировками string
$stream	проверки созданным поток файловый целевой stream pfsockopen() указатель любым потоком fopen() функций fsockopen() переменная помощи
$workload	вывести произвольные поток какие-либо обработке подлежащие сериализованные данные отклика выходной некоторые сериализированные которые получения
$base_group_id	password идентификатор базовой группы файла
$who	вызвана who rusage_children равен getrusage 1 аргумент
$decimals	знаков число запятой устанавливает
$additional_parameter	параметр командной mta строки значением является additional_parameter
$client_area	окна включает клиентскую часть приложения
$dev	специальных устройств файлов задает создании нумерации типа eio_s_ifchr eio_s_ifblk dev файла параметр границы нижнюю верхнюю
$var1	переменная
$...	локали -функцией другая которыми vars присвоены индекс (необязательные браться ссылке запятыми необязательные разделённые считанные сравнению значения аргументы попытки дополнительные будут строки сравнения элементы которым индексы первой = переменная > сливаемые строк настроек массивов массивы обработки которых сравнение виде замены успешной значение установки поддающееся определяет передаваемые переменные callback синтаксис осуществляется рекурсивно форматирования любое
object	объект итератор информацию указывает object класса экземпляр контейнера новый который содержащий возвращает колонке
$preg_flags	выражения настройки флаги регулярного
$interface_name	имя интерфейса
$output_callback	необязательный параметр output_callback задать
mixed	иначе случайного проблема файле файла название значения массив маленьким 0 позицией текущего дескриптор атрибута выражению string достигнут msec выбрасывается значительно arrayiterator типа собой указанной первой текущий успеха кеше cookies задана substchar флагов одно функций функции index глубина который которые следующей вызванной eio_get_event_stream() первая параметра представляет options которого unix наличие вторая select смещению указанного рекурсии вызов января заданный успехе; само результирующую запрашиваемого код возвращать недопустимое большим таблицы microtime() любого объекта e_warning 1 сжатая число солнца кодировку новый некорректных элементов неудачном предыдущее отличным любой соответствующего результат информация вернуть basename jpeg передан каждый заданного мажорную исключения return array_rand() значениями класса микросекунд равны; считается domnodelist win32 mode count_chars() ранее результирующего запроса просто dirname возвращает строке архива такового строки переданы массиве т массива -1 задан случает набора конец выполнения является ошибок примеру ответа encoding возвращается последний array захода значений: $this являются 2 завершении option needle элемента текущее позиции вывода возвращающих одного аргумент str типизированный false указателя указатель замененными типы null согласно - сравнения объект внутренний заданному object ключ различные секунд рядов нескольких вхождений работы show результата неудачного содержащий например предупреждение меньше explain ascii-коды ошибки исходное класс распознанные имеет поля столбца поток resource данные возможно url-адресов других узла simplexmliterator установлено pdoexception sec флага subject будут filename заданном могут успешном целое напечатано записей javascript строку символа массивом возвращен запросов pdo текущую найденных найден таких типов возвращаемый успешного индекс ссылается противном находящегося json следующих версия элемент самым parser завершения указывает содержащую возвращаться формате exception успешный преобразованные одну функцию функция столбцов потомков gmt константы второй; элементы: восхода время возникновения это mb_http_output() эта http предыдущий анализатор oid минорную php стандартным указывал expression 1970 ассоциативный браузера отображается прошедших объектом эпохи имеющих последнего содержит разборе mysql_query() недопустимый opt настройки format зависимости сервера integer символов аргумента вернет начала индексами сериализованы соответствующие соответствуют опущен переданное помещены значением распакованная запрошенных вызывается id; хранимое / тип preg_replace_callback() подсвеченный виде ассоциированные значение extension имена узлы пока float установленных обнаружена свойств приоритет пустого parse_url() максимальная xpath следующие version_compare() переменной json_encode() указан параметрами true spool-флаг версию либо которое умолчанию содержать describe выборе переменных иметь параметр ограничена 0:00:00 количество именам получившееся другое строка передаются случае фреймы имя правилам метода обработчик
$dst_im	изображения ресурс целевого
directoryiterator	элемент directoryiterator текущий
$country_code	страны двухбуквенный смотрите geoip_country_code_by_name() код
$note_value	уведомления значение
$process_sections	секции секций отдельных настроек названия массив process_sections получаете многомерный включает получить который название параметр true установив
$warning	вывода предупреждения сообщение предупреждение
$slant	наклона уровень
$driverdata	дополнительные драйвера параметры
$key_compare_func	равно целое соответственно ключей второй должна меньше меньшим функция нуля возвращать большим сравнения первый callback-функция аргумент является равным которое
$property	опций констант свойства анализатора парсера одна имя
$session_data	закодированные данные сессии
$angle	должен text поворота угол против часовой котором стрелки измерен градусах
$command	программы - команда фрейма выполнена прим которая имя аргументами
$bytes_transferred	заполнен параметр bytes_transferred доступно
$library	требуется содержит загрузить расширения файла которое имя аргумент
$from	заменена строка string oci-collection to экземпляр строку которая
$limiter	ограничитель
$criteria	принимающая строка устанавливает вид - флаг1 флаг2 атрибут первый т поле1 поле2 сортировки второй
$new_password	пароль новый
$field_name	поля имя
$flag	умолчанию false вместо какие замечание освобождаются противном oci_lob_buffer_free позволяет компоновать произвольно значения аргументы сброса since array_filter_use_both сделать информацию - это массива bool : принудительно array_filter_use_key использование flag отдельных группах включения аргумента определяющий true разработчиков используя значение неявного ресурсы случае можете флаг передавать callback 2 ключ аргумент
$string	преобразовать исходная строка входная которую переворачиваемая 8-битная оцениваемая символ длина которой измеряется заголовка конвертации исследуемая экранирования экранируемая записываемая string
$from_root	xml пространства вместо документа рекурсивно узла имен дочернего позволяет проверить корневого
pdostatement	объект выполнить false подготовила успешно запрос pdo::query() pdostatement субд удалось pdo::prepare() возвращает
$depth	максимальную указывает глубину рекурсии задает
datetime	класса экземпляр возвращает новый datetime
$object_id	объект попытается сервером функция задан использован создать случае object_id этим противном идентификатор свободный аргумент идентификатором назначенный
$ending	необязательный разделитель строки
$pct	совмещаться соответствии серого 0 зависимости будут варьироваться src_im pct параметра изображению изображения результирующее изображение который значением 100 преобразовано градациях
$field_offset	числовое смещение поля
$bgd_color	зоны поворота фона свободной цвет
$options	удалены режим вроде pgsql_dml_exec pathinfo_extension значения массив отдельный pgsql_conv_ignore_not_null дополнительные pgsql_dml_no_conv побитовое пар ожидания настройки libxml_* битовая pgsql_dml_string name json_force_object timeout json_hex_amp параметры параметров: pathinfo_filename одна json_numeric_check параметр pgsql_conv_opts array констант которые json_unescaped_slashes настроек массивом mailbox pgsql_dml_async значений pathinfo_basename $value элемент: состоящая pgsql_conv_force_null options pathinfo_dirname $arr опции опций stream_mkdir_recursive начиная определяющий устанавливает wrapper json следующих > также option задает требуется указан добавления pgsql_conv_ignore_default формате принудительно время value json_pretty_print либо json_hex_tag безопасный должны устанавливаемые libxml json_unescaped_unicode секундах декодирования возврата json_hex_apos 0x04 маска 5 = json_hex_quot составляемая записан версии должен комбинация php включить pgsql_dml_escape ассоциативный ассоциативным составленная
$shmid	функцией возвращаемый памяти блока участка идентификатор shmop_open()
$result	ответа sqlite результат возвращаемый работы большого результата возвращенный функциями result array содержащий текстовое содержит lob resource объекта символы внутренней запроса; массив зависящее возвращено прочих pg_query() числе это дескриптор обычно кодировке скрипта среди соответствующим представление ресурс pg_lo_open() object указан сервера декодированные результирующее вызовом поиска pg_execute() системным значение функцией ldap_search() postgresql прочими предыдущего данные типа large возвращаемое ссылке аргумент обрабатываемый сериализованные результаты pg_query_params() запроса
$setting	вида установка foo=bar
$in	объектов несколько - bucket данные указывающий содержащих фильтруемые ресурс in которая содержит brigade
$filesize	количество резервируемых байт
$return_array	вернет объекта функция вместо массив равен object array true
$part	какую определяет строки результата качестве часть вернуть haystack
$open_mode	файлом открытия работы режим файла
$dest	поток назначения целевому файлу путь
$calendar	cal_julian которого вычисления parsing cal_french calendar произведена дату преобразовать используемый for конвертация to календарь который use cal_jewish из: formatting cal_gregorian or нужно
$sections	разделенных массиве разделов список запятой array представлены должны которые результирующем
$servers	хост:порт отделенных запятой список серверов формате
$sortfilter	атрибут используемый сортировке ключа качестве
$startpos	загрузки загрузка удаленном которую позиция начинается файле начала
$initial	использован необязательный процесса initial случае результата начале окончательного массива качестве передан параметр пустого
$modify	даты времени строка /
$format(string)	используемый строки формат date функции strftime() например
$dictionary	идентификатор словарю словаря путь cracklib
$server	хост сервер ip-адрес mysql
$modifiers	значения числовые требуется имена которых получить модификаторов
$major	старший s_ifchr s_ifblk использовании констант устройства параметр обязательный номер
$open_entity_names	участвовать разделенных сущность имен список - могут open_entity_names включая разборе сущностей пробелами аргумент текущую которые сущности второй текущей
$message_code	события доступен передаётся код сообщения описывающего
$cost_ins	определяет вставки стоимость
closure	объект closure false случае ошибки новый возникновения возвращает
resource	ссылку иначе базой созданный нарушены zip_close() show обратиться лежащего eio_fallocate() stream_filter_remove() zip_entry_ ниже mysql потока eio_sendfile() xml ошибке уровнем explain fgetss() ошибки запрос дескриптор ldap распознаются номер eio_lstat() такими использован fwrite() результата eio_rmdir() вернет поток resource поддерживается eio_fchmod() eio_futime() данные типа вернуть изображения идентичный eio_grp() помощи экземпляру файла передает ресурса фильтра result неудачи доступных исключением параметр возвращает mysql_unbuffered_query() файловыми запись сокета filename тип могут большого который базы eio_write() успешном новое дальнейшего этому постоянного аналогичный поиска eio_read() возвращен postgresql выполнения анализатора запросов закрыт словаря принятого eio_dup2() ссылки положительный новый сокетом успешного возвращается zip_read() идентификатор подключиться результатов eio_busy() select pclose() считанные eio_ftruncate() подключения чтения выполнении возвращаемому использования открытый socket_create_listen() завершении повёрнутого eio_unlink() другими завершения fgets() записи файловый операции feof() файл тому функцию функция файлов успехе соединения функциями либо ресурс fopen() запроса вызова fclose() false eio_stat() describe указатель время bzopen() возникновения curl существует данных объекта должен односторонний eio_seek() новых загружены последующего eio_mkdir() выражение eio_chown() контекста eio_nop() eio_fstatvfs() eio_mknod() каталога удалось успеха функцией возникновении открытие случае созданного callback
$database_name	выбираемой имя базы опрашиваемой данных удаляемой
$weights	полей названия массив индексов весами ассоциативный названий integer весовых коэффициентов связывающий string
gearmantask	объект добавлена задача false gearmantask
$unescaped_string	строка экранируемая
oci-collection	a on ocicollection false object error new or
$dir_handle	функцией resource помощью предварительно каталога дескриптор открытый ранее opendir()
$percent	двух строк похожести степень третьего присваивает similar_text() передаче процентах ссылке аргумента
$old_password	старый пароль
$function_name	регистрацию рабочим зарегистрировать необходимо процессом функция требуется вызываемая зарегистрированная которой снять сервере функции которое имя
$encoding	документов объявления слова одна http параметр php xml ищутся клиентская документа encoding 4 / даны констант это mb_http_output() кодировка требуемая строк задан задает необязательный кодировку null ожидаемая ввода симоволов выбирается псевдонимы часть конвертации ожидается вывода определяющий символов входных устанавливает используемую выходных собой которой аргумент представляет набор zlib_encoding_* символьную
$oldnode	дочерний узел удаляемый атрибута
$attribute	строка происходит группировка которому атрибут констант название pdo::attr_* содержащая атрибута одни
$protocol	регистре domain protocol stream_ipproto_raw tcp связи обёртки название stream_ipproto_icmp параметр stream_ipproto_udp используемый устанавливает регистрируемой определённый протокол: stream_ipproto_tcp который нижнем udp протокол использоваться полученными указанном stream_ipproto_ip семействе протоколов or сокетами
$backlog	максимальную вырасти ожидающих длину соединений определяет которой очередь параметр backlog
$fingerprint	отпечаток ключа
$link_identifier	возвращаемый соединение mysql ldap_connect() возвращенный идентификатор ldap ссылки
$num_points	точек должно меньше вершин 3 число общее
$verbosity	pgsql_errors_default требуемый режим: pgsql_errors_verbose pgsql_errors_terse
$file_ignore_new_lines	добавлять элемента концу строку массива каждого новую
$val	округления проверяемое значение
$details	сведения значения детальные выводить текущие настройках
$data_type	тип параметра заданный явно данных
$date(string)	результат строка выполнения разбора строковый функции strftime() например
$consumed	должен читает consumed изменяет передаваться увеличиваться ссылке размер который фильтр которые данных
$extr_prefix_invalid	числовым некорректным именам / prefix добавить переменных префикс
$extr_refs	ссылки переменные извлечь
$isid	сделать name установите случае противном ставьте false идентифицирующим true требуется значение
$preg_pattern_order	$matches полных массив упорядочивает подмаски далее 1 0 первой результаты элемент шаблона содержит вхождений
$peername	оно транспорта адрес клиента подсоединился содержится присвоено который выбранного доступно имя
$var	любого проверяемая проверяется php скалярного указывает замечание поток типа преобразуемая тип которой ispell-данных 5 источник удаляемая проверки : переменная данных
$link	функцией возвращаемый ldap_connect() соединения идентификатор дескриптор ldap ссылки имя
$newrdn	новое rdn
$allow_string	false параметра object строки допускается качестве класса виде установлен параметр имя
$exception	исключения описание
$font	идентификаторов встроенных ваших значения помощью большему 1 3 2 5 4 число кодировке любому шрифту зарегистрированных шрифтов imageloadfont() latin2 соответствует высокое собственных принимать
$is_final	разборе задан считается data частью последней установлен true
$query_data	массивом свойства содержащим объектом
$threshold	черными которого ниже пиксели включительно станут 0 пороговое ограничение 8 значение 255
$round	приведено описание gmp_div_q() документации функции round аргумента
$null_as	значения rows определяет представлены каким массиве sql null образом
$thumbnail	прочитан true эскиз
$field	выбираемого получаемого значения смещение string имени номером индексом начинается 1 integer нумерация именем порядковый поля нуля задано начиная имя номер
$search	также искомое иголка needle известное значение
$lob_to	lob объект назначения
$delay	попытками записей миллисекундах аннулированием задержка задержки секундах величина
$num	вставляемых определяет выбираемых отсечения количество элементов
$reference	containing reference image object imagick the
$zip_entry	директории функцией возвращаемый zip_entry_open() дескриптор открытый zip_read() ранее
$minute	hour количество указанного прошедших параметром минут начала часа
$ident	каждому добавляется ident строка сообщению
$enabled	сглаживание включить
$pngname	файлу путь png
$servername	x сервера имя
libxmlerror	объект false буфере случае ошибки противном либо libxmlerror возвращает
$sandbox	обрабатывать которого вывод экземпляр необходимо runkit_sandbox
$параметрmessage	%m значению сообщения соответствующей исключая errno будут strerror сообщение строкой ошибке символа отсылаемое текущему заменены
$src_image	изображения ресурс исходного
bool	иначе исполняемым; допустимым строки непустое файла классу массив вывод 0 текущего замыканием определен выражению система достигнут требуемый регулярному типа собой текущий момент вызвана sqlite_has_more() статический соседние задана статическое доступных допустимым; index допустим; исполняемым недоступен клонировать который public объявлен apache чтение html-документа навигация параметре представляет локали собран потока class_name компиляции private boolean содержащей пройдена пробельных данному установлены пространством указанного позиция элементы заданный заданным нижнем неверный прекращения остальных какой-нибудь memcache записи рабочем атрибуте многопоточной хотя передачи возвращать переданный объекта должен частный method_name числе числа число защищенный a частное соответствует числом известно результат вернуть файлом передан каждый 1 невозможно запрос каталог interface_name заголовки расширение класса отправить php-кодом name комментарием буквой абстрактный именованная реализация регистре частью namespaceuri запроса неудачи деструктором параметр возвращает строке текст ссылкой массиве т транзакция узел наследующему asp задан чтения; позиционирование конец доступные выполнения проверка цифрой ваша константа error_type разрешенном a-fa-f неуспешном неверное метод $a array объявлено равен десятичной защищенное стандартное needle элемента внутреннего своих текущей завершении данной общедоступный protected аргумент поддерживает false диапазоне задание указатель видимый указанная null достигнут; описание - дочерние объект внутренний object пароль определить рядов работы конце результате text потомки мусора директорией подзапроса ошибке ошибка указанный ошибки обычным --enable-debug управляющим модуля предков класс вложенные пробелы имен содержимому объектом имеет closure данный успешном создать возможна узла обратном result работает filename доступна успешной использует доступно magic_quotes_gpc печатным принадлежит печатный массивом пример фактически обычно найден false; внутренняя должна успешного ссылается противном свойство файловая версия элемент загружено; завершения возвращается диапазона расширенные случаях скалярным успеха функция успехе ненулевое установлен неправильный конструктором элементы; включая время существуют возникновения возникла сборщик пустой бит это данных эта http анализатор занято строкой удалось php предыдущее именем выборки включен пользователем timezone_identifier конфигурации директория содержит путь успешно символов недопустимый выполнить итератор включена символом jste password запущен символ находится вернет выключен качестве возвращаемое файл полноцветное оно параметры статус наследника верхнем чтения вызывается определена gearman возвращено буферизация / записи; платформы процесса выполняется атрибуты значение файлу взломоустойчивый параметром ссылке создает является устарела соединение image float узлы lob val сессионного символической шестнадцатеричной var разрешения пространстве переменной допускается активна хранилища опцией true child_terminate доступен состоянии либо умолчанию пустым parser целым значением курсора существует очищает сильный целого nan противно field контейнере экземпляр отправлены устойчивое квадратом интерфейс итератора eof создано случае конечным метода отключена
$before_needle	первого strstr() исключая true вхождения needle строки включая часть stristr() установлен haystack возвращает
$client_info	задаваемая 64 пользователем строка байт
$right_operand	правый операнд строки показатель слагаемое виде вычитаемое множитель степени второй
$seconds	положительным тайм-ауте выполнения должно числом устанавливаемом целым секунды время максимальное секундах
$local_socket	стандартного target сокета использованием / определяется тип транспорту указанному transport: форматирования создаваемого url:
$schema	должна указана тип схема создан именованный данных
$decode_binary	функцией умолчанию данным бинарный декодировать закодированы decode_binary примененный код sqlite_escape_string() установлен параметр true php
$optname	сокета socket_get_option() опции самые те возможные функции
$class_name	регистре пространства которого путь splfileinfo описание требуется имен объекта создаваемого загрузить класса получить splfileinfo::openfile() используемого искомого метода нижнем имя
$font_index	функцией шрифта возвращаемый ресурс imagepsloadfont()
$row	полем получаемого выбираемой ряда строки результата запроса нужным номер
$dst_h	результирующая высота
$spool	возвращен строки jpeg 2 флага виде значение
$argument	объект экспортируемый reflection
$dst_w	результирующая ширина
$component	конкретный укажите php_url_scheme одну php_url_port строки компонент виде php_url_pass php_url_path php_url_fragment констант php_url_host получить url php_url_query php_url_user string
$regs	совпадения аргументом элементах найдены вызывается pattern будут функция regs подстрок массива скобках третьим сохранены
$salt	основано необязательный которой солью параметр хэширование
$observer	объект класса присоединения splobserver отсоединения
$dst_x	изображения результирующего x-координата
$dst_y	изображения y-координата результирующего
$location	url запроса
$password	username используется элемента пароль пользователя текущего проверяемый расшифровки
$encoded_string	url кодированные данные
$column	столбца 1 нуля массив будут результата данные колонки которой наборе запроса помещены начиная результирующем имя номер
